date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,NZDJPY,NZDCAD,empty,sum
2021.03.01,-60.99999999999994,-113.99999999999189,-1.999999999990898,-13.999999999995794,-104.99999999999955,-19.999999999997797,-42.0000000000087,-200.00000000000017,-177.99999999998929,-290.9999999999968,-148.0000000000037,-77.00000000000485,0.0,-189.99999999999773,-171.99999999999437,-170.00000000000347,-69.99999999999318,-68.99999999998573,-30.000000000001137,-63.99999999999295,-53.999999999998494,,-2070.9999999999463
2021.03.01,-7.9999999999968985,-163.00000000000205,15.00000000000945,25.000000000005684,-90.99999999999665,-15.999999999993797,-50.0000000000056,-147.00000000000824,-4.999999999988347,-302.99999999999727,-24.000000000001798,-73.00000000000084,12.000000000000899,-274.0000000000009,-220.99999999998232,-171.00000000001003,49.000000000006594,28.000000000005798,12.999999999991019,-99.99999999999432,-70.99999999999883,,-1574.9999999999586
2021.03.01,-48.000000000003595,-367.99999999999056,21.00000000000435,19.99999999999602,-108.99999999998133,33.000000000005244,-304.9999999999997,-354.9999999999942,-83.9999999999952,-385.0000000000051,-187.00000000000384,-275.000000000003,-7.0000000000014495,-524.0000000000009,-242.99999999999324,-96.00000000000719,42.00000000000159,-286.99999999999284,22.999999999996135,-375.0,-197.00000000000273,,-3705.999999999971
2021.03.01,17.999999999995797,-513.9999999999923,148.00000000001478,-3.0000000000001137,189.00000000001694,336.00000000000296,-422.00000000000017,-456.00000000001194,-83.9999999999952,-379.99999999999545,-230.000000000008,-363.0000000000022,-78.00000000000028,-594.9999999999989,-259.9999999999936,218.99999999999142,153.00000000002,-489.99999999999045,229.99999999998977,-447.00000000000273,-290.00000000000136,,-3318.9999999999613
2021.03.01,41.9999999999976,-567.9999999999907,171.99999999999437,-36.000000000001364,230.00000000001907,302.9999999999977,-472.00000000000574,-502.00000000000244,-102.00000000000209,-368.9999999999998,-233.00000000000543,-402.9999999999978,-86.99999999999264,-649.0000000000009,-317.9999999999961,-39.00000000001125,135.00000000001933,-550.9999999999903,188.0000000000024,-510.9999999999957,-331.0000000000035,,-4100.999999999965
2021.03.01,43.999999999999595,-649.999999999995,217.0000000000005,-111.0000000000042,276.00000000000955,331.999999999999,-428.00000000000614,-561.9999999999958,-139.9999999999846,-350.9999999999991,-240.00000000000688,-365.99999999999966,-109.99999999999899,-679.9999999999784,-322.9999999999844,-97.9999999999981,155.00000000000114,-396.9999999999807,203.00000000000296,-444.9999999999932,-266.999999999995,,-3940.999999999908
2021.03.01,-33.000000000005244,-706.999999999991,147.00000000000824,3.0000000000001137,213.00000000001873,326.9999999999995,-526.9999999999997,-663.0000000000135,-139.00000000000023,-439.9999999999977,-282.99999999999994,-472.00000000000574,-166.99999999999494,-887.9999999999768,-363.9999999999866,-34.000000000000696,191.0000000000025,-676.9999999999943,259.00000000000034,-596.0000000000036,-373.00000000000114,,-5222.999999999942
2021.03.01,-23.00000000000635,-651.0000000000016,141.00000000001333,85.00000000000796,217.0000000000005,385.000000000002,-490.00000000000153,-617.0000000000009,-120.99999999999334,-433.00000000000693,-255.00000000000523,-439.99999999999596,-156.99999999999602,-887.0000000000005,-397.99999999998727,52.000000000007596,259.00000000001455,-617.0000000000009,298.9999999999924,-593.0000000000035,-358.9999999999982,,-4602.99999999996
2021.03.01,-53.00000000000304,-641.0000000000027,107.00000000001265,117.00000000000443,198.00000000000927,399.0000000000049,-443.0000000000045,-704.0000000000157,-127.99999999999478,-432.00000000000216,-261.0000000000001,-461.99999999999574,-198.99999999999363,-963.9999999999986,-465.99999999998863,28.999999999990145,285.000000000025,-678.9999999999852,325.00000000000284,-609.9999999999994,-383.0,,-4964.999999999935
2021.03.01,-48.000000000003595,-673.9999999999968,113.00000000000753,162.00000000000614,202.00000000001327,448.9999999999994,-518.0000000000074,-713.0000000000081,-129.99999999998568,-447.9999999999933,-252.0000000000078,-519.0000000000028,-202.0000000000022,-1009.9999999999909,-522.0000000000002,136.99999999998712,295.0000000000159,-803.9999999999825,337.99999999999386,-685.9999999999928,-465.9999999999998,,-5295.999999999951
