date,USDCHF,GBPUSD,EURUSD,USDJPY,AUDUSD,NZDUSD,CADCHF,GBPJPY,EURJPY,empty,sum
2018.02.26,0.0,-1.0000000000065512,-7.999999999985796,-97.99999999999898,-30.000000000007798,-31.000000000003247,-12.999999999996348,0.0,-158.00000000001546,,-339.00000000001415
2018.02.26,117.00000000000044,115.99999999998278,24.000000000001798,-54.99999999999261,-68.00000000000139,-31.999999999998696,82.00000000000429,259.00000000001455,-127.00000000000955,,316.00000000000165
2018.02.26,121.00000000000443,147.99999999999258,-19.999999999997797,-182.99999999999272,-71.00000000000995,-13.00000000000745,121.00000000000443,375.0,-259.9999999999909,,218.00000000000267
2018.02.26,125.00000000000844,148.99999999999915,4.000000000004,-123.00000000000466,-45.000000000006146,56.0000000000005,119.00000000000244,314.9999999999977,-198.0000000000075,,401.999999999994
2018.02.26,135.00000000000733,178.99999999999582,26.999999999999247,-138.00000000000523,-9.00000000000345,44.99999999999504,67.00000000000594,343.9999999999941,-274.0000000000009,,375.99999999998795
2018.02.26,31.000000000003247,124.99999999999733,-1.999999999990898,-243.99999999999977,22.999999999995246,13.999999999991797,-48.99999999999905,457.9999999999984,-330.99999999998886,,25.000000000007446
2018.02.26,38.0000000000047,44.99999999998394,-59.99999999999339,-362.99999999999955,-23.00000000000635,-39.00000000000014,-7.9999999999968985,525.0000000000057,-425.9999999999877,,-310.9999999999897
2018.02.26,-64.99999999999284,0.9999999999843467,-117.99999999999588,-522.9999999999961,-116.00000000000499,-92.00000000000318,-17.999999999995797,623.9999999999952,-567.0000000000073,,-874.0000000000165
2018.02.26,-127.99999999999478,-109.00000000000354,-181.9999999999933,-554.000000000002,-193.00000000000983,-230.000000000008,-45.99999999999049,705.0000000000125,-536.0000000000014,,-1272.9999999999907
2018.02.26,-173.9999999999964,-214.00000000000307,-258.99999999998704,-655.9999999999917,-300.0000000000003,-302.9999999999977,-34.99999999999615,724.9999999999943,-563.999999999993,,-1779.999999999971
2018.02.26,-135.99999999999167,-182.99999999999983,-243.99999999999977,-602.9999999999944,-290.00000000000136,-348.9999999999993,-18.999999999991246,661.0000000000014,-516.9999999999959,,-1679.9999999999723
2018.02.26,-109.99999999999899,-157.00000000000713,-211.99999999998997,-545.0000000000017,-258.0000000000027,-319.0000000000026,11.00000000000545,641.9999999999959,-483.0000000000041,,-1431.000000000006
2018.02.26,-75.9999999999983,-132.00000000002098,-190.00000000000128,-557.0000000000022,-223.00000000000654,-282.99999999999994,28.000000000005798,661.0000000000014,-515.0000000000148,,-1287.000000000037
2018.02.26,-90.99999999999665,-167.00000000000603,-212.99999999999653,-501.99999999999534,-253.0000000000032,-339.0000000000004,31.000000000003247,599.9999999999943,-448.0000000000075,,-1382.0000000000082
2018.02.26,-114.99999999999844,-245.0000000000063,-248.99999999998812,-495.00000000000455,-308.00000000000824,-379.0000000000071,31.000000000003247,463.99999999999864,-393.0000000000007,,-1689.0000000000116
