date,EURUSD,empty,sum
2018.02.12,-55.99999999998939,,-55.99999999998939
2018.02.12,-85.99999999998609,,-85.99999999998609
2018.02.12,-79.99999999999119,,-79.99999999999119
2018.02.12,-83.9999999999952,,-83.9999999999952
2018.02.12,-158.99999999999804,,-158.99999999999804
2018.02.12,-201.99999999999108,,-201.99999999999108
2018.02.12,-336.00000000000296,,-336.00000000000296
2018.02.12,-360.9999999999891,,-360.9999999999891
2018.02.12,-358.9999999999982,,-358.9999999999982
2018.02.12,-408.9999999999927,,-408.9999999999927
2018.02.12,-412.9999999999967,,-412.9999999999967
2018.02.12,-453.99999999999886,,-453.99999999999886
2018.02.12,-530.9999999999926,,-530.9999999999926
2018.02.12,-448.9999999999883,,-448.9999999999883
2018.02.12,-425.99999999999307,,-425.99999999999307
2018.02.12,-427.99999999998397,,-427.99999999998397
2018.02.12,-471.9999999999835,,-471.9999999999835
2018.02.12,-465.0000000000043,,-465.0000000000043
2018.02.12,-515.9999999999832,,-515.9999999999832
2018.02.12,-436.9999999999985,,-436.9999999999985
2018.02.12,-286.99999999999284,,-286.99999999999284
2018.02.12,-384.9999999999909,,-384.9999999999909
2018.02.12,-374.999999999992,,-374.999999999992
2018.02.12,-293.99999999999426,,-293.99999999999426
2018.02.12,-273.9999999999965,,-273.9999999999965
2018.02.12,-310.9999999999946,,-310.9999999999946
2018.02.12,-295.99999999998516,,-295.99999999998516
2018.02.12,-309.99999999998806,,-309.99999999998806
2018.02.12,-258.99999999998704,,-258.99999999998704
2018.02.12,-190.00000000000128,,-190.00000000000128
2018.02.12,-235.99999999999176,,-235.99999999999176
2018.02.12,-14.000000000002899,,-14.000000000002899
2018.02.12,-44.99999999998394,,-44.99999999998394
2018.02.12,-205.99999999999508,,-205.99999999999508
2018.02.12,-229.99999999999687,,-229.99999999999687
2018.02.12,-356.9999999999851,,-356.9999999999851
2018.02.12,-384.9999999999909,,-384.9999999999909
2018.02.12,-340.9999999999913,,-340.9999999999913
2018.02.12,-302.0000000000023,,-302.0000000000023
2018.02.12,-330.9999999999924,,-330.9999999999924
