date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,GBPJPY,GBPCAD,EURCAD,EURAUD,EURNZD,NZDJPY,NZDCAD,AUDNZD,empty,sum
2015.01.19,-146.99999999999713,-102.00000000000209,-144.99999999999514,-105.00000000000398,-55.000000000005045,-107.00000000000153,-65.99999999999939,-53.999999999998494,-177.99999999999727,-258.0000000000098,-144.99999999999514,-153.9999999999875,-78.00000000000028,-217.0000000000005,-160.0000000000108,-122.99999999999534,-153.00000000000313,,-2247.0000000000027
2015.01.19,-85.00000000000173,-164.99999999999292,-126.0000000000039,-109.99999999999943,-102.00000000000209,-121.00000000000443,-84.0000000000063,-90.99999999999665,-194.99999999999318,-181.0000000000116,-259.9999999999936,-121.99999999999989,-110.99999999999443,-215.99999999999397,-163.0000000000109,-126.99999999999933,-207.00000000000162,,-2466.0000000000064
2015.01.19,-180.0000000000024,-175.99999999999838,-200.99999999998454,-102.00000000000387,-79.99999999999119,-114.99999999999844,-36.0000000000027,-322.00000000000006,-414.0000000000157,-73.0000000000075,-255.99999999998957,-198.99999999999363,-147.99999999999258,-222.00000000001108,-56.000000000011596,-42.999999999993044,-117.99999999999588,,-2740.9999999999927
2015.01.19,-320.9999999999935,-173.00000000000094,-204.00000000000418,-84.99999999999375,-89.99999999999008,-102.99999999999754,-131.99999999999878,-291.99999999999227,-389.00000000001,-8.000000000009777,-253.99999999999866,-158.99999999999804,-150.99999999999002,-144.99999999999514,-25.000000000005684,-19.999999999997797,-87.99999999999919,,-2638.999999999975
2015.01.19,-341.0000000000024,-170.00000000000347,-126.99999999998823,-34.000000000006025,-150.00000000000568,-184.00000000000637,-134.0000000000008,186.00000000000838,348.99999999998954,92.99999999998931,-191.99999999999218,-55.99999999998939,-41.99999999998649,-25.00000000000835,107.99999999998988,-4.999999999999449,-127.00000000001043,,-851.000000000022
2015.01.19,-271.9999999999945,-170.00000000000347,-106.99999999999044,-96.00000000000364,-120.00000000000898,-161.00000000000003,-143.00000000000423,-295.0000000000008,-460.00000000000796,-200.9999999999934,-180.0000000000024,-7.0000000000014495,21.00000000000435,65.00000000000395,83.99999999998897,-0.999999999995449,-69.9999999999923,,-2113.000000000001
2015.01.19,-53.00000000000304,-140.0000000000068,-164.99999999999292,-447.9999999999933,-157.00000000000713,-234.00000000000088,-235.00000000000742,-290.9999999999968,-746.0000000000093,-564.9999999999977,-194.0000000000053,-139.00000000000023,-220.99999999998232,-136.00000000000279,-250.0,4.000000000004,-75.00000000000284,,-4045.0000000000045
2015.01.19,-117.99999999999588,-201.00000000000674,-209.9999999999991,-518.0000000000007,-80.99999999999774,-87.99999999999919,-119.00000000000244,-265.99999999999955,-812.0000000000118,-625.0,-334.9999999999964,-231.0000000000034,-439.99999999999596,-232.00000000000998,-293.00000000000637,-12.999999999996348,26.999999999999247,,-4555.000000000022
2015.01.19,-86.99999999999264,-170.00000000000347,-208.99999999999253,-388.00000000000523,-137.9999999999937,-65.00000000000395,-173.00000000000094,-290.9999999999968,-677.9999999999973,-421.99999999999704,-296.9999999999917,-236.99999999999832,-242.99999999999324,-117.00000000001154,-181.0000000000116,23.00000000000635,56.99999999999594,,-3615.9999999999877
2015.01.19,175.99999999999838,-116.00000000000499,-96.99999999999153,-349.9999999999943,-130.99999999999224,-89.00000000000574,-158.0000000000026,-628.0000000000064,-1212.9999999999939,-449.0000000000123,-106.99999999999044,2.0000000000131024,-131.99999999999878,-65.00000000000395,-165.00000000000625,-41.000000000002146,-5.999999999994898,,-3568.9999999999895
2015.01.19,380.999999999998,-103.00000000000864,-65.99999999998829,-560.0000000000023,-104.99999999999955,-48.000000000003595,-141.99999999999767,-703.9999999999935,-1467.9999999999893,-764.00000000001,-153.9999999999875,-26.999999999999247,-470.9999999999992,-19.999999999997797,-292.0000000000016,-27.999999999994696,99.99999999998899,,-4470.999999999985
