date,USDCAD,EURJPY,NZDJPY,empty,sum
2019.01.14,-107.00000000001265,-88.00000000000807,-4.9999999999954525,,-200.00000000001617
2019.01.14,-107.00000000001265,39.99999999999204,-1.9999999999953388,,-69.00000000001594
2019.01.14,-161.00000000001114,-61.00000000000705,-61.99999999999761,,-284.0000000000158
2019.01.14,-172.0000000000166,-61.00000000000705,-67.00000000000728,,-300.0000000000309
2019.01.14,-170.00000000000347,-37.00000000000614,-67.00000000000728,,-274.0000000000169
2019.01.14,-142.0000000000199,-32.00000000001069,-34.99999999999659,,-209.00000000002717
2019.01.14,-141.00000000001333,-34.000000000006025,-4.9999999999954525,,-180.0000000000148
2019.01.14,-81.00000000001995,-181.0000000000116,-180.00000000000682,,-442.00000000003837
2019.01.14,-98.0000000000203,-156.0000000000059,-168.99999999999693,,-423.00000000002314
2019.01.14,-206.00000000001728,-224.00000000000375,-269.999999999996,,-700.000000000017
2019.01.14,-328.00000000001717,-365.0000000000091,-454.9999999999983,,-1148.0000000000246
2019.01.14,-326.0000000000041,-366.00000000001387,-447.9999999999933,,-1140.0000000000114
2019.01.14,-285.00000000000193,-322.00000000000273,-477.00000000000387,,-1084.0000000000086
2019.01.14,-275.000000000003,-294.00000000001114,-454.9999999999983,,-1024.0000000000123
2019.01.14,-273.0000000000121,-285.0000000000108,-472.999999999999,,-1031.0000000000218
2019.01.14,-253.99999999999866,-259.00000000000034,-468.0000000000035,,-981.0000000000025
2019.01.14,-359.0000000000204,-360.00000000001364,-531.9999999999965,,-1251.0000000000305
2019.01.14,-397.0000000000029,-310.0000000000023,-543.0000000000064,,-1250.0000000000116
2019.01.14,-459.0000000000094,-442.0000000000073,-501.99999999999534,,-1403.0000000000118
2019.01.14,-419.0000000000138,-375.0,-536.0000000000014,,-1330.0000000000152
2019.01.14,-334.00000000001205,-354.0000000000134,-498.9999999999952,,-1187.0000000000207
2019.01.14,-260.0000000000158,-298.0000000000018,-447.00000000000273,,-1005.0000000000203
2019.01.14,-226.99999999999943,-309.0000000000117,-435.0000000000023,,-971.0000000000134
2019.01.14,-208.00000000000819,-376.0000000000048,-411.00000000000136,,-995.0000000000143
2019.01.14,-277.00000000001614,-551.0000000000019,-459.99999999999375,,-1288.0000000000118
2019.01.14,-272.00000000000557,-489.0000000000043,-409.000000000006,,-1170.000000000016
2019.01.14,-341.00000000001353,-520.0000000000102,-411.00000000000136,,-1272.000000000025
2019.01.14,-307.00000000001285,-530.0000000000011,-384.00000000000034,,-1221.0000000000143
2019.01.14,-320.00000000000915,-455.0000000000125,-391.00000000000534,,-1166.0000000000268
2019.01.14,-312.00000000000114,-474.00000000000375,-358.0000000000041,,-1144.000000000009
2019.01.14,-337.0000000000095,-429.00000000000205,-355.000000000004,,-1121.0000000000155
2019.01.14,-226.00000000001506,-423.0000000000018,-308.9999999999975,,-958.0000000000143
2019.01.14,-278.00000000000045,-419.00000000001114,-281.0000000000059,,-978.0000000000175
2019.01.14,-260.0000000000158,-446.00000000001216,-313.0000000000024,,-1019.0000000000304
2019.01.14,-180.0000000000024,-306.0000000000116,-207.9999999999984,,-694.0000000000124
2019.01.14,-133.00000000000534,-211.00000000001273,-177.99999999999727,,-522.0000000000153
2019.01.14,-247.00000000001944,-166.00000000001103,-162.9999999999967,,-576.0000000000272
2019.01.14,-301.0000000000179,-124.00000000000944,-135.99999999999568,,-561.000000000023
2019.01.14,-295.0000000000008,-176.00000000000193,-150.00000000000568,,-621.0000000000084
2019.01.14,-239.00000000001143,-203.00000000000296,-203.00000000000296,,-645.0000000000173
2019.01.14,-164.00000000000858,-210.00000000000796,-171.00000000000648,,-545.000000000023
2019.01.14,-151.00000000001222,-206.00000000000307,-150.00000000000568,,-507.000000000021
2019.01.14,-194.0000000000053,-269.00000000000546,-203.00000000000296,,-666.0000000000136
2019.01.14,-196.0000000000184,-272.00000000000557,-212.0000000000033,,-680.0000000000273
2019.01.14,-204.00000000000418,-266.00000000000534,-210.99999999999852,,-681.0000000000081
2019.01.14,-267.0000000000172,-275.0000000000057,-257.000000000005,,-799.000000000028
2019.01.14,-270.00000000001467,-289.0000000000015,-250.0,,-809.0000000000161
2019.01.14,-339.0000000000004,-288.0000000000109,-259.00000000000034,,-886.0000000000117
2019.01.15,-339.0000000000004,-314.00000000000716,-384.00000000000034,,-1037.0000000000077
2019.01.15,-312.00000000000114,-318.00000000001205,-347.999999999999,,-978.0000000000122
2019.01.15,-313.00000000000773,-305.0000000000068,-269.999999999996,,-888.0000000000106
2019.01.15,-274.00000000001864,-221.00000000000364,-204.9999999999983,,-700.0000000000206
2019.01.15,-275.000000000003,-196.00000000001216,-171.99999999999704,,-643.0000000000123
2019.01.15,-190.00000000000128,-37.00000000000614,-43.99999999999693,,-271.0000000000043
2019.01.15,-194.0000000000053,-4.0000000000048885,-12.000000000000455,,-210.00000000001063
2019.01.15,-156.00000000000057,115.99999999999966,63.99999999999295,,23.999999999992042
2019.01.15,-195.00000000001182,177.99999999999727,69.00000000000261,,51.99999999998806
2019.01.15,-205.00000000001074,186.9999999999976,30.000000000001137,,11.999999999988006
2019.01.15,-207.00000000000162,220.99999999998943,84.99999999999375,,98.99999999998155
