date,GBPUSD,EURUSD,USDCAD,NZDUSD,GBPCHF,CHFJPY,CADCHF,AUDCHF,GBPJPY,EURJPY,EURCAD,CADJPY,NZDCAD,empty,sum
2020.06.22,0.0,-18.999999999991246,-14.000000000002899,0.0,0.0,-197.00000000000273,0.0,-173.9999999999964,0.0,-135.99999999999568,-52.99999999999194,-33.00000000000125,0.0,,-625.9999999999822
2020.06.22,66.99999999999484,0.0,-29.999999999996696,112.99999999999643,66.99999999999484,-241.99999999999022,-37.00000000000925,-148.99999999999915,89.99999999997499,-167.99999999999216,-29.999999999996696,-18.000000000000682,121.99999999999989,,-215.00000000002387
2020.06.22,-11.00000000000545,-69.00000000000794,-178.00000000001148,36.0000000000027,182.99999999999983,-240.99999999999966,-24.000000000001798,-258.9999999999981,129.99999999999545,-179.00000000000205,-54.99999999998284,-42.00000000000159,111.00000000000554,,-598.0000000000075
2020.06.22,8.999999999992347,-39.00000000001125,-97.9999999999981,107.99999999999699,195.9999999999962,-265.99999999999113,68.99999999999685,-283.99999999999534,129.99999999999545,-185.99999999999284,-26.999999999999247,9.000000000000341,158.0000000000026,,-221.00000000000713
2020.06.22,-31.999999999987594,-133.00000000000534,-144.99999999999514,136.99999999999824,176.99999999998272,-239.99999999999488,62.99999999999084,-248.99999999999923,48.99999999997817,-137.00000000000045,-61.99999999998429,-36.99999999999193,235.00000000000742,,-374.0000000000015
2020.06.22,-29.999999999996696,-134.99999999999625,-146.00000000000168,154.99999999999403,178.99999999999582,-240.99999999999966,70.99999999999883,-251.99999999999667,55.999999999983174,-102.00000000000387,-96.99999999999153,-39.00000000000148,260.00000000000466,,-321.00000000001137
2020.06.22,-59.99999999999339,-82.00000000000429,-136.00000000000279,143.00000000000423,129.00000000000134,-292.99999999999216,58.99999999999794,-307.0000000000017,17.99999999997226,-200.00000000000284,-51.000000000001044,-45.000000000001705,252.0000000000078,,-573.0000000000164
2020.06.22,-14.999999999987246,-31.000000000003247,-130.0000000000079,183.99999999999528,131.99999999999878,-280.00000000000114,27.999999999994696,-295.99999999999625,34.99999999999659,-194.99999999999318,-0.9999999999843467,-57.999999999992724,287.9999999999994,,-338.9999999999813
2020.06.22,59.99999999999339,-21.00000000000435,-66.00000000001049,285.9999999999974,251.00000000000122,-347.999999999999,92.99999999999864,-422.9999999999956,149.99999999997726,-328.9999999999935,-95.00000000000064,12.000000000000455,402.00000000000233,,-28.000000000032912
2020.06.22,187.00000000000384,17.000000000000348,45.000000000006146,336.00000000000296,325.99999999998187,-340.999999999994,130.99999999999224,-436.00000000000307,356.9999999999993,-286.00000000000136,-86.99999999999264,118.99999999999977,382.00000000000455,,750.0000000000001
2020.06.22,202.00000000001327,25.999999999992696,72.0000000000054,326.9999999999995,356.9999999999851,-338.99999999999864,144.99999999999514,-446.00000000000193,375.99999999997635,-334.99999999999375,-130.99999999999224,135.00000000000512,336.00000000000296,,724.999999999989
2020.06.22,252.0000000000078,80.99999999999774,161.99999999999548,361.9999999999957,386.9999999999818,-348.99999999998954,178.99999999999582,-490.00000000000153,439.9999999999977,-375.99999999999056,-110.99999999999443,192.99999999999784,348.00000000000387,,1077.9999999999977
2020.06.22,234.00000000000088,66.99999999999484,134.99999999999625,348.9999999999993,365.99999999999966,-361.99999999999477,158.99999999999804,-510.99999999999477,420.99999999999227,-328.9999999999935,-96.99999999999153,171.99999999999704,336.00000000000296,,940.0000000000066
2020.06.22,276.00000000000955,80.99999999999774,201.99999999999108,397.0000000000029,363.9999999999866,-360.99999999999,168.99999999999693,-512.0000000000014,451.9999999999982,-335.9999999999985,-154.99999999999403,195.0000000000074,375.9999999999986,,1148.0000000000052
2020.06.22,293.99999999999426,96.99999999999153,228.99999999999034,409.99999999999926,373.00000000000114,-418.99999999999693,178.99999999999582,-592.0000000000036,483.99999999998045,-385.9999999999957,-143.99999999998857,221.00000000000364,379.0000000000071,,1124.9999999999786
2020.06.22,435.9999999999919,154.99999999999403,245.99999999999068,512.0000000000014,444.9999999999843,-462.0000000000033,140.99999999999113,-636.0000000000032,657.999999999987,-448.99999999999807,-140.99999999999113,242.00000000000443,501.000000000007,,1647.9999999999561
2020.06.22,435.0000000000076,167.00000000000603,198.99999999999363,475.0000000000032,437.99999999998283,-482.9999999999899,124.99999999999733,-597.0000000000031,673.9999999999782,-469.99999999999886,-66.99999999999484,221.00000000000364,479.0000000000072,,1595.9999999999927
