date,EURUSD,EURCAD,EURAUD,empty,sum
2018.03.26,-54.0000000000207,-119.00000000000244,-253.99999999999866,,-427.0000000000218
2018.03.26,-111.00000000001664,-174.00000000000747,-217.99999999998488,,-503.000000000009
2018.03.26,-177.00000000000495,-175.00000000001404,-195.9999999999962,,-548.0000000000152
2018.03.26,-174.00000000000747,-211.00000000000563,-192.99999999999872,,-578.0000000000118
2018.03.26,-173.00000000000094,-181.9999999999933,-197.00000000000273,,-551.9999999999969
2018.03.26,-142.0000000000199,-80.00000000001339,-97.9999999999981,,-320.0000000000314
2018.03.26,-150.00000000000568,-76.99999999999375,22.0000000000109,,-204.99999999998852
2018.03.26,-321.0000000000157,-157.00000000000713,-5.999999999994898,,-484.00000000001774
2018.03.26,-203.00000000001984,-29.00000000001235,107.99999999999699,,-124.00000000003519
2018.03.26,-217.0000000000005,-56.000000000011596,60.99999999999994,,-212.00000000001216
2018.03.26,-221.00000000000452,-49.99999999999449,110.99999999999443,,-160.0000000000046
2018.03.26,-265.0000000000041,-104.00000000001519,83.00000000001084,,-286.0000000000084
2018.03.26,-314.00000000001427,-154.99999999999403,45.000000000006146,,-424.00000000000216
2018.03.26,-272.00000000000557,-87.99999999999919,120.00000000000898,,-239.9999999999958
2018.03.26,-252.0000000000078,-102.00000000000209,89.00000000000574,,-265.00000000000415
2018.03.26,-264.0000000000198,-114.99999999999844,35.00000000000725,,-344.0000000000109
2018.03.26,-238.0000000000049,-130.0000000000079,-4.000000000004,,-372.00000000001677
2018.03.26,-217.0000000000005,-97.00000000001374,77.00000000001594,,-236.99999999999832
2018.03.26,-208.00000000000819,-55.000000000005045,97.9999999999981,,-165.00000000001515
2018.03.26,-186.0000000000195,26.999999999999247,239.99999999999577,,80.99999999997553
2018.03.26,-442.00000000000904,-53.00000000001415,212.99999999999653,,-282.00000000002666
2018.03.26,-382.0000000000157,-95.00000000000064,134.99999999999625,,-342.00000000002007
2018.03.26,-367.0000000000062,-90.99999999999665,104.99999999999955,,-353.0000000000033
2018.03.26,-489.0000000000061,-283.99999999999534,-9.999999999998899,,-783.0000000000002
2018.03.26,-553.0000000000035,-337.99999999999386,-89.99999999999008,,-980.9999999999875
2018.03.26,-669.0000000000085,-344.99999999999534,-99.99999999998899,,-1113.999999999993
2018.03.26,-626.9999999999998,-415.99999999999415,-90.99999999999665,,-1133.9999999999905
2018.03.26,-594.0000000000057,-629.9999999999973,-119.99999999998678,,-1343.9999999999898
2018.03.26,-673.0000000000125,-839.0000000000119,-139.9999999999846,,-1652.000000000009
2018.03.26,-666.000000000011,-948.9999999999999,-262.999999999991,,-1878.0000000000018
2018.03.26,-630.0000000000194,-1008.0000000000089,-364.9999999999931,,-2003.0000000000214
2018.03.26,-602.0000000000136,-1022.0000000000118,-431.0000000000036,,-2055.000000000029
