date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,CHFJPY,GBPCAD,AUDCAD,empty,sum
2019.03.11,51.000000000001044,42.0000000000087,-48.99999999999238,95.999999999985,53.00000000000304,-18.0000000000069,-96.00000000000364,-60.99999999999994,7.0000000000014495,,24.999999999996362
2019.03.11,41.000000000002146,5.999999999994898,-60.000000000002274,24.999999999986144,-26.999999999999247,-43.999999999999595,-97.00000000000841,-25.00000000000835,-52.000000000007596,,-233.0000000000423
2019.03.11,40.0000000000178,-7.999999999985796,-28.999999999996362,-8.000000000008,-58.99999999999794,-124.99999999999733,-64.99999999999773,-79.00000000000685,-70.0000000000034,,-402.9999999999756
2019.03.11,50.0000000000167,33.00000000001635,-67.99999999999784,51.99999999998539,-19.00000000000235,-69.9999999999923,-117.999999999995,-70.99999999999883,-57.00000000000705,,-267.9999999999749
2019.03.11,60.99999999999994,90.99999999999665,-113.99999999999011,91.99999999998099,48.99999999999905,35.999999999991594,-174.0000000000066,38.0000000000047,4.999999999999449,,83.99999999997566
2019.03.11,38.0000000000047,69.00000000000794,-262.00000000000045,116.99999999998934,80.99999999999774,113.99999999999189,-293.99999999999693,73.99999999999629,31.999999999998696,,-31.000000000010782
2019.03.11,107.00000000001265,100.99999999999554,-107.99999999998988,110.99999999999443,10.999999999994348,1.0000000000065512,-219.99999999999886,45.000000000006146,-58.99999999999794,,-10.999999999977014
2019.03.11,106.00000000000608,60.000000000015596,-55.999999999997385,73.99999999999629,-16.0000000000049,-24.000000000001798,-168.00000000000637,58.99999999998684,-70.0000000000034,,-35.000000000009024
2019.03.11,97.9999999999981,35.00000000000725,-91.99999999999875,114.99999999999844,17.999999999995797,17.000000000000348,-192.99999999999784,46.999999999997044,-53.999999999998494,,-8.999999999998124
2019.03.11,95.00000000000064,29.999999999996696,-52.99999999999727,115.99999999998278,19.00000000000235,22.0000000000109,-152.00000000000102,45.99999999999049,-52.000000000007596,,70.99999999997794
2019.03.11,87.00000000001484,22.999999999995246,-36.000000000001364,109.99999999998789,-31.000000000003247,35.00000000000725,-125.0,58.000000000002494,-114.99999999999844,,6.00000000000469
2019.03.11,89.00000000000574,22.0000000000109,-39.00000000000148,90.99999999999665,-16.0000000000049,-1.0000000000065512,-129.99999999999545,34.000000000000696,-80.99999999999774,,-30.9999999999921
2019.03.11,99.00000000000463,26.999999999999247,-30.000000000001137,90.99999999999665,-38.0000000000047,-25.999999999992696,-132.99999999999557,21.999999999988695,-111.00000000000554,,-99.00000000001043
2019.03.11,99.00000000000463,15.00000000000945,-28.999999999996362,118.99999999998023,-67.00000000000594,-75.99999999998718,-132.99999999999557,-80.99999999999774,-170.99999999999892,,-323.9999999999874
2019.03.11,87.99999999999919,5.999999999994898,-52.99999999999727,127.99999999999478,-55.000000000005045,-51.000000000001044,-143.00000000000068,-80.99999999999774,-160.00000000000458,,-321.0000000000175
2019.03.11,99.00000000000463,16.000000000016,-34.99999999999659,98.99999999998244,-39.00000000000014,-89.00000000000574,-138.00000000000523,-76.0000000000094,-118.00000000000699,,-281.00000000002103
2019.03.11,100.0000000000112,-48.99999999998794,9.000000000000341,30.999999999981043,-80.99999999999774,-147.99999999999258,-93.00000000000352,-60.99999999999994,-124.99999999999733,,-416.99999999998647
2019.03.11,86.0000000000083,-24.000000000001798,28.000000000005798,102.99999999998644,-39.00000000000014,-126.99999999998823,-58.000000000006935,-153.00000000000313,-121.00000000000443,,-305.0000000000041
2019.03.11,19.999999999997797,-76.99999999999375,60.000000000002274,78.00000000000028,-94.00000000000519,-165.9999999999995,48.00000000000182,-283.99999999999534,-178.00000000000037,,-592.9999999999919
2019.03.11,77.00000000001594,-139.00000000000023,130.00000000000966,-5.000000000010552,-148.99999999999915,-391.000000000008,52.99999999999727,-374.0000000000077,-192.00000000000327,,-990.000000000006
2019.03.11,48.000000000003595,-109.99999999998789,91.00000000000819,-58.000000000002494,-131.00000000000333,-245.0000000000063,46.999999999997044,-161.99999999999548,-133.00000000000534,,-652.999999999992
2019.03.11,19.00000000001345,-113.99999999999189,73.0000000000075,-56.000000000011596,-133.00000000000534,-178.99999999999582,60.99999999999284,-127.99999999999478,-136.00000000000279,,-592.9999999999884
2019.03.11,19.999999999997797,-123.99999999999079,39.00000000000148,-20.000000000020002,-141.99999999999767,86.0000000000083,27.000000000001023,173.99999999998528,-173.00000000000094,,-113.00000000001552
2019.03.11,26.999999999999247,-173.99999999998528,70.00000000000739,-26.999999999999247,-104.00000000000409,31.000000000003247,46.999999999997044,133.00000000000534,-118.00000000000699,,-114.99999999998334
2019.03.11,157.00000000000713,-34.000000000000696,52.00000000000671,-1.0000000000065512,-67.00000000000594,-235.99999999999176,-111.0000000000042,-32.999999999994145,-84.0000000000063,,-356.99999999999574
2019.03.11,154.0000000000097,-82.99999999998863,100.99999999999909,36.999999999998145,-78.99999999999574,-266.999999999995,-61.99999999999761,-130.0000000000079,-129.00000000000134,,-457.9999999999793
2019.03.11,158.0000000000137,-65.00000000000395,67.99999999999784,24.999999999986144,-99.00000000000463,-438.00000000000506,-97.00000000000841,-337.0000000000095,-145.00000000000622,,-930.0000000000401
2019.03.11,171.00000000001003,-82.99999999998863,12.000000000000455,82.99999999998863,-112.99999999999643,-577.9999999999897,-168.00000000000637,-571.9999999999948,-204.99999999999963,,-1452.9999999999764
2019.03.11,151.00000000001222,-69.9999999999923,-51.00000000000193,157.99999999999147,-114.99999999999844,-653.999999999999,-212.0000000000033,-819.9999999999985,-261.0000000000001,,-1873.99999999999
