date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2018.01.22,-70.99999999999883,-24.000000000001798,-144.99999999999514,-114.99999999999488,-35.999999999991594,-166.99999999999494,-20.0000000000089,-7.0000000000014495,-180.99999999999739,-46.999999999997044,-104.99999999999955,-68.99999999999685,-36.0000000000027,-264.00000000001,-58.9999999999975,-33.00000000001635,-3.0000000000196536,0.0,-8.000000000009777,-131.00000000000023,-104.99999999998977,-82.00000000000429,,-1708.0000000000286
2018.01.22,-77.00000000000485,-9.000000000014552,-143.00000000000423,-120.99999999999511,-59.99999999999339,-172.99999999998983,22.999999999995246,2.999999999997449,-128.0000000000001,-67.9999999999903,-112.000000000001,-64.99999999999284,-21.00000000000435,-257.000000000005,0.0,34.99999999998504,24.000000000001798,-46.999999999997044,58.9999999999975,-149.0000000000009,-107.99999999998988,-143.99999999998857,,-1537.999999999995
2018.01.22,-197.99999999999818,24.000000000001798,-360.0000000000048,-253.0000000000001,-217.0000000000005,-153.99999999999858,-3.0000000000085514,24.000000000001798,-171.99999999999704,-52.99999999999194,-154.99999999999403,-136.99999999999824,17.999999999995797,-326.0000000000218,-67.99999999998363,-17.000000000000348,59.99999999999339,1.999999999990898,0.0,-201.99999999999818,-195.99999999999795,-85.00000000000173,,-2468.0000000000127
2018.01.22,-168.99999999999693,7.0000000000014495,-228.00000000000597,-203.99999999999352,-194.99999999998963,-172.99999999998983,12.999999999996348,17.999999999984695,-162.00000000000614,-51.99999999999649,-147.99999999999258,-158.99999999999804,44.99999999999504,-313.0000000000166,-8.99999999998613,-18.0000000000069,78.99999999998464,92.00000000000318,43.99999999999693,-182.00000000000216,-213.99999999999864,-59.99999999999339,,-1988.0000000000107
2018.01.22,-143.9999999999997,28.999999999990145,-258.0000000000027,-192.99999999999784,-161.99999999999548,-181.9999999999933,27.999999999994696,42.999999999993044,-146.0000000000008,-48.99999999999905,-134.99999999999625,-135.99999999999167,48.99999999999905,-308.00000000002115,-30.99999999997749,-7.0000000000014495,91.99999999998099,62.000000000006494,44.999999999987494,-170.0000000000017,-200.9999999999934,-60.99999999999994,,-1835.0000000000198
2018.01.22,-134.0000000000008,35.999999999991594,-283.99999999999534,-182.99999999999272,-156.00000000000057,-124.99999999999733,34.99999999999615,39.999999999995595,-153.0000000000058,-82.99999999999974,-95.99999999999609,-144.99999999999514,65.99999999999939,-259.00000000001455,-83.99999999997476,101.99999999997988,93.99999999999409,170.00000000000347,65.99999999998829,-117.00000000000443,-168.99999999999693,-19.999999999997797,,-1399.0000000000236
2018.01.22,-229.00000000000142,112.000000000001,-443.99999999999994,-276.9999999999868,-219.99999999999798,-72.99999999998974,-65.99999999999939,86.99999999999264,-144.99999999999602,-96.99999999999153,-85.00000000000173,-128.99999999999022,43.999999999999595,-239.00000000000432,-99.99999999999432,170.99999999998784,90.99999999999665,140.0000000000068,86.99999999998909,-105.00000000000398,-161.99999999999193,-21.999999999988695,,-1660.9999999999645
2018.01.22,-234.00000000000088,209.9999999999991,-445.99999999999085,-274.9999999999915,-207.99999999998596,-25.999999999992696,-72.0000000000054,99.99999999998899,-120.00000000000455,-111.99999999998988,-75.00000000000284,-120.99999999999334,51.99999999999649,-237.99999999999955,-117.999999999995,216.99999999997831,74.99999999998064,154.0000000000097,104.99999999998977,-90.99999999999397,-155.9999999999917,-35.00000000000725,,-1414.0000000000023
2018.01.22,-256.0000000000007,208.99999999999253,-431.99999999998795,-319.9999999999932,-217.0000000000005,-51.99999999999649,-55.000000000005045,97.9999999999981,-138.00000000000523,-109.99999999999899,-95.99999999999609,-162.99999999999093,71.99999999999429,-239.00000000000432,-80.99999999998886,226.99999999999943,85.00000000000173,177.00000000000495,132.99999999999557,-117.999999999995,-209.00000000000318,5.999999999994898,,-1478.999999999985
2018.01.22,-212.00000000000108,195.9999999999962,-428.00000000000614,-264.99999999998636,-150.99999999999002,-100.00000000000009,20.999999999993246,133.00000000000534,-141.9999999999959,-113.99999999999189,-120.99999999999334,-174.99999999999181,88.99999999999464,-213.00000000002228,-96.99999999997999,273.9999999999965,197.99999999998707,354.0000000000099,134.9999999999909,-150.00000000000568,-215.99999999999397,-2.999999999997449,,-986.9999999999825
2018.01.22,-195.9999999999962,184.00000000000637,-451.0000000000014,-267.99999999998647,-135.9999999999806,-100.00000000000009,59.99999999999339,150.99999999999002,-182.00000000000216,-116.99999999998934,-131.99999999999878,-171.99999999999437,98.99999999999353,-240.0000000000091,-108.99999999998045,269.9999999999925,276.9999999999939,381.99999999999346,151.9999999999868,-179.9999999999926,-242.999999999995,9.999999999998899,,-940.9999999999778
2018.01.22,-200.00000000000017,195.9999999999962,-451.0000000000014,-278.99999999999636,-125.99999999998168,-100.99999999999554,32.999999999994145,184.99999999999073,-144.00000000000546,-120.99999999999334,-142.99999999999312,-161.99999999999548,118.99999999999133,-242.00000000001864,-111.99999999999477,357.99999999999164,300.99999999999574,402.9999999999978,174.99999999999716,-174.99999999999716,-222.99999999999898,-21.999999999988695,,-731.0000000000063
