names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,"['EURJPY', 'CHFJPY', 'GBPUSD', 'NZDUSD']",80.0,-0.88,B
GBPUSD,50,"['CHFJPY', 'GBPUSD', 'GBPAUD', 'USDJPY', 'USDCHF', 'EURJPY', 'NZDCHF', 'CADCHF', 'AUDCHF']",80.0,0.7183333333333333,S
EURUSD,10,"['EURJPY', 'CHFJPY', 'GBPUSD', 'NZDUSD']",80.0,0.94,S
NZDUSD,10,"['EURNZD', 'USDCAD']",80.0,-0.976,B
EURCHF,10,"['USDCHF', 'EURUSD', 'CHFJPY', 'EURJPY', 'NZDUSD']",100.0,0.92,S
CHFJPY,10,['GBPJPY'],80.0,0.3585238095238094,S
CADCHF,10,['GBPCAD'],100.0,-1.0,B
NZDCHF,10,['AUDJPY'],80.0,-0.986,B
GBPJPY,10,"['USDCHF', 'USDJPY', 'GBPUSD', 'CHFJPY', 'EURUSD', 'EURJPY']",80.0,0.08,S
GBPCAD,10,['NZDCHF'],100.0,0.9359999999999999,S
GBPAUD,10,"['AUDJPY', 'GBPCAD']",100.0,1.0,S
EURJPY,10,['GBPJPY'],80.0,0.45243650793650825,S
EURCAD,10,"['CHFJPY', 'EURJPY', 'NZDUSD']",80.0,0.3561904761904763,S
EURNZD,10,"['EURAUD', 'AUDJPY', 'AUDCHF']",80.0,1.0,S
AUDJPY,10,"['AUDJPY', 'EURNZD', 'GBPAUD', 'USDCAD', 'NZDCHF']",100.0,-1.0,B
NZDJPY,10,"['CHFJPY', 'EURJPY', 'USDCAD', 'EURNZD']",80.0,0.1,S
AUDCAD,15,"['CHFJPY', 'EURJPY', 'USDCAD']",80.0,-0.6772532467532468,B
AUDNZD,10,"['EURGBP', 'GBPCHF']",80.0,0.986,S
