date,USDCHF,USDCAD,EURCHF,CADCHF,EURJPY,EURNZD,AUDCAD,NZDCAD,empty,sum
2020.05.04,20.999999999993246,-23.00000000001745,46.999999999997044,-16.0000000000049,-55.999999999997385,-302.0000000000023,-65.00000000000395,-116.00000000000499,,-510.0000000000407
2020.05.04,43.999999999999595,48.99999999998794,25.999999999992696,41.000000000002146,-31.999999999996476,-241.00000000000233,-100.99999999999554,-128.00000000000588,,-342.00000000001785
2020.05.04,115.99999999999389,-336.00000000000296,-29.999999999996696,-65.99999999999939,-117.999999999995,-435.0000000000076,2.999999999997449,-72.0000000000054,,-938.0000000000157
2020.05.04,163.99999999999747,-430.00000000001927,-17.000000000000348,-75.9999999999983,-204.9999999999983,-849.0000000000109,-122.99999999999534,-219.00000000000253,,-1755.0000000000275
2020.05.04,98.99999999999353,-401.00000000000693,-38.0000000000047,-107.00000000000153,-147.99999999999613,-757.999999999992,-109.99999999999899,-152.00000000000767,,-1615.0000000000146
2020.05.04,91.99999999999208,-529.0000000000017,-52.99999999999194,-170.99999999999892,-268.99999999999125,-1178.9999999999968,-158.0000000000026,-277.000000000005,,-2543.9999999999964
2020.05.04,149.99999999999457,-591.0000000000082,-48.000000000003595,-163.99999999999747,-344.99999999999886,-1096.9999999999925,-48.99999999999905,-248.99999999999923,,-2393.000000000004
2020.05.04,197.99999999999818,-684.000000000018,-60.99999999999994,-177.00000000000495,-414.99999999999204,-1009.9999999999998,-39.00000000000014,-214.99999999999852,,-2403.000000000015
2020.05.04,162.99999999999093,-486.00000000000864,-52.000000000007596,-107.00000000000153,-329.9999999999983,-673.9999999999968,31.000000000003247,-126.0000000000039,,-1581.0000000000227
2020.05.04,186.99999999999272,-419.0000000000138,-46.999999999997044,-51.000000000001044,-360.99999999999,-577.9999999999897,2.999999999997449,-141.99999999999767,,-1407.9999999999989
2020.05.04,190.99999999999673,-422.00000000001125,-63.000000000013046,-48.99999999999905,-448.99999999999807,-539.0000000000006,15.999999999993797,-139.00000000000023,,-1454.0000000000316
2020.05.04,200.99999999999562,-400.00000000000034,-89.00000000000574,-31.000000000003247,-480.99999999999454,-388.0000000000106,41.9999999999976,-113.00000000000753,,-1259.0000000000286
2020.05.04,207.99999999999707,-304.00000000001535,-83.9999999999952,16.0000000000049,-450.9999999999934,-383.0,-24.000000000001798,-170.99999999999892,,-1193.0000000000027
2020.05.04,188.9999999999947,-252.0000000000078,-114.99999999999844,29.000000000001247,-426.9999999999925,-279.00000000000705,17.999999999995797,-160.00000000000458,,-997.0000000000185
2020.05.04,231.99999999999886,-385.00000000001313,-113.00000000000753,-4.999999999999449,-481.9999999999993,-560.9999999999893,-92.99999999999864,-248.99999999999923,,-1656.000000000008
2020.05.04,268.0000000000016,-394.00000000000546,-95.00000000000064,16.0000000000049,-542.9999999999922,-463.9999999999977,-70.99999999999883,-211.00000000000563,,-1493.999999999994
2020.05.04,278.9999999999959,-418.0000000000073,-86.0000000000083,14.000000000002899,-537.9999999999967,-394.00000000000546,-12.999999999996348,-172.00000000000549,,-1328.0000000000207
2020.05.04,330.9999999999924,-517.0000000000119,-96.00000000000719,2.999999999997449,-560.0000000000023,-496.00000000000756,-100.99999999999554,-213.00000000000762,,-1649.0000000000423
2020.05.04,230.99999999999233,-480.00000000001376,-134.99999999999625,-48.99999999999905,-512.999999999991,-398.9999999999938,-85.00000000000173,-128.00000000000588,,-1558.0000000000093
2020.05.04,173.9999999999964,-339.0000000000004,-144.0000000000108,-21.00000000000435,-402.000000000001,-200.00000000000017,4.999999999999449,-82.99999999999974,,-1010.0000000000206
2020.05.04,178.99999999999582,-478.0000000000006,-197.00000000000273,-87.00000000000374,-509.9999999999909,-242.00000000000887,-26.000000000003798,-70.99999999999883,,-1432.0000000000139
2020.05.04,251.99999999999667,-335.00000000001864,-107.99999999999699,31.000000000003247,-524.0000000000009,202.9999999999976,163.99999999999747,73.99999999999629,,-243.00000000002518
2020.05.04,290.00000000000136,-223.00000000001762,-69.9999999999923,119.99999999999788,-525.9999999999962,387.000000000004,202.0000000000022,73.00000000000084,,253.00000000000006
2020.05.04,205.99999999999508,-190.00000000000128,-73.99999999999629,75.9999999999983,-414.0000000000015,212.99999999999653,153.99999999999858,58.99999999999794,,29.999999999987367
2020.05.04,334.9999999999964,-363.0000000000022,-75.00000000000284,85.00000000000173,-586.9999999999891,48.000000000003595,126.0000000000039,-31.000000000003247,,-461.99999999999176
2020.05.04,257.9999999999916,-205.00000000001074,-73.99999999999629,104.00000000000409,-476.99999999998965,89.99999999999008,139.99999999999568,-39.00000000000014,,-203.00000000001538
2020.05.04,297.9999999999983,-239.00000000001143,-21.00000000000435,116.00000000000499,-423.0000000000018,-62.99999999999084,100.00000000000009,-85.99999999999719,,-318.0000000000023
2020.05.04,312.00000000000114,-275.000000000003,-87.99999999999919,109.99999999999899,-469.99999999999886,-119.00000000000244,19.999999999997797,-155.00000000000514,,-665.0000000000108
2020.05.04,336.9999999999984,-215.00000000000963,-58.000000000002494,153.99999999999858,-460.9999999999985,-73.99999999999629,12.999999999996348,-167.00000000000603,,-471.0000000000196
2020.05.04,273.000000000001,24.999999999986144,-56.000000000011596,222.99999999999542,-423.9999999999924,113.00000000000753,122.99999999999534,-165.00000000000404,,111.99999999997743
2020.05.04,300.99999999999574,267.99999999997937,-29.00000000001235,365.0000000000042,-372.99999999999045,161.99999999999548,92.00000000000318,-292.00000000000335,,493.99999999997175
