date,GBPUSD,EURUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.08.03,-49.00000000001015,-83.9999999999952,-31.000000000003247,-54.999999999993946,-47.00000000000814,-186.0000000000195,-66.99999999999307,-21.999999999999797,-10.000000000019327,-59.99999999999339,-76.99999999999375,-45.000000000001705,-69.99999999999318,-76.99999999999375,-84.99999999999064,-139.00000000000023,,-1104.000000000009
2020.08.03,-58.000000000002494,-82.99999999998863,-25.00000000000835,-69.9999999999923,-25.00000000000835,-168.0000000000126,-153.99999999999636,91.00000000000774,-50.00000000001137,-89.99999999999008,-99.99999999998899,-82.99999999999841,-67.99999999999784,-92.99999999999864,11.00000000000545,-243.99999999999977,,-1208.999999999981
2020.08.03,-197.00000000000273,-185.99999999999727,-56.99999999999594,-130.99999999999224,1.999999999990898,-205.00000000001074,-200.00000000000284,87.99999999999919,36.000000000001364,-219.99999999999798,-143.99999999998857,-195.99999999999795,-74.99999999998863,-149.99999999999457,-66.99999999999484,-286.00000000000847,,-1987.9999999999811
2020.08.03,-261.0000000000001,-265.99999999998846,-19.999999999997797,-203.99999999999307,75.9999999999983,-270.00000000001467,-215.0000000000034,92.00000000000318,197.99999999997908,-287.9999999999994,-93.99999999999409,-272.00000000000557,-121.99999999999989,-223.99999999999088,-110.99999999999443,-256.00000000001177,,-2237.000000000013
2020.08.03,-290.9999999999968,-268.9999999999859,-35.999999999991594,-212.99999999999653,61.999999999995396,-259.0000000000092,-237.99999999999955,86.0000000000083,298.9999999999782,-312.00000000000114,-120.99999999999334,-277.000000000001,-129.99999999999545,-229.99999999999687,-128.99999999999022,-307.99999999999716,,-2365.9999999999727
2020.08.03,-253.00000000001432,-170.99999999998784,-58.000000000002494,-181.9999999999933,32.999999999994145,-307.00000000001285,-228.9999999999992,40.00000000000669,268.0000000000007,-293.0000000000099,-147.00000000000824,-224.00000000000375,-146.99999999999136,-203.99999999999307,-89.99999999999008,-297.0000000000139,,-2261.000000000019
2020.08.03,-313.00000000000773,-190.00000000000128,-201.99999999999108,-211.99999999998997,-94.00000000000519,-396.00000000001853,-335.9999999999985,-60.99999999999994,283.9999999999918,-374.999999999992,-187.99999999998818,-314.9999999999977,-307.9999999999927,-248.99999999999923,-113.99999999999189,-303.0000000000088,,-3371.999999999991
2020.08.03,-28.000000000005798,104.00000000001519,-191.00000000000784,-52.99999999999194,-87.99999999999919,-367.0000000000062,-462.99999999999386,6.0000000000060005,479.99999999998977,-133.99999999998968,-161.99999999999548,-530.0000000000011,-432.9999999999927,-110.99999999999443,-25.999999999992696,-272.00000000000557,,-2267.9999999999654
2020.08.03,-110.00000000001009,59.000000000009045,-157.99999999999147,-120.99999999999334,-84.0000000000063,-383.0,-302.99999999999727,-22.999999999995246,329.9999999999841,-116.00000000000499,-153.00000000000313,-304.00000000000205,-316.99999999999307,-125.99999999999278,-13.999999999991797,-294.0000000000165,,-2117.000000000005
2020.08.03,-209.00000000001472,-24.000000000001798,-58.000000000002494,-92.99999999999864,-29.000000000001247,-432.0000000000102,-233.0000000000041,-56.99999999999594,346.99999999998,-195.9999999999962,-421.0000000000047,-198.0000000000075,-275.99999999999625,-95.00000000000064,-53.999999999998494,-280.9999999999979,,-2309.0000000000505
2020.08.03,-180.0000000000024,-27.999999999983594,-39.999999999995595,-88.99999999999464,-24.000000000001798,-412.00000000001234,-114.00000000000432,12.000000000000899,194.99999999999318,-156.00000000000057,-224.000000000002,-147.00000000000557,-173.00000000000182,-73.00000000000084,-42.999999999993044,-234.00000000000088,,-1730.0000000000052
2020.08.03,-116.00000000000499,-34.000000000000696,-32.999999999994145,-78.99999999999574,-1.0000000000065512,-303.0000000000088,-131.00000000000023,60.00000000000449,167.99999999997794,-113.99999999999189,-167.9999999999904,-78.00000000000296,-114.99999999999488,-83.9999999999952,-24.999999999997247,-246.00000000001288,,-1299.000000000014
2020.08.03,-157.00000000000713,-45.99999999999049,-82.00000000000429,-117.99999999999588,51.99999999999649,-337.0000000000095,-117.00000000000443,46.00000000000159,216.99999999998454,-197.00000000000273,-136.00000000000279,-108.00000000000409,-104.99999999998977,-149.99999999999457,-78.00000000000028,-221.00000000000452,,-1537.000000000028
2020.08.03,-178.00000000001148,-55.99999999998939,-106.99999999999044,-83.9999999999952,57.99999999999139,-418.0000000000073,-141.9999999999959,31.000000000003247,265.99999999999113,-316.99999999998954,-232.99999999999432,-158.00000000000125,-110.99999999999,-142.99999999999312,-115.99999999999389,-185.00000000001293,,-1892.999999999979
2020.08.03,-198.00000000000927,-83.9999999999952,-93.99999999999409,-120.99999999999334,68.99999999999685,-422.00000000001125,-51.00000000000193,31.999999999998696,222.99999999998477,-317.9999999999961,-182.99999999999983,-127.00000000000955,-70.99999999999795,-190.99999999999673,-148.99999999999915,-195.9999999999962,,-1881.00000000002
