date,EURNZD,empty,sum
2018.06.25,-164.00000000000858,,-164.00000000000858
2018.06.25,-156.00000000000057,,-156.00000000000057
2018.06.25,-234.00000000000088,,-234.00000000000088
2018.06.25,-194.0000000000053,,-194.0000000000053
2018.06.25,-195.00000000001182,,-195.00000000001182
2018.06.25,-187.00000000000384,,-187.00000000000384
2018.06.25,-228.00000000000597,,-228.00000000000597
2018.06.25,-292.00000000000335,,-292.00000000000335
2018.06.25,-246.00000000001288,,-246.00000000001288
2018.06.25,-334.00000000001205,,-334.00000000001205
2018.06.25,-417.0000000000007,,-417.0000000000007
2018.06.25,-401.00000000000693,,-401.00000000000693
2018.06.25,-409.99999999999926,,-409.99999999999926
2018.06.25,-419.9999999999982,,-419.9999999999982
2018.06.25,-425.0000000000087,,-425.0000000000087
2018.06.25,-435.9999999999919,,-435.9999999999919
2018.06.25,-385.00000000001313,,-385.00000000001313
2018.06.25,-361.9999999999957,,-361.9999999999957
2018.06.25,-434.000000000001,,-434.000000000001
2018.06.25,-442.9999999999934,,-442.9999999999934
2018.06.25,-269.00000000000813,,-269.00000000000813
2018.06.25,-137.00000000000932,,-137.00000000000932
2018.06.25,-341.99999999999784,,-341.99999999999784
2018.06.25,-492.0000000000035,,-492.0000000000035
2018.06.25,-561.9999999999958,,-561.9999999999958
2018.06.25,-524.0000000000133,,-524.0000000000133
2018.06.25,-520.0000000000093,,-520.0000000000093
2018.06.25,-500.9999999999959,,-500.9999999999959
2018.06.25,-829.9999999999974,,-829.9999999999974
2018.06.25,-899.0000000000053,,-899.0000000000053
2018.06.25,-1001.9999999999918,,-1001.9999999999918
2018.06.25,-1005.0000000000115,,-1005.0000000000115
2018.06.25,-1028.0000000000066,,-1028.0000000000066
2018.06.25,-1127.0000000000114,,-1127.0000000000114
2018.06.25,-1140.999999999992,,-1140.999999999992
2018.06.25,-1212.000000000013,,-1212.000000000013
2018.06.25,-1201.999999999992,,-1201.999999999992
2018.06.25,-1238.0000000000057,,-1238.0000000000057
2018.06.25,-1363.0000000000032,,-1363.0000000000032
2018.06.25,-1263.9999999999984,,-1263.9999999999984
2018.06.25,-1279.9999999999923,,-1279.9999999999923
2018.06.25,-1259.00000000001,,-1259.00000000001
2018.06.25,-1252.0000000000086,,-1252.0000000000086
2018.06.25,-1234.0000000000018,,-1234.0000000000018
2018.06.25,-1255.0000000000061,,-1255.0000000000061
2018.06.25,-1282.0000000000055,,-1282.0000000000055
2018.06.25,-1211.0000000000066,,-1211.0000000000066
2018.06.25,-1228.0000000000068,,-1228.0000000000068
2018.06.26,-1381.00000000001,,-1381.00000000001
2018.06.26,-1478.0000000000016,,-1478.0000000000016
2018.06.26,-1358.999999999999,,-1358.999999999999
2018.06.26,-1299.0000000000057,,-1299.0000000000057
2018.06.26,-1383.000000000001,,-1383.000000000001
2018.06.26,-1401.999999999992,,-1401.999999999992
2018.06.26,-1398.0000000000105,,-1398.0000000000105
2018.06.26,-1357.0000000000082,,-1357.0000000000082
2018.06.26,-1307.999999999998,,-1307.999999999998
2018.06.26,-1371.0000000000111,,-1371.0000000000111
2018.06.26,-1480.999999999999,,-1480.999999999999
2018.06.26,-1489.000000000007,,-1489.000000000007
2018.06.26,-1642.00000000001,,-1642.00000000001
2018.06.26,-1629.0000000000139,,-1629.0000000000139
2018.06.26,-1523.0000000000077,,-1523.0000000000077
2018.06.26,-1478.0000000000016,,-1478.0000000000016
2018.06.26,-1466.9999999999961,,-1466.9999999999961
2018.06.26,-1444.000000000001,,-1444.000000000001
2018.06.26,-1408.9999999999936,,-1408.9999999999936
2018.06.26,-1547.0000000000095,,-1547.0000000000095
2018.06.26,-1662.000000000008,,-1662.000000000008
2018.06.26,-1541.9999999999989,,-1541.9999999999989
2018.06.26,-1391.0000000000089,,-1391.0000000000089
2018.06.26,-1400.0000000000011,,-1400.0000000000011
2018.06.26,-1327.0000000000116,,-1327.0000000000116
2018.06.26,-1340.000000000008,,-1340.000000000008
2018.06.26,-1370.0000000000045,,-1370.0000000000045
2018.06.26,-1380.0000000000034,,-1380.0000000000034
2018.06.26,-1493.9999999999952,,-1493.9999999999952
2018.06.26,-1557.0000000000084,,-1557.0000000000084
2018.06.26,-1556.0000000000018,,-1556.0000000000018
2018.06.26,-1627.0000000000007,,-1627.0000000000007
2018.06.26,-1635.0000000000086,,-1635.0000000000086
2018.06.26,-1675.0000000000043,,-1675.0000000000043
2018.06.26,-1679.0000000000082,,-1679.0000000000082
2018.06.26,-1706.0000000000075,,-1706.0000000000075
2018.06.26,-1692.0000000000045,,-1692.0000000000045
2018.06.26,-1671.0000000000002,,-1671.0000000000002
2018.06.26,-1668.0000000000027,,-1668.0000000000027
2018.06.26,-1601.9999999999923,,-1601.9999999999923
2018.06.26,-1629.0000000000139,,-1629.0000000000139
2018.06.26,-1483.9999999999964,,-1483.9999999999964
2018.06.26,-1506.0000000000073,,-1506.0000000000073
2018.06.26,-1493.9999999999952,,-1493.9999999999952
2018.06.26,-1533.0000000000066,,-1533.0000000000066
2018.06.26,-1500.9999999999968,,-1500.9999999999968
2018.06.26,-1469.9999999999936,,-1469.9999999999936
2018.06.26,-1510.9999999999957,,-1510.9999999999957
2018.06.27,-1510.0000000000114,,-1510.0000000000114
