date,EURNZD,empty,sum
2018.06.25,-87.99999999999919,,-87.99999999999919
2018.06.25,-156.00000000000057,,-156.00000000000057
2018.06.25,-171.00000000001003,,-171.00000000001003
2018.06.25,-191.99999999999218,,-191.99999999999218
2018.06.25,-143.00000000000423,,-143.00000000000423
2018.06.25,-129.00000000000134,,-129.00000000000134
2018.06.25,-134.99999999999625,,-134.99999999999625
2018.06.25,-205.00000000001074,,-205.00000000001074
2018.06.25,-211.00000000000563,,-211.00000000000563
2018.06.25,-293.0000000000099,,-293.0000000000099
2018.06.25,-306.00000000000625,,-306.00000000000625
2018.06.25,-373.00000000000114,,-373.00000000000114
2018.06.25,-357.00000000000733,,-357.00000000000733
2018.06.25,-408.00000000000836,,-408.00000000000836
2018.06.25,-411.0000000000058,,-411.0000000000058
2018.06.25,-380.00000000000256,,-380.00000000000256
2018.06.25,-307.00000000001285,,-307.00000000001285
2018.06.25,-324.0000000000132,,-324.0000000000132
2018.06.25,-302.0000000000023,,-302.0000000000023
2018.06.25,-232.99999999999432,,-232.99999999999432
2018.06.25,-107.99999999999699,,-107.99999999999699
2018.06.25,-89.00000000000574,,-89.00000000000574
2018.06.25,-268.0000000000016,,-268.0000000000016
2018.06.25,-459.99999999999375,,-459.99999999999375
2018.06.25,-380.00000000000256,,-380.00000000000256
2018.06.25,-392.9999999999989,,-392.9999999999989
2018.06.25,-480.00000000001376,,-480.00000000001376
2018.06.25,-432.0000000000102,,-432.0000000000102
2018.06.25,-805.9999999999956,,-805.9999999999956
2018.06.25,-896.9999999999923,,-896.9999999999923
2018.06.25,-968.0000000000133,,-968.0000000000133
2018.06.25,-929.000000000002,,-929.000000000002
2018.06.25,-1022.9999999999961,,-1022.9999999999961
2018.06.25,-1017.0000000000013,,-1017.0000000000013
2018.06.25,-1015.9999999999947,,-1015.9999999999947
2018.06.25,-1123.9999999999916,,-1123.9999999999916
2018.06.25,-1170.0000000000043,,-1170.0000000000043
2018.06.25,-1147.9999999999934,,-1147.9999999999934
