date,USDCHF,empty,sum
2020.09.21,-78.99999999999574,,-78.99999999999574
2020.09.21,-87.99999999999919,,-87.99999999999919
2020.09.21,-95.99999999999609,,-95.99999999999609
2020.09.21,-71.99999999999429,,-71.99999999999429
2020.09.21,-100.99999999999554,,-100.99999999999554
2020.09.21,-97.00000000000264,,-97.00000000000264
2020.09.21,-129.00000000000134,,-129.00000000000134
2020.09.21,-82.99999999999974,,-82.99999999999974
2020.09.21,-31.000000000003247,,-31.000000000003247
2020.09.21,-51.000000000001044,,-51.000000000001044
2020.09.21,-34.99999999999615,,-34.99999999999615
2020.09.21,-10.999999999994348,,-10.999999999994348
2020.09.21,-0.999999999995449,,-0.999999999995449
2020.09.21,29.999999999996696,,29.999999999996696
2020.09.21,33.000000000005244,,33.000000000005244
2020.09.21,34.000000000000696,,34.000000000000696
2020.09.21,9.999999999998899,,9.999999999998899
2020.09.21,-9.999999999998899,,-9.999999999998899
2020.09.21,-31.000000000003247,,-31.000000000003247
2020.09.21,-46.00000000000159,,-46.00000000000159
2020.09.21,-29.000000000001247,,-29.000000000001247
2020.09.21,-88.99999999999464,,-88.99999999999464
2020.09.21,-197.99999999999818,,-197.99999999999818
2020.09.21,-368.9999999999971,,-368.9999999999971
2020.09.21,-456.00000000000085,,-456.00000000000085
2020.09.21,-527.9999999999951,,-527.9999999999951
2020.09.21,-509.9999999999993,,-509.9999999999993
2020.09.21,-442.9999999999934,,-442.9999999999934
2020.09.21,-407.0000000000018,,-407.0000000000018
2020.09.21,-295.99999999999625,,-295.99999999999625
2020.09.21,-412.9999999999967,,-412.9999999999967
2020.09.21,-449.9999999999948,,-449.9999999999948
2020.09.21,-458.00000000000284,,-458.00000000000284
2020.09.21,-566.9999999999953,,-566.9999999999953
2020.09.21,-580.9999999999982,,-580.9999999999982
2020.09.21,-605.0,,-605.0
2020.09.21,-693.9999999999947,,-693.9999999999947
2020.09.21,-680.9999999999983,,-680.9999999999983
2020.09.21,-636.0000000000032,,-636.0000000000032
2020.09.21,-675.0000000000034,,-675.0000000000034
2020.09.21,-626.9999999999998,,-626.9999999999998
2020.09.21,-549.9999999999949,,-549.9999999999949
2020.09.21,-536.9999999999986,,-536.9999999999986
2020.09.21,-544.9999999999955,,-544.9999999999955
2020.09.21,-502.00000000000244,,-502.00000000000244
2020.09.21,-476.9999999999941,,-476.9999999999941
2020.09.21,-493.99999999999443,,-493.99999999999443
2020.09.21,-475.0000000000032,,-475.0000000000032
2020.09.22,-431.0000000000036,,-431.0000000000036
2020.09.22,-434.9999999999965,,-434.9999999999965
2020.09.22,-478.9999999999961,,-478.9999999999961
2020.09.22,-490.999999999997,,-490.999999999997
2020.09.22,-490.999999999997,,-490.999999999997
2020.09.22,-519.0000000000028,,-519.0000000000028
2020.09.22,-544.9999999999955,,-544.9999999999955
