date,GBPUSD,USDJPY,NZDUSD,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURNZD,CADJPY,AUDJPY,NZDJPY,AUDNZD,empty,sum
2019.06.17,-49.00000000001015,12.000000000000455,-42.999999999993044,16.0000000000049,-30.999999999992145,-9.999999999998899,-52.99999999999727,-62.99999999999084,-206.00000000001728,-33.00000000000125,163.9999999999864,13.00000000000523,27.999999999991587,-21.000000000000796,60.99999999999994,,-215.00000000001313
2019.06.17,-73.00000000001194,-6.000000000000227,-42.999999999993044,12.999999999996348,-24.999999999997247,9.00000000000345,-67.99999999998363,-112.000000000001,-231.0000000000034,-43.99999999999693,226.99999999999943,21.000000000000796,9.999999999990905,-34.99999999999659,112.000000000001,,-244.99999999999207
2019.06.17,-150.00000000000568,-43.00000000000637,-15.999999999993797,0.999999999995449,-8.999999999992347,4.000000000004,-212.99999999999386,-191.99999999999218,-340.00000000000693,-128.99999999999068,373.99999999998545,-31.999999999996476,-18.000000000000682,-30.000000000001137,158.99999999999804,,-633.999999999997
2019.06.17,-128.000000000017,-49.000000000006594,-22.999999999995246,-12.999999999996348,-5.999999999994898,19.999999999997797,-192.99999999998363,-190.99999999998562,-252.0000000000078,-132.99999999999557,357.99999999999164,-22.999999999996135,-43.00000000000637,-37.9999999999967,183.99999999998417,,-530.0000000000082
2019.06.17,-136.00000000000279,-47.000000000011255,-60.99999999999994,-48.000000000003595,-53.999999999998494,24.999999999997247,-201.99999999999818,-238.99999999998923,-201.00000000000674,-140.00000000000057,273.9999999999965,-6.000000000000227,-69.00000000000261,-81.00000000000307,159.99999999998238,,-825.0000000000405
2019.06.17,-148.00000000001478,-79.9999999999983,-56.0000000000005,-77.00000000000485,-75.9999999999983,16.0000000000049,-252.9999999999859,-225.99999999999287,-218.00000000000708,-179.9999999999926,282.9999999999888,-44.999999999987494,-97.00000000000841,-97.99999999999898,170.99999999998784,,-1084.0000000000086
2019.06.17,-167.00000000000603,-79.00000000000773,-95.99999999999609,-83.9999999999952,-97.9999999999981,38.0000000000047,-274.99999999997726,-253.99999999999866,-179.00000000001802,-225.9999999999991,255.99999999998957,-45.99999999999227,-121.99999999999989,-137.99999999999102,148.99999999999915,,-1320.999999999986
2019.06.17,-148.00000000001478,-140.00000000000057,-102.00000000000209,-92.99999999999864,-115.99999999999389,43.00000000000415,-330.99999999998886,-276.9999999999939,-156.00000000000057,-283.00000000000125,224.99999999998633,-64.99999999999773,-159.9999999999966,-185.99999999999284,129.00000000000134,,-1659.99999999999
2019.06.17,-129.00000000000134,-142.00000000001012,-103.99999999999298,-82.00000000000429,-124.00000000000189,60.00000000000449,-312.9999999999882,-227.99999999998377,-171.00000000001003,-289.99999999999204,217.99999999998488,-76.99999999999818,-144.99999999999602,-188.99999999999295,102.00000000000209,,-1613.9999999999804
2019.06.17,-173.00000000000094,-121.99999999999989,-127.99999999999478,-117.00000000000044,-140.99999999999113,60.00000000000449,-336.9999999999891,-248.99999999998812,-123.00000000000644,-310.99999999999284,221.99999999998886,-82.99999999999841,-177.0000000000067,-201.99999999999818,129.99999999998568,,-1750.999999999988
