date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDJPY,empty,sum
2018.11.19,-14.000000000002899,-81.99999999999363,-38.99999999998904,-48.99999999999905,-8.000000000009777,,-191.99999999999437
2018.11.19,-72.99999999998974,-76.99999999999818,-28.999999999990145,-19.00000000000235,0.0,,-197.99999999998042
2018.11.19,-12.999999999996348,-43.00000000000637,-7.0000000000014495,-19.00000000000235,-7.000000000005002,,-89.00000000001151
2018.11.19,2.0000000000131024,28.999999999996362,29.999999999996696,-7.0000000000014495,-135.00000000000512,,-81.0000000000004
2018.11.19,-18.999999999991246,-46.999999999997044,-43.999999999999595,23.00000000000635,-84.00000000000318,,-170.9999999999847
2018.11.19,-70.99999999999883,-42.00000000000159,-78.00000000000028,26.999999999999247,-43.00000000000637,,-207.00000000000784
2018.11.19,-5.999999999994898,19.99999999999602,-112.000000000001,-7.9999999999968985,-73.0000000000075,,-179.00000000000426
2018.11.19,5.000000000010552,-3.0000000000001137,-68.00000000000139,43.999999999999595,-26.00000000001046,,-48.000000000001826
2018.11.19,25.00000000000835,70.00000000000739,-58.000000000002494,55.000000000005045,-48.00000000000182,,44.000000000016485
2018.11.19,-14.000000000002899,81.00000000000307,-96.99999999999153,23.00000000000635,-106.99999999999932,,-113.99999999998433
2018.11.19,35.00000000000725,81.00000000000307,-83.9999999999952,-5.999999999994898,-170.0000000000017,,-143.99999999998147
2018.11.19,17.000000000000348,33.00000000000125,-116.99999999998934,-42.999999999993044,-186.00000000000705,,-295.99999999998784
2018.11.19,-22.999999999995246,1.0000000000047748,-99.00000000000463,-86.99999999999264,-237.99999999999955,,-445.99999999998727
2018.11.19,-65.99999999998829,19.000000000005457,-103.99999999999298,-78.00000000000028,-228.00000000000864,,-456.99999999998477
2018.11.19,-103.99999999999298,-36.000000000001364,-175.99999999999838,-112.99999999999643,-240.99999999999966,,-669.9999999999889
2018.11.19,-112.000000000001,-57.999999999992724,-184.00000000000637,-103.99999999999298,-248.00000000000466,,-705.9999999999977
2018.11.19,-127.99999999999478,-63.99999999999295,-154.99999999999403,-104.99999999999955,-246.00000000000932,,-697.9999999999907
2018.11.19,-4.000000000004,-15.000000000000568,-102.00000000000209,-43.999999999999595,-214.00000000001285,,-379.0000000000191
2018.11.19,14.000000000002899,-7.999999999995566,-146.99999999998602,-37.99999999999359,-224.00000000000375,,-402.999999999976
2018.11.19,35.00000000000725,-42.00000000000159,-175.99999999999838,-41.000000000002146,-228.00000000000864,,-452.0000000000035
2018.11.19,202.9999999999976,-90.00000000000341,-130.99999999999224,-4.999999999999449,-218.00000000000352,,-241.00000000000102
2018.11.19,324.0000000000132,-64.99999999999773,-65.00000000000395,-7.0000000000014495,-214.00000000001285,,-27.000000000002785
2018.11.19,155.00000000001623,-84.99999999999375,-174.99999999999181,-87.99999999999919,-291.000000000011,,-483.99999999997954
2018.11.19,178.99999999999582,-37.9999999999967,-184.00000000000637,-80.99999999999774,-347.0000000000084,,-471.0000000000134
2018.11.19,201.00000000000674,61.00000000000705,-143.00000000000423,-64.99999999999284,-367.00000000000443,,-312.9999999999877
2018.11.19,268.0000000000016,28.999999999996362,-157.99999999999147,-82.99999999999974,-353.00000000000864,,-297.00000000000193
2018.11.19,256.00000000001177,-24.00000000000091,-151.9999999999966,-104.99999999999955,-375.0,,-399.9999999999853
2018.11.19,-370.999999999988,-43.00000000000637,-248.00000000000378,-191.99999999999218,-441.0000000000025,,-1294.9999999999927
2018.11.19,-253.99999999999866,-63.00000000000239,-265.99999999998846,-217.0000000000005,-481.00000000000875,,-1280.9999999999986
2018.11.19,-292.9999999999877,-76.99999999999818,-231.0000000000034,-198.99999999999363,-440.00000000001194,,-1239.999999999995
2018.11.19,-173.00000000000094,-40.99999999999682,-225.99999999999287,-176.99999999999383,-453.00000000000296,,-1069.9999999999873
2018.11.19,116.00000000000499,-58.9999999999975,-313.99999999999204,-265.99999999999955,-486.0000000000042,,-1008.9999999999883
2018.11.19,73.99999999999629,-108.00000000000409,-438.9999999999894,-281.99999999999335,-531.0000000000059,,-1285.9999999999964
