date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDJPY,empty,sum
2018.11.19,35.00000000000725,-75.00000000000284,-26.999999999999247,-3.999999999992898,125.0,,54.000000000012264
2018.11.19,4.000000000004,-39.00000000000148,-4.999999999988347,-19.00000000000235,12.999999999991019,,-45.99999999999716
2018.11.19,90.00000000001229,108.99999999999466,114.99999999999844,104.00000000000409,16.999999999995907,,435.00000000000534
2018.11.19,23.00000000001745,40.99999999999682,62.000000000006494,33.000000000005244,-71.00000000001216,,88.00000000001384
2018.11.19,39.00000000001125,-18.000000000000682,0.0,48.99999999999905,18.999999999991246,,89.00000000000085
2018.11.19,29.999999999996696,45.000000000001705,-69.00000000000794,53.999999999998494,-12.000000000000455,,47.9999999999885
2018.11.19,33.00000000001635,52.99999999999727,-32.999999999994145,77.00000000000485,25.99999999999625,,156.00000000002058
2018.11.19,49.00000000001015,70.99999999999795,-24.000000000001798,92.99999999999864,0.0,,189.00000000000495
2018.11.19,26.0000000000149,99.99999999999432,-41.99999999998649,58.99999999999794,-40.00000000000625,,103.00000000001438
2018.11.19,35.00000000000725,81.99999999999363,-80.99999999999774,31.999999999998696,-94.99999999999886,,-26.99999999999703
2018.11.19,60.99999999999994,114.00000000000432,-79.00000000000685,4.999999999999449,-152.00000000000102,,-51.000000000004164
2018.11.19,48.000000000003595,40.99999999999682,-99.00000000000463,-24.999999999997247,-170.0000000000017,,-205.00000000000318
2018.11.19,-17.999999999984695,19.000000000005457,-82.99999999998863,-70.99999999999883,-219.0000000000083,,-371.999999999975
2018.11.19,-58.000000000002494,34.99999999999659,-102.99999999998644,-64.99999999999284,-215.0000000000034,,-405.99999999998863
2018.11.19,-92.99999999998754,-24.00000000000091,-150.99999999999002,-83.9999999999952,-225.00000000000853,,-576.9999999999822
2018.11.19,-45.99999999999049,-48.00000000000182,-141.99999999999767,-85.99999999999719,-212.0000000000033,,-533.9999999999905
2018.11.19,32.0000000000098,-12.000000000000455,-80.99999999999774,-19.999999999997797,-180.00000000000682,,-260.999999999993
2018.11.19,23.00000000001745,10.000000000005116,-97.9999999999981,-35.999999999991594,-190.00000000001194,,-290.9999999999791
2018.11.19,66.00000000001049,46.00000000000648,-127.99999999999478,18.0000000000069,-205.0000000000125,,-202.99999999998343
2018.11.19,259.0000000000092,33.00000000000125,-103.99999999999298,8.000000000008,-216.00000000000819,,-19.99999999998272
2018.11.19,326.0000000000041,-45.000000000001705,-49.99999999999449,65.99999999999939,-120.00000000000455,,177.00000000000273
2018.11.19,368.00000000001273,-46.999999999997044,-15.999999999993797,-5.999999999994898,-207.00000000000784,,92.00000000001916
2018.11.19,224.000000000002,-39.00000000000148,-163.9999999999864,-80.99999999999774,-281.0000000000059,,-340.99999999998954
2018.11.19,388.0000000000106,106.99999999999932,-104.99999999999955,-14.999999999998348,-332.00000000000784,,43.00000000000415
2018.11.19,326.0000000000041,73.0000000000075,-78.00000000000028,-34.99999999999615,-305.0000000000068,,-18.999999999991644
2018.11.19,334.9999999999964,28.999999999996362,-150.00000000000568,-74.99999999999174,-338.0000000000081,,-199.00000000001273
2018.11.19,339.0000000000004,13.999999999995794,-85.99999999998609,-93.99999999999409,-347.999999999999,,-174.99999999998295
2018.11.19,-248.99999999998812,-25.99999999999625,-245.99999999999068,-185.00000000000182,-411.00000000000136,,-1116.9999999999782
2018.11.19,-201.99999999999108,-40.00000000000625,-214.99999999998744,-157.99999999999147,-432.00000000000216,,-1046.9999999999784
2018.11.19,-2.999999999997449,-22.999999999996135,-197.99999999998707,-149.99999999999457,-431.0000000000116,,-804.9999999999868
2018.11.19,249.00000000001032,-10.000000000005116,-73.99999999999629,-119.00000000000244,-407.0000000000107,,-361.0000000000042
2018.11.19,157.00000000000713,-58.9999999999975,-307.99999999999716,-264.999999999993,-481.9999999999993,,-956.9999999999799
2018.11.19,131.99999999999878,-90.00000000000341,-370.00000000000364,-230.99999999999233,-433.00000000000693,,-992.0000000000076
2018.11.19,-44.99999999998394,37.9999999999967,-346.9999999999862,-183.99999999999528,-444.0000000000026,,-981.9999999999712
2018.11.19,277.00000000001614,263.00000000000523,-263.99999999999756,-135.99999999999167,-507.000000000005,,-366.99999999997283
2018.11.19,327.00000000001063,191.0000000000025,-174.99999999999181,-136.99999999999824,-420.0000000000017,,-213.99999999997857
2018.11.19,239.99999999999577,290.00000000000625,-265.99999999998846,-154.99999999999403,-505.00000000000966,,-395.9999999999901
2018.11.19,96.00000000000719,227.00000000000387,-340.00000000000693,-241.99999999999778,-509.00000000000034,,-767.9999999999941
2018.11.19,146.00000000000168,239.00000000000432,-415.99999999999415,-309.99999999999915,-564.0000000000072,,-904.9999999999944
