date,GBPUSD,USDCAD,EURCHF,NZDCHF,EURGBP,EURJPY,EURNZD,empty,sum
2016.05.16,72.0000000000054,-65.99999999998829,61.99999999998429,-68.00000000000139,7.0000000000014495,0.0,-135.00000000001845,,-128.000000000017
2016.05.16,56.99999999999594,-63.99999999999739,90.99999999999665,-136.00000000000279,-56.0000000000005,-33.00000000000125,-200.00000000000017,,-341.0000000000095
2016.05.16,89.00000000000574,-157.99999999999147,80.99999999999774,-80.00000000000229,-32.999999999994145,-162.9999999999967,-35.00000000000725,,-298.9999999999884
2016.05.16,46.0000000000127,-154.99999999999403,153.9999999999875,-63.99999999999739,55.000000000005045,-16.000000000005343,134.99999999999625,,155.00000000000472
2016.05.16,87.00000000001484,-110.99999999999443,191.99999999999218,-161.99999999999548,55.000000000005045,45.000000000001705,-49.00000000001015,,57.00000000001371
2016.05.16,36.0000000000138,-162.99999999997982,227.99999999998377,-126.0000000000039,80.00000000000229,118.99999999999977,95.999999999985,,270.0000000000009
2016.05.16,48.000000000003595,-167.9999999999904,183.99999999998417,-161.99999999999548,4.000000000004,128.0000000000001,-63.000000000013046,,-29.00000000000705
2016.05.16,12.000000000012001,-189.99999999997908,140.99999999999113,-85.99999999999719,-7.0000000000014495,150.99999999999625,68.99999999998573,,90.00000000000739
2016.05.16,97.9999999999981,-210.99999999998343,153.9999999999875,-77.00000000000485,-17.000000000000348,138.9999999999958,99.99999999998899,,185.99999999998175
2016.05.16,121.00000000001555,-129.99999999998568,224.000000000002,-14.000000000002899,-19.00000000000235,277.9999999999916,375.9999999999986,,836.0000000000168
2016.05.16,211.00000000000563,39.00000000001125,232.99999999999432,-124.99999999999733,-60.99999999999994,244.99999999999034,95.999999999985,,637.9999999999893
2016.05.16,188.00000000001037,39.00000000001125,207.00000000000162,-192.99999999999872,-82.99999999999974,355.99999999999454,-104.99999999999955,,409.0000000000198
2016.05.16,209.9999999999991,67.00000000001705,207.99999999998596,-224.000000000002,-90.0000000000012,289.0000000000015,-182.0000000000155,,277.9999999999849
