date,USDCHF,EURUSD,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.01.27,-2.000000000002,-8.000000000008,25.00000000000835,46.00000000000159,-65.00000000000395,-9.999999999998899,-13.999999999995794,-24.999999999997247,4.999999999999449,-22.999999999995246,19.00000000000235,61.00000000000705,87.99999999999919,156.00000000000057,85.00000000000173,-143.00000000000423,-39.99999999999204,-26.00000000001046,87.99999999999919,-51.000000000001044,32.999999999994145,,199.00000000000463
2020.01.27,-2.000000000002,4.999999999988347,-5.000000000010552,46.999999999997044,-109.99999999999899,5.000000000010552,-13.999999999995794,-5.999999999994898,4.000000000004,-58.99999999999794,12.000000000000899,12.000000000000455,35.00000000000725,160.00000000000458,84.0000000000174,-156.00000000000057,-24.00000000000091,-77.00000000001239,82.99999999999974,-108.99999999999244,-1.0000000000065512,,-115.99999999998276
2020.01.27,-114.99999999999844,42.999999999993044,48.000000000003595,-34.99999999999615,-58.99999999999794,-82.99999999998863,-3.9999999999906777,-76.99999999999375,-122.99999999999534,40.00000000000669,71.00000000000995,281.99999999998226,39.999999999995595,-52.99999999999194,-193.99999999998306,75.99999999998718,176.00000000000193,84.99999999999375,2.999999999997449,-91.99999999999208,-48.000000000003595,,-18.99999999996018
2020.01.27,-20.0000000000089,-51.000000000001044,123.99999999999079,-93.99999999999409,94.00000000000519,-82.99999999998863,36.000000000001364,-44.99999999999504,-115.99999999999389,128.00000000000588,64.0000000000085,300.9999999999877,43.999999999999595,-113.99999999999189,-200.99999999998454,329.00000000000153,201.99999999999818,218.9999999999941,-26.999999999999247,64.0000000000085,126.0000000000039,,980.000000000048
2020.01.27,17.999999999995797,44.99999999998394,-7.0000000000014495,43.00000000000415,-65.99999999999939,50.0000000000167,-96.9999999999942,56.99999999999594,26.999999999999247,-53.999999999998494,58.000000000002494,-51.00000000001614,56.99999999999594,96.99999999999153,-20.999999999982144,66.99999999999484,-63.00000000000239,-66.0000000000025,63.00000000000195,-65.99999999999939,87.99999999999919,,178.9999999999856
2020.01.27,7.9999999999968985,24.999999999986144,8.000000000008,31.999999999998696,-20.999999999993246,21.00000000000435,-164.99999999999204,39.999999999995595,26.000000000003798,-2.000000000002,69.00000000000794,-75.00000000001705,92.00000000000318,139.00000000000023,-10.999999999983245,165.9999999999995,-87.99999999999386,-56.000000000011596,63.00000000000195,-13.999999999991797,140.99999999999113,,398.0000000000125
2020.01.27,8.999999999992347,19.999999999997797,39.999999999995595,13.00000000000745,-4.999999999999449,19.999999999997797,-134.9999999999909,21.999999999999797,7.0000000000014495,14.000000000002899,74.00000000000739,-22.999999999996135,65.99999999998829,99.00000000000463,-51.000000000001044,197.00000000000273,-46.999999999997044,-17.000000000010118,58.99999999999794,-14.999999999998348,139.00000000000023,,486.0000000000033
2020.01.27,19.999999999997797,39.999999999995595,76.99999999999375,-15.999999999993797,33.000000000005244,49.00000000001015,-96.9999999999942,4.999999999999449,-12.000000000000899,43.00000000000415,91.00000000000774,2.0000000000095497,11.00000000000545,17.000000000000348,-153.00000000000313,323.99999999999096,-1.9999999999953388,33.999999999991815,50.0000000000056,8.000000000008,154.99999999999403,,679.0000000000323
2020.01.27,-8.000000000008,29.999999999996696,126.99999999998823,-76.99999999999375,95.99999999999609,11.00000000000545,-84.99999999999375,-56.99999999999594,-90.99999999999665,121.99999999999989,135.00000000000733,147.99999999999613,65.00000000000395,-35.00000000000725,-279.99999999999136,461.0000000000003,94.0000000000083,134.00000000000034,-2.999999999997449,63.00000000000195,158.99999999999804,,1009.0000000000184
2020.01.27,18.999999999991246,-6.000000000017103,140.0000000000068,-86.99999999999264,112.99999999999643,6.000000000017103,-55.999999999997385,-24.999999999997247,-83.9999999999952,119.99999999999788,125.00000000000844,173.00000000000182,76.99999999999375,-29.999999999996696,-251.99999999998556,465.0000000000043,103.9999999999992,149.0000000000009,-9.00000000000345,74.00000000000739,164.99999999999292,,1181.000000000033
2020.01.27,63.99999999999739,-9.999999999998899,124.99999999999733,-42.999999999993044,102.00000000000209,50.0000000000167,-66.99999999999307,19.999999999997797,-9.999999999998899,79.00000000000685,145.00000000000622,133.99999999998613,148.99999999999915,154.0000000000097,-141.99999999999767,434.000000000001,15.000000000000568,97.99999999999898,39.00000000000014,70.0000000000034,217.0000000000005,,1623.0000000000423
2020.01.27,65.99999999999939,-15.00000000000945,96.00000000000719,-29.000000000001247,65.99999999999939,46.999999999997044,-104.99999999998977,34.99999999999615,6.0000000000060005,45.000000000006146,112.000000000001,31.999999999982265,120.99999999999334,116.00000000000499,-102.99999999998644,313.99999999999204,-27.000000000001023,33.999999999991815,40.00000000000669,39.00000000000014,184.99999999999073,,1074.9999999999864
2020.01.27,49.99999999999449,-15.00000000000945,87.99999999999919,-46.00000000000159,72.0000000000054,22.0000000000109,-142.99999999998647,26.000000000003798,-25.999999999992696,63.00000000000195,100.00000000000009,-7.000000000005002,100.99999999999554,39.00000000001125,-143.00000000000423,333.9999999999899,-16.999999999995907,31.999999999996476,14.999999999998348,55.000000000005045,170.99999999998784,,771.0000000000048
