date,GBPUSD,EURUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,GBPJPY,EURJPY,EURCAD,EURAUD,CADJPY,NZDCAD,empty,sum
2020.06.22,103.00000000000864,18.0000000000069,149.99999999999457,228.99999999999034,-182.00000000000216,52.99999999999194,204.99999999998408,-131.9999999999908,-11.999999999989797,-232.99999999999432,21.000000000000796,182.99999999999983,,403.00000000000006
2020.06.22,147.99999999999258,4.000000000004,122.99999999999534,226.99999999999943,-212.99999999999386,21.999999999999797,197.99999999997908,-110.99999999999,-8.999999999992347,-228.99999999999034,4.0000000000048885,126.99999999999933,,291.0000000000079
2020.06.22,63.99999999999739,-12.000000000012001,129.9999999999968,248.99999999998812,-221.9999999999942,108.99999999999244,198.99999999998386,-144.99999999999602,9.999999999998899,-287.9999999999994,61.00000000000705,162.0000000000066,,316.99999999996965
2020.06.22,55.000000000005045,-12.999999999996348,192.00000000000327,214.00000000000307,-219.99999999999886,85.99999999999719,152.9999999999916,-111.99999999999477,-4.999999999988347,-332.9999999999833,43.00000000000637,252.0000000000078,,312.00000000005264
2020.06.22,-25.999999999992696,-103.00000000000864,165.9999999999995,190.00000000000128,-161.00000000000136,73.00000000000084,55.999999999983174,-0.999999999990564,-17.000000000000348,-224.000000000002,-30.9999999999917,274.00000000000756,,196.00000000000506
2020.06.22,42.999999999993044,-52.99999999999194,182.99999999999983,249.99999999999466,-192.99999999999784,97.9999999999981,153.99999999999636,-81.99999999999363,-7.0000000000014495,-261.9999999999845,14.000000000010004,263.99999999999756,,409.0000000000201
2020.06.22,35.999999999991594,-14.000000000002899,237.99999999999378,180.0000000000024,-265.00000000000057,82.99999999999974,159.9999999999966,-137.00000000000045,11.00000000000545,-385.99999999999744,46.999999999997044,317.0000000000006,,269.9999999999859
2020.06.22,59.99999999999339,-18.0000000000069,287.0000000000039,251.99999999998556,-189.99999999999773,93.99999999999409,147.99999999999613,-96.9999999999942,40.0000000000178,-418.9999999999916,12.000000000000455,406.00000000000637,,575.0000000000073
2020.06.22,209.9999999999991,26.999999999999247,370.00000000000364,364.9999999999931,-280.9999999999917,148.99999999999915,393.99999999997704,-221.00000000000364,-68.00000000000139,-648.9999999999885,138.00000000000523,414.9999999999987,,848.9999999999902
2020.06.22,205.00000000001074,31.999999999987594,339.99999999999585,361.9999999999957,-283.9999999999918,147.99999999999258,385.9999999999957,-219.99999999999886,-45.99999999999049,-652.9999999999925,139.00000000001,389.000000000006,,798.0000000000206
