date,AUDCAD,empty,sum
2017.05.01,-269.9999999999925,,-269.9999999999925
2017.05.01,-234.00000000000088,,-234.00000000000088
2017.05.01,-241.00000000000233,,-241.00000000000233
2017.05.01,-231.0000000000034,,-231.0000000000034
2017.05.01,-217.99999999998488,,-217.99999999998488
2017.05.01,-131.99999999999878,,-131.99999999999878
2017.05.01,-197.99999999998707,,-197.99999999998707
2017.05.01,-262.999999999991,,-262.999999999991
2017.05.01,-262.999999999991,,-262.999999999991
2017.05.01,-231.0000000000034,,-231.0000000000034
2017.05.01,-243.99999999999977,,-243.99999999999977
2017.05.01,-285.99999999998624,,-285.99999999998624
2017.05.01,-322.9999999999844,,-322.9999999999844
2017.05.01,-350.9999999999902,,-350.9999999999902
2017.05.01,-370.999999999988,,-370.999999999988
2017.05.01,-361.9999999999957,,-361.9999999999957
2017.05.01,-419.9999999999982,,-419.9999999999982
2017.05.01,-414.00000000000324,,-414.00000000000324
2017.05.01,-445.99999999999085,,-445.99999999999085
2017.05.01,-523.9999999999911,,-523.9999999999911
2017.05.01,-581.9999999999936,,-581.9999999999936
2017.05.01,-625.9999999999932,,-625.9999999999932
2017.05.01,-690.9999999999972,,-690.9999999999972
2017.05.01,-683.9999999999957,,-683.9999999999957
2017.05.01,-655.9999999999899,,-655.9999999999899
2017.05.01,-641.999999999987,,-641.999999999987
2017.05.01,-646.9999999999976,,-646.9999999999976
2017.05.01,-696.999999999992,,-696.999999999992
2017.05.01,-822.9999999999959,,-822.9999999999959
2017.05.01,-839.9999999999964,,-839.9999999999964
2017.05.01,-902.9999999999872,,-902.9999999999872
2017.05.01,-917.9999999999966,,-917.9999999999966
2017.05.01,-844.9999999999847,,-844.9999999999847
2017.05.01,-912.0000000000017,,-912.0000000000017
2017.05.01,-1075.0000000000036,,-1075.0000000000036
2017.05.01,-1068.9999999999866,,-1068.9999999999866
2017.05.01,-966.0000000000002,,-966.0000000000002
2017.05.01,-892.0000000000039,,-892.0000000000039
2017.05.01,-897.9999999999987,,-897.9999999999987
2017.05.01,-919.9999999999875,,-919.9999999999875
2017.05.01,-958.9999999999987,,-958.9999999999987
2017.05.01,-1004.9999999999892,,-1004.9999999999892
2017.05.01,-1005.9999999999958,,-1005.9999999999958
2017.05.01,-1008.9999999999932,,-1008.9999999999932
2017.05.01,-1048.0000000000045,,-1048.0000000000045
2017.05.01,-1034.999999999986,,-1034.999999999986
2017.05.01,-1032.999999999995,,-1032.999999999995
2017.05.01,-1005.9999999999958,,-1005.9999999999958
2017.05.02,-983.9999999999849,,-983.9999999999849
2017.05.02,-994.000000000006,,-994.000000000006
2017.05.02,-1024.0000000000027,,-1024.0000000000027
2017.05.02,-1014.9999999999882,,-1014.9999999999882
2017.05.02,-1021.0000000000052,,-1021.0000000000052
2017.05.02,-1041.000000000003,,-1041.000000000003
2017.05.02,-1070.9999999999998,,-1070.9999999999998
2017.05.02,-1163.000000000003,,-1163.000000000003
2017.05.02,-1160.9999999999898,,-1160.9999999999898
2017.05.02,-1129.0000000000023,,-1129.0000000000023
2017.05.02,-1072.9999999999907,,-1072.9999999999907
2017.05.02,-1080.9999999999986,,-1080.9999999999986
2017.05.02,-1095.0000000000016,,-1095.0000000000016
2017.05.02,-1079.999999999992,,-1079.999999999992
2017.05.02,-1053.9999999999993,,-1053.9999999999993
2017.05.02,-1207.9999999999868,,-1207.9999999999868
2017.05.02,-1157.9999999999923,,-1157.9999999999923
2017.05.02,-1097.999999999999,,-1097.999999999999
2017.05.02,-1065.999999999989,,-1065.999999999989
2017.05.02,-1005.9999999999958,,-1005.9999999999958
2017.05.02,-1038.0000000000057,,-1038.0000000000057
2017.05.02,-1031.000000000004,,-1031.000000000004
2017.05.02,-964.9999999999936,,-964.9999999999936
2017.05.02,-966.9999999999845,,-966.9999999999845
2017.05.02,-958.9999999999987,,-958.9999999999987
2017.05.02,-897.9999999999987,,-897.9999999999987
2017.05.02,-861.0000000000007,,-861.0000000000007
2017.05.02,-825.9999999999934,,-825.9999999999934
2017.05.02,-785.9999999999978,,-785.9999999999978
2017.05.02,-785.9999999999978,,-785.9999999999978
2017.05.02,-882.9999999999893,,-882.9999999999893
2017.05.02,-1011.0000000000064,,-1011.0000000000064
2017.05.02,-1120.9999999999943,,-1120.9999999999943
2017.05.02,-1124.9999999999982,,-1124.9999999999982
2017.05.02,-1252.999999999993,,-1252.999999999993
2017.05.02,-1295.9999999999861,,-1295.9999999999861
2017.05.02,-1387.000000000005,,-1387.000000000005
2017.05.02,-1482.0000000000055,,-1482.0000000000055
2017.05.02,-1397.0000000000039,,-1397.0000000000039
2017.05.02,-1384.9999999999918,,-1384.9999999999918
2017.05.02,-1329.0000000000025,,-1329.0000000000025
2017.05.02,-1332.999999999984,,-1332.999999999984
2017.05.02,-1340.9999999999923,,-1340.9999999999923
2017.05.02,-1380.9999999999877,,-1380.9999999999877
2017.05.02,-1383.9999999999852,,-1383.9999999999852
2017.05.02,-1394.9999999999907,,-1394.9999999999907
2017.05.02,-1333.9999999999907,,-1333.9999999999907
2017.05.02,-1334.9999999999973,,-1334.9999999999973
2017.05.03,-1349.9999999999845,,-1349.9999999999845
2017.05.03,-1346.0000000000027,,-1346.0000000000027
2017.05.03,-1331.9999999999998,,-1331.9999999999998
2017.05.03,-1383.9999999999852,,-1383.9999999999852
2017.05.03,-1404.0000000000052,,-1404.0000000000052
2017.05.03,-1421.99999999999,,-1421.99999999999
2017.05.03,-1485.9999999999873,,-1485.9999999999873
2017.05.03,-1479.9999999999925,,-1479.9999999999925
2017.05.03,-1466.9999999999961,,-1466.9999999999961
2017.05.03,-1360.0000000000057,,-1360.0000000000057
2017.05.03,-1241.9999999999875,,-1241.9999999999875
2017.05.03,-1231.9999999999886,,-1231.9999999999886
2017.05.03,-1178.9999999999968,,-1178.9999999999968
2017.05.03,-1120.9999999999943,,-1120.9999999999943
2017.05.03,-1075.9999999999882,,-1075.9999999999882
2017.05.03,-1126.999999999989,,-1126.999999999989
2017.05.03,-1127.9999999999957,,-1127.9999999999957
2017.05.03,-1093.999999999995,,-1093.999999999995
2017.05.03,-1014.0000000000038,,-1014.0000000000038
2017.05.03,-895.0000000000014,,-895.0000000000014
2017.05.03,-778.9999999999964,,-778.9999999999964
2017.05.03,-802.9999999999982,,-802.9999999999982
2017.05.03,-844.0000000000003,,-844.0000000000003
2017.05.03,-777.9999999999898,,-777.9999999999898
2017.05.03,-756.0000000000011,,-756.0000000000011
2017.05.03,-719.9999999999873,,-719.9999999999873
2017.05.03,-665.9999999999889,,-665.9999999999889
2017.05.03,-636.9999999999986,,-636.9999999999986
2017.05.03,-624.9999999999867,,-624.9999999999867
2017.05.03,-652.9999999999925,,-652.9999999999925
2017.05.03,-645.999999999991,,-645.999999999991
2017.05.03,-651.9999999999859,,-651.9999999999859
2017.05.03,-641.999999999987,,-641.999999999987
2017.05.03,-519.0000000000028,,-519.0000000000028
2017.05.03,-409.99999999999926,,-409.99999999999926
2017.05.03,-409.99999999999926,,-409.99999999999926
2017.05.03,-253.99999999999866,,-253.99999999999866
2017.05.03,-171.99999999999437,,-171.99999999999437
2017.05.03,-225.99999999999287,,-225.99999999999287
2017.05.03,-252.99999999999213,,-252.99999999999213
2017.05.03,-249.99999999999466,,-249.99999999999466
2017.05.03,-161.99999999999548,,-161.99999999999548
2017.05.03,-123.99999999999079,,-123.99999999999079
2017.05.03,0.0,,0.0
2017.05.03,53.999999999998494,,53.999999999998494
2017.05.03,69.00000000000794,,69.00000000000794
2017.05.03,24.000000000001798,,24.000000000001798
2017.05.03,9.000000000014552,,9.000000000014552
2017.05.04,39.00000000001125,,39.00000000001125
2017.05.04,24.000000000001798,,24.000000000001798
2017.05.04,-0.9999999999843467,,-0.9999999999843467
2017.05.04,-29.999999999996696,,-29.999999999996696
2017.05.04,4.000000000004,,4.000000000004
2017.05.04,-11.999999999989797,,-11.999999999989797
2017.05.04,-14.000000000002899,,-14.000000000002899
2017.05.04,43.999999999999595,,43.999999999999595
2017.05.04,154.0000000000097,,154.0000000000097
2017.05.04,112.000000000001,,112.000000000001
2017.05.04,253.00000000001432,,253.00000000001432
2017.05.04,241.00000000000233,,241.00000000000233
2017.05.04,144.99999999999514,,144.99999999999514
2017.05.04,93.99999999999409,,93.99999999999409
2017.05.04,123.00000000000644,,123.00000000000644
2017.05.04,188.9999999999947,,188.9999999999947
2017.05.04,265.0000000000041,,265.0000000000041
2017.05.04,321.0000000000157,,321.0000000000157
2017.05.04,276.9999999999939,,276.9999999999939
2017.05.04,272.00000000000557,,272.00000000000557
2017.05.04,228.00000000000597,,228.00000000000597
2017.05.04,283.99999999999534,,283.99999999999534
2017.05.04,265.0000000000041,,265.0000000000041
2017.05.04,214.00000000000307,,214.00000000000307
2017.05.04,309.0000000000037,,309.0000000000037
2017.05.04,340.00000000000693,,340.00000000000693
