date,GBPCHF,EURCHF,CHFJPY,EURGBP,GBPJPY,AUDNZD,empty,sum
2017.07.10,-123.00000000000644,-59.000000000009045,-72.00000000000273,-67.9999999999903,-246.00000000000932,-118.99999999998023,,-686.9999999999981
2017.07.10,-181.9999999999933,29.999999999996696,-12.000000000000455,-11.999999999989797,-314.9999999999977,-175.99999999999838,,-666.999999999983
2017.07.10,-185.00000000001293,63.99999999999739,47.99999999998761,1.0000000000065512,-330.0000000000125,-131.99999999999878,,-534.0000000000326
2017.07.10,-171.00000000001003,68.99999999998573,92.99999999998931,11.00000000000545,-325.00000000001705,-139.00000000000023,,-462.00000000004684
2017.07.10,-182.99999999999983,64.99999999998174,82.99999999999841,-0.999999999995449,-292.0000000000016,-200.00000000000017,,-528.0000000000168
2017.07.10,-181.9999999999933,80.99999999999774,93.99999999999409,16.0000000000049,-289.0000000000157,-200.99999999998454,,-480.9999999999968
2017.07.10,-238.0000000000049,81.9999999999821,36.000000000001364,-7.9999999999968985,-295.0000000000159,-230.9999999999812,,-654.0000000000155
2017.07.10,-282.0000000000045,98.99999999998244,69.99999999999318,-41.9999999999976,-507.000000000005,-266.999999999995,,-929.0000000000265
2017.07.10,-252.99999999999213,103.99999999999298,200.9999999999934,-21.999999999999797,-579.0000000000077,-241.99999999998667,,-791.0
2017.07.10,-256.00000000001177,120.99999999999334,239.99999999999488,-9.999999999998899,-621.0000000000093,-310.9999999999946,,-837.0000000000264
2017.07.10,-273.0000000000121,127.99999999999478,250.99999999999056,-14.999999999998348,-627.0000000000095,-334.9999999999964,,-871.0000000000312
2017.07.10,-266.0000000000107,126.99999999998823,228.9999999999992,-15.999999999993797,-587.0000000000175,-337.99999999999386,,-851.0000000000284
2017.07.10,-280.0000000000136,134.99999999999625,208.99999999998897,-12.999999999996348,-544.0000000000111,-323.99999999999096,,-817.0000000000268
2017.07.10,-276.00000000000955,137.9999999999937,230.99999999999454,-7.9999999999968985,-563.0000000000166,-297.9999999999983,,-776.0000000000331
2017.07.10,-263.00000000001324,135.9999999999806,211.9999999999891,3.0000000000085514,-551.9999999999925,-290.9999999999968,,-755.0000000000243
2017.07.10,-276.9999999999939,130.99999999999224,203.99999999999352,-17.999999999995797,-526.0000000000105,-227.99999999998377,,-713.9999999999982
2017.07.10,-337.0000000000095,137.9999999999937,200.9999999999934,-51.99999999999649,-618.9999999999998,-228.99999999999034,,-898.000000000009
2017.07.10,-334.9999999999964,134.99999999999625,213.99999999999864,-54.999999999993946,-662.0000000000061,-241.99999999998667,,-944.9999999999883
2017.07.10,-394.00000000000546,108.99999999998133,286.00000000000136,-102.99999999999754,-774.0000000000009,-162.99999999997982,,-1039.000000000001
2017.07.10,-387.000000000004,100.99999999999554,236.99999999999477,-107.99999999999699,-790.9999999999968,-156.99999999998494,,-1104.9999999999925
2017.07.10,-320.9999999999935,121.99999999999989,238.9999999999901,-30.999999999992145,-723.0000000000132,-229.99999999999687,,-944.0000000000057
2017.07.10,-249.99999999999466,115.99999999998278,307.9999999999927,3.0000000000085514,-670.0000000000159,-145.99999999997948,,-639.0000000000059
2017.07.10,-212.00000000001216,102.99999999998644,251.99999999999534,40.00000000000669,-560.0000000000023,-67.9999999999792,,-445.0000000000052
2017.07.10,-191.00000000000784,91.99999999998099,188.99999999999295,20.0000000000089,-575.000000000017,-91.99999999998099,,-557.0000000000231
2017.07.10,-195.9999999999962,115.99999999998278,113.99999999999011,76.0000000000094,-421.99999999999704,-119.99999999998678,,-431.9999999999977
2017.07.10,-224.000000000002,150.99999999999002,51.9999999999925,47.00000000000814,-342.00000000001296,-108.99999999998133,,-425.00000000000557
2017.07.10,-391.9999999999924,160.99999999998892,12.000000000000455,25.00000000000835,-412.00000000000614,-131.99999999999878,,-737.9999999999995
2017.07.10,-425.0000000000087,285.99999999998624,-51.00000000000193,27.00000000001035,-406.0000000000059,-142.99999999998204,,-712.000000000002
2017.07.10,-605.9999999999955,300.99999999999574,-155.00000000000114,-85.99999999999719,-536.0000000000014,-119.99999999998678,,-1201.9999999999864
