date,EURUSD,USDJPY,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,GBPJPY,GBPCAD,EURJPY,EURCAD,EURAUD,CADJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2019.01.07,-58.000000000002494,-70.99999999999795,-40.99999999999105,-10.000000000010001,-60.000000000015596,-135.00000000001845,-256.0000000000002,-85.00000000000173,-80.99999999998886,-95.00000000000064,-120.99999999999511,-14.999999999987246,-177.00000000000495,-72.00000000000273,-198.0000000000075,-63.00000000000195,-180.99999999999784,-12.999999999996348,,-1732.000000000021
2019.01.07,-97.9999999999981,-57.00000000000216,-50.99999999998994,50.99999999998994,-85.00000000000173,-214.00000000000307,-183.9999999999975,-90.99999999999665,-96.99999999997999,-217.99999999998488,-96.9999999999942,110.00000000001009,-190.00000000000128,-83.00000000001262,-163.0000000000109,-36.0000000000027,-97.00000000000264,127.99999999999478,,-1471.9999999999839
2019.01.07,-164.00000000000858,-140.00000000000057,19.00000000000235,-11.00000000000545,-185.00000000001293,-287.000000000015,-311.9999999999976,-132.99999999999423,-338.99999999999864,-251.00000000000122,-280.00000000000114,97.00000000001374,-197.00000000000273,-78.00000000000296,-148.00000000001035,-10.999999999994348,-112.000000000001,133.00000000000534,,-2399.000000000025
2019.01.07,-167.00000000000603,-2.0000000000095497,55.000000000005045,-21.999999999999797,-211.00000000000563,-268.0000000000016,-335.9999999999985,-139.00000000000023,-375.0,-241.99999999998667,-272.00000000000557,60.99999999999994,-104.00000000001519,48.99999999999238,-31.00000000000591,21.999999999999797,-75.00000000000284,195.9999999999962,,-1861.0000000000443
2019.01.07,-151.9999999999966,-35.0000000000108,52.000000000007596,-43.00000000000415,-97.9999999999981,-175.00000000001404,-358.99999999999466,-112.99999999999643,-290.9999999999968,-129.99999999998568,-239.99999999999488,7.0000000000014495,-73.99999999999629,46.999999999997044,-38.000000000010914,35.00000000000725,-121.99999999999989,164.00000000000858,,-1564.9999999999773
2019.01.07,-174.99999999999181,-18.000000000000682,8.000000000008,45.99999999999049,-78.00000000000028,-162.00000000001768,-381.0000000000002,-90.0000000000012,-334.0000000000032,-266.999999999995,-277.000000000001,70.99999999999883,-223.00000000001762,11.999999999986244,-121.00000000000932,-7.9999999999968985,-186.99999999999272,238.0000000000049,,-1946.0000000000387
2019.01.07,-157.00000000000713,-58.9999999999975,6.0000000000060005,-24.000000000001798,-100.0000000000112,-141.00000000001333,-322.9999999999933,-75.9999999999983,-274.0000000000009,-241.99999999998667,-189.99999999999773,73.00000000001194,-223.00000000001762,0.999999999990564,-118.00000000000921,-7.9999999999968985,-119.00000000000244,188.9999999999947,,-1785.0000000000305
2019.01.07,-269.00000000000813,-173.00000000000182,72.0000000000054,-63.00000000000195,-121.00000000001555,-160.00000000000458,-339.9999999999892,-90.99999999999665,-323.99999999998386,-228.99999999999034,-240.99999999999966,70.99999999999883,-121.00000000001555,-42.00000000000159,-85.00000000000796,29.000000000001247,-107.99999999999699,221.00000000000452,,-1974.0000000000036
2019.01.07,-249.99999999999466,-231.99999999999932,99.00000000000463,-82.00000000000429,-32.0000000000098,-121.00000000001555,-291.9999999999874,-48.99999999999905,-147.99999999999613,-203.99999999998198,-144.99999999999602,110.00000000001009,-155.00000000001623,-69.00000000000261,-150.00000000000568,33.000000000005244,-70.0000000000034,190.00000000000128,,-1566.9999999999907
2019.01.07,-262.00000000000665,-258.0000000000098,123.00000000000644,-143.9999999999997,-33.00000000001635,-121.99999999999989,-240.99999999999966,-49.99999999999449,-117.999999999995,-137.9999999999937,-96.00000000000364,93.99999999999409,-107.99999999999699,-65.00000000001194,-70.99999999999795,35.00000000000725,-3.999999999992898,120.99999999999334,,-1337.0000000000175
