date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2015.11.02,-0.999999999995449,-178.99999999999582,-79.00000000000685,-54.000000000002046,-53.999999999998494,-151.9999999999966,-17.999999999995797,-84.00000000000318,-126.0000000000039,-16.0000000000049,-24.000000000001798,-75.00000000000284,-537.0000000000097,-85.00000000000796,-190.00000000000128,-22.999999999995246,-7.0000000000014495,-174.99999999999716,0.0,-39.00000000000014,-63.99999999999739,-353.99999999998766,,-2336.000000000006
2015.11.02,4.000000000004,-148.99999999999915,-107.00000000001265,61.99999999999761,-63.99999999999739,-175.99999999999838,213.00000000000762,-54.000000000002046,-121.00000000000443,43.999999999999595,131.00000000000333,-97.00000000000264,-384.00000000002876,-28.999999999996362,-115.99999999998278,43.999999999999595,470.9999999999992,-165.00000000000625,138.00000000000523,54.999999999993946,104.99999999999955,-455.99999999998977,,-651.0000000000108
2015.11.02,41.000000000002146,-173.99999999998528,-53.999999999998494,89.9999999999892,-69.00000000000794,-190.00000000000128,199.00000000000472,-37.00000000000614,-173.00000000000094,122.99999999999534,168.00000000000148,-92.99999999999864,-496.00000000000756,-36.000000000001364,-168.99999999999693,150.99999999999002,470.9999999999992,-165.99999999999682,206.00000000000307,108.99999999999244,122.99999999999534,-380.00000000000256,,-356.00000000003104
2015.11.02,94.00000000000519,-184.99999999999073,31.999999999987594,100.99999999999909,-53.00000000001415,-209.00000000000364,211.00000000000563,0.999999999990564,-171.00000000001003,171.99999999999437,207.00000000000162,-53.00000000000304,-539.0000000000227,-73.0000000000075,-202.9999999999976,273.9999999999965,574.9999999999922,-147.99999999999613,237.99999999999955,136.00000000000279,134.99999999999625,-353.0000000000033,,188.99999999992235
2015.11.02,99.00000000000463,-115.99999999998278,38.0000000000047,12.999999999991019,-75.00000000000284,-221.99999999999997,272.00000000000557,-1.0000000000047748,-165.9999999999995,178.99999999999582,253.99999999999866,-29.000000000001247,-642.0000000000314,-187.00000000001182,-169.99999999998127,354.9999999999942,729.0000000000018,-115.99999999999966,239.00000000000432,200.99999999999562,169.99999999999238,-339.99999999998477,,484.99999999998875
2015.11.02,142.00000000000878,-139.00000000000023,-18.0000000000069,28.999999999996362,-97.00000000001374,-265.99999999999955,270.0000000000036,96.00000000000364,-178.00000000000037,239.0000000000003,273.9999999999965,-76.99999999999375,-755.0000000000168,-159.9999999999966,-152.99999999998093,340.00000000000693,629.9999999999973,-105.00000000000398,248.00000000000466,251.00000000000122,248.99999999999923,-339.0000000000004,,481.0000000000053
2015.11.02,165.9999999999995,-171.99999999999437,-22.999999999995246,15.999999999991132,-113.00000000000753,-258.9999999999981,282.0000000000045,141.9999999999959,-179.00000000000693,208.99999999999253,314.0000000000032,-102.99999999999754,-769.0000000000197,-165.00000000002046,-152.99999999998093,245.99999999999068,778.9999999999964,-67.00000000000728,183.00000000000693,190.00000000000128,270.99999999999903,-418.9999999999916,,375.99999999996135
2015.11.02,120.00000000000898,-177.99999999998929,-72.0000000000054,-13.00000000000523,-66.99999999999484,-348.00000000000387,370.00000000000364,69.99999999999318,-215.00000000000963,214.99999999999852,380.00000000000256,-112.99999999999643,-1051.0000000000018,-132.000000000005,-168.99999999999693,222.99999999999542,865.999999999989,-147.99999999999613,191.0000000000025,182.99999999999983,317.9999999999961,-506.9999999999908,,-77.00000000000546
2015.11.02,126.99999999999933,-163.00000000000205,-52.000000000007596,-9.000000000000341,-41.000000000002146,-287.0000000000039,397.0000000000029,105.99999999999454,-169.00000000000804,264.999999999993,380.999999999998,-107.00000000000153,-870.0000000000152,-118.99999999999977,-107.99999999999699,384.00000000000654,892.0000000000039,-88.99999999999864,267.0000000000101,268.0000000000016,356.9999999999962,-422.9999999999956,,1006.9999999999741
2015.11.02,131.00000000000333,-156.99999999998494,-75.00000000000284,-1.0000000000047748,-36.0000000000138,-318.00000000000716,411.0000000000058,131.9999999999908,-218.00000000000708,286.99999999999284,397.99999999999835,-124.99999999999733,-961.9999999999961,-117.00000000001864,-161.99999999999548,418.0000000000073,917.9999999999966,-88.00000000000807,283.00000000000125,281.99999999999335,380.999999999998,-411.99999999999017,,969.9999999999611
