date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,CADCHF,AUDCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.02.22,146.00000000000168,-336.00000000000296,-75.00000000000284,-117.99999999999588,12.999999999996348,68.99999999999685,0.0,424.99999999998295,512.9999999999857,-795.9999999999967,73.99999999999807,-143.99999999998857,-215.99999999999397,39.00000000000148,42.999999999993044,95.99999999999609,-146.00000000000168,,-413.00000000003047
2016.02.22,205.99999999999508,-327.00000000001063,-48.99999999998794,-158.0000000000026,116.00000000000499,121.99999999999989,14.999999999998348,467.9999999999893,573.9999999999857,-921.0000000000163,52.99999999999727,-144.99999999999514,-388.9999999999949,6.000000000000227,54.999999999993946,-30.000000000007798,-32.999999999994145,,-437.00000000004457
2016.02.22,233.00000000000543,-222.00000000001108,-43.999999999999595,-173.9999999999964,175.99999999999838,139.00000000000023,29.999999999996696,317.99999999998363,448.000000000004,-818.0000000000076,58.9999999999975,-158.99999999999804,-580.999999999987,15.000000000000568,59.99999999999339,-99.00000000000463,66.00000000001049,,-553.0000000000142
2016.02.22,207.00000000000162,-11.00000000000545,-104.99999999999955,-127.99999999999478,195.9999999999962,104.99999999999955,46.00000000000159,-2.0000000000095497,214.00000000000307,-416.00000000001637,57.00000000000216,-286.99999999999284,-733.9999999999902,-46.999999999997044,-15.00000000000945,-102.99999999999754,168.99999999999693,,-854.0000000000116
2016.02.22,226.00000000000398,-261.0000000000001,-45.000000000006146,-34.99999999999615,99.00000000000463,154.99999999999403,148.99999999999915,533.9999999999918,451.99999999998573,-507.9999999999973,189.00000000000716,-121.99999999999989,-395.99999999999636,124.00000000000944,-94.00000000000519,-16.0000000000049,153.00000000000313,,603.999999999993
2016.02.22,265.0000000000041,-346.0000000000019,-7.999999999985796,6.0000000000060005,80.00000000000229,192.99999999999872,217.0000000000005,902.9999999999916,541.9999999999981,-507.9999999999973,355.000000000004,-48.000000000003595,-287.9999999999994,275.0000000000057,-134.0000000000008,0.999999999995449,178.99999999999582,,1684.0000000000136
2016.02.22,321.0000000000046,-185.99999999999727,49.00000000001015,40.00000000000669,51.000000000001044,313.99999999999204,297.9999999999983,801.9999999999925,124.99999999999733,-195.00000000001182,355.000000000004,182.99999999999983,-129.00000000000134,398.00000000001035,-82.99999999999974,-56.0000000000005,188.9999999999947,,2476.0000000000014
2016.02.22,229.99999999999687,-144.0000000000108,-45.99999999999049,121.00000000000443,-102.99999999999754,262.999999999991,304.9999999999997,587.9999999999939,0.0,92.00000000000318,335.9999999999985,99.00000000000463,109.00000000000354,341.0000000000082,-161.00000000000003,121.99999999999989,60.99999999999994,,2213.000000000005
2016.02.22,265.0000000000041,-148.99999999999915,-49.99999999999449,55.000000000005045,-36.0000000000027,261.99999999999557,269.9999999999925,557.9999999999927,92.99999999998754,-104.00000000001519,310.0000000000023,32.0000000000098,-53.999999999998494,289.0000000000015,-111.00000000000554,75.9999999999983,65.00000000000395,,1770.9999999999775
2016.02.22,299.00000000000483,-144.99999999999514,-38.99999999998904,101.00000000000664,-100.00000000000009,310.9999999999946,342.9999999999933,692.9999999999836,38.0000000000047,34.99999999998504,409.000000000006,90.00000000001229,119.00000000000244,383.0000000000098,-151.00000000000114,136.00000000000279,35.00000000000725,,2557.000000000028
2016.02.22,290.9999999999968,-216.00000000001617,8.000000000008,94.00000000000519,-80.99999999999774,347.9999999999928,324.9999999999975,867.999999999995,1.0000000000065512,-89.00000000000574,426.00000000000193,251.00000000000122,139.00000000000023,483.0000000000041,-76.0000000000094,54.999999999993946,53.999999999998494,,2880.9999999999727
2016.02.22,265.99999999999955,-221.00000000000452,-8.999999999992347,102.00000000000209,-88.99999999999464,361.9999999999957,319.0000000000026,754.9999999999955,-65.00000000000395,-73.99999999999629,353.9999999999992,290.9999999999968,130.99999999999224,460.9999999999985,-46.00000000000159,21.999999999999797,52.99999999999194,,2611.999999999981
2016.02.22,314.99999999999864,-226.99999999999943,43.00000000001525,128.00000000000588,-82.99999999999974,383.0,378.999999999996,778.9999999999964,-32.999999999994145,-5.000000000010552,308.9999999999975,337.99999999999386,201.99999999999108,451.0000000000076,-98.0000000000092,30.999999999992145,104.99999999999955,,3016.9999999999814
2016.02.22,295.99999999999625,-184.00000000000637,22.0000000000109,109.99999999999899,-112.99999999999643,385.99999999999744,346.9999999999973,757.000000000005,-131.00000000001444,0.9999999999843467,349.9999999999943,339.0000000000004,246.99999999999721,481.00000000000875,-51.000000000001044,56.99999999999594,22.999999999995246,,2936.999999999964
2016.02.22,285.9999999999974,-228.00000000000597,26.0000000000149,192.00000000000327,-204.99999999999963,395.99999999999636,422.9999999999956,882.000000000005,-121.99999999999989,163.9999999999864,408.00000000000125,383.0,479.99999999999153,540.0000000000063,-140.0000000000068,156.99999999999602,1.999999999990898,,3643.9999999999723
2016.02.22,275.000000000003,-234.00000000000088,-8.999999999992347,178.00000000000037,-182.99999999999983,387.99999999999943,400.9999999999958,801.9999999999925,-100.0000000000112,119.00000000000244,379.0000000000049,330.0000000000081,371.99999999999454,495.00000000000455,-125.00000000000844,131.99999999999878,15.999999999993797,,3235.9999999999854
2016.02.22,261.99999999999557,-102.00000000000209,-34.000000000000696,136.00000000000279,-182.99999999999983,369.99999999999255,348.9999999999993,616.9999999999902,-258.0000000000027,173.00000000000094,373.00000000000466,279.00000000000705,344.00000000001097,466.0000000000082,-75.00000000000284,146.00000000000168,-52.99999999999194,,2810.000000000014
