date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,EURNZD,AUDJPY,AUDCAD,empty,sum
2015.08.24,-65.00000000000395,-63.000000000013046,0.0,-48.000000000003595,-104.99999999999955,-144.0000000000108,-18.999999999991246,-63.99999999999295,-151.9999999999966,-133.00000000000534,-37.99999999999359,-19.999999999997797,-130.99999999997004,-1.0000000000047748,0.0,-153.00000000000313,-302.9999999999866,-147.00000000000557,-119.99999999999788,,-1705.9999999999766
2015.08.24,-229.00000000000142,-18.0000000000069,52.99999999999727,-66.99999999999484,-101.00000000000664,-392.00000000001455,8.999999999992347,-114.00000000000432,-227.99999999999488,-224.000000000002,-10.999999999994348,76.99999999997154,-271.9999999999612,102.00000000000387,-15.00000000000945,-182.99999999999983,-122.99999999998423,-191.0000000000025,-112.000000000001,,-2039.000000000013
2015.08.24,-185.00000000000182,-7.0000000000014495,-43.00000000000637,-103.00000000000864,-128.00000000000588,-309.0000000000037,26.999999999999247,-104.99999999998977,-198.99999999999363,-284.0000000000065,6.0000000000060005,48.99999999996574,-471.9999999999835,45.000000000015916,-15.00000000000945,-131.00000000001444,-455.99999999998977,-209.00000000000318,-129.00000000000134,,-2648.0000000000327
2015.08.24,-60.00000000000449,81.9999999999821,-340.999999999994,-253.99999999999866,-31.000000000003247,-171.99999999999437,59.99999999999339,-283.9999999999918,-47.9999999999925,-164.00000000000858,39.00000000000014,267.99999999997937,-1330.9999999999711,-192.99999999998363,211.99999999998997,132.99999999998312,-113.99999999999189,-19.000000000005457,-68.99999999999685,,-2286.000000000008
2015.08.24,-46.00000000000159,86.99999999999264,-682.0000000000022,-581.9999999999936,237.99999999999378,-52.000000000007596,31.999999999987594,-544.9999999999875,212.00000000000108,148.99999999999915,129.00000000000134,306.9999999999684,-1639.999999999997,-522.9999999999961,405.9999999999952,803.9999999999825,814.0000000000036,552.9999999999973,183.99999999999528,,-155.0000000000677
2015.08.24,-168.00000000000148,-46.0000000000127,-308.9999999999975,-472.9999999999901,302.9999999999977,-170.00000000000347,58.000000000002494,-316.0000000000025,190.00000000000128,203.99999999999307,70.99999999999883,482.9999999999668,-1529.9999999999868,-245.9999999999809,393.99999999998323,700.999999999996,978.9999999999966,326.9999999999982,153.99999999999858,,605.9999999999573
2015.08.24,-204.99999999999963,-50.0000000000167,-159.9999999999966,-459.99999999999375,339.99999999999585,-185.99999999999727,80.99999999999774,-247.99999999999045,218.00000000000708,179.99999999999127,74.00000000000739,458.9999999999872,-1554.9999999999732,-162.9999999999825,394.9999999999898,797.9999999999876,958.9999999999987,411.9999999999919,207.00000000000162,,1096.0000000000064
2015.08.24,-168.00000000000148,-15.00000000000945,-228.9999999999992,-519.0000000000028,405.9999999999952,-140.0000000000068,112.000000000001,-301.9999999999925,268.0000000000016,265.99999999999955,106.00000000000608,431.99999999998795,-1642.9999999999723,-125.0,460.9999999999781,980.9999999999875,1234.0000000000018,510.9999999999957,254.99999999999412,,1890.999999999964
2015.08.24,-112.000000000001,107.99999999999699,-537.9999999999967,-533.99999999999,349.99999999999477,-51.000000000001044,154.99999999999403,-353.00000000000864,287.9999999999994,291.99999999999227,190.00000000000128,552.9999999999812,-1597.9999999999884,-153.99999999999636,693.9999999999947,1140.999999999992,1389.000000000018,614.9999999999949,203.99999999999307,,2638.9999999999704
2015.08.24,17.999999999995797,484.9999999999799,-725.9999999999991,-665.0000000000044,424.00000000000216,173.00000000000094,303.9999999999932,-437.9999999999882,483.0000000000001,383.0,420.00000000000927,618.9999999999695,-1944.9999999999968,-93.99999999999409,1243.9999999999784,1740.9999999999925,1815.0000000000111,843.0000000000035,212.99999999999653,,5296.99999999995
