date,USDCAD,EURGBP,GBPJPY,EURJPY,EURNZD,CADJPY,AUDJPY,empty,sum
2021.07.12,119.00000000000244,34.99999999999615,-73.99999999998386,-93.99999999999409,293.99999999999426,-75.9999999999934,-204.9999999999983,,-0.9999999999768079
2021.07.12,121.99999999999989,37.99999999999359,-71.9999999999743,-106.99999999999932,315.99999999998295,-77.99999999998875,-201.99999999999818,,17.00000000001586
2021.07.12,80.99999999999774,19.00000000000235,-322.9999999999791,-177.99999999999727,297.9999999999983,-277.000000000001,-335.9999999999985,,-715.9999999999775
2021.07.12,109.99999999998789,26.999999999999247,-330.99999999998886,-186.00000000000705,286.99999999999284,-246.9999999999999,-301.9999999999925,,-642.0000000000083
2021.07.12,109.99999999998789,0.0,-326.9999999999982,-146.99999999999136,259.9999999999936,-243.99999999999977,-286.00000000000136,,-634.0000000000092
2021.07.12,73.99999999999629,2.000000000002,-358.99999999998045,-182.00000000001637,286.99999999999284,-289.0000000000015,-322.9999999999933,,-790.0000000000005
2021.07.12,183.99999999998417,26.999999999999247,-231.99999999999932,-97.00000000000841,646.9999999999976,-140.99999999999113,-143.00000000000068,,244.99999999998147
2021.07.12,144.99999999999514,12.000000000000899,-242.999999999995,-104.00000000001342,602.999999999998,-161.00000000000136,-150.99999999999625,,100.99999999998795
2021.07.12,167.9999999999904,-2.000000000002,-192.99999999998363,-32.00000000001069,591.9999999999925,-66.99999999999307,-57.00000000000216,,408.99999999999136
2021.07.12,214.00000000000307,-24.000000000001798,-265.99999999999113,-55.00000000000682,695.9999999999856,-121.99999999999989,-64.99999999999773,,377.99999999999125
2021.07.12,234.00000000000088,12.999999999996348,-256.9999999999766,-106.99999999999932,754.9999999999945,-125.99999999999056,-118.99999999999977,,393.0000000000256
2021.07.12,234.00000000000088,19.00000000000235,-260.9999999999957,-120.00000000000455,769.9999999999818,-144.99999999999602,-152.00000000000102,,344.9999999999877
2021.07.12,292.9999999999877,42.999999999993044,-179.9999999999784,-91.00000000000819,841.9999999999872,-96.9999999999942,-93.99999999999409,,715.9999999999931
2021.07.12,313.99999999999204,56.0000000000005,-141.9999999999959,-69.99999999999318,835.9999999999923,-70.99999999999795,-75.00000000000284,,847.9999999999949
