date,AUDCHF,EURGBP,EURJPY,EURCAD,AUDJPY,NZDJPY,empty,sum
2016.02.29,-2.999999999997449,-29.000000000001247,64.99999999999773,-158.99999999999804,-39.00000000000148,33.00000000000125,,-131.99999999999923
2016.02.29,29.999999999996696,-9.999999999998899,-240.99999999999966,-180.0000000000024,-191.0000000000025,-128.99999999999068,,-720.9999999999975
2016.02.29,44.99999999999504,-44.99999999999504,-249.00000000000944,-397.0000000000029,-218.00000000000352,-100.99999999999909,,-965.0000000000149
2016.02.29,53.999999999998494,-72.0000000000054,-129.0000000000049,-523.9999999999911,-118.99999999999977,-126.99999999999534,,-916.9999999999981
2016.02.29,46.999999999997044,-121.00000000000443,-37.00000000000614,-479.99999999999153,-55.999999999997385,-164.00000000000148,,-811.0000000000039
2016.02.29,68.99999999999685,-87.99999999999919,-237.00000000000898,-476.9999999999941,-204.9999999999983,-299.99999999999716,,-1238.000000000001
2016.02.29,68.00000000000139,-121.99999999999989,-394.00000000000546,-394.9999999999898,-335.00000000000796,-344.99999999999886,,-1523.0000000000007
2016.02.29,-109.99999999999899,-141.99999999999767,-423.0000000000018,-424.99999999998647,-484.99999999999943,-457.9999999999984,,-2042.999999999983
2016.02.29,-48.99999999999905,-178.00000000000037,-402.000000000001,-459.99999999999375,-445.99999999999795,-490.99999999999966,,-2025.9999999999918
2016.02.29,117.00000000000044,-117.99999999999588,-448.99999999999807,-340.9999999999913,-341.99999999999875,-530.9999999999917,,-1663.9999999999754
2016.02.29,97.9999999999981,-121.99999999999989,-505.00000000000966,-400.9999999999847,-400.99999999999625,-551.9999999999925,,-1882.9999999999848
2016.02.29,141.99999999999767,-126.0000000000039,-555.9999999999974,-361.9999999999957,-355.000000000004,-576.9999999999982,,-1834.0000000000014
2016.02.29,210.99999999999451,-46.00000000000159,-615.0000000000091,-214.00000000000307,-311.9999999999976,-483.0000000000041,,-1459.000000000021
2016.02.29,165.00000000000404,-68.00000000000139,-680.0000000000068,-395.99999999999636,-406.9999999999965,-542.9999999999922,,-1928.999999999989
2016.02.29,197.00000000000273,-63.99999999999739,-725.0000000000085,-384.9999999999909,-391.9999999999959,-548.0000000000018,,-1916.9999999999918
2016.02.29,121.99999999999989,-121.99999999999989,-811.9999999999976,-580.999999999987,-575.0000000000028,-679.000000000002,,-2646.999999999989
2016.02.29,7.0000000000014495,-95.99999999999609,-865.9999999999997,-636.9999999999986,-704.9999999999983,-700.9999999999934,,-2997.9999999999845
2016.02.29,82.99999999999974,-131.00000000000333,-716.9999999999987,-499.9999999999893,-579.9999999999983,-566.9999999999931,,-2411.999999999983
2016.02.29,78.00000000000028,-95.99999999999609,-558.0000000000069,-465.99999999998863,-472.999999999999,-524.9999999999915,,-2039.9999999999818
2016.02.29,56.99999999999594,-22.999999999995246,-552.9999999999973,-760.9999999999894,-576.0000000000076,-469.99999999999886,,-2325.9999999999927
2016.02.29,231.0000000000034,-55.000000000005045,-862.000000000009,-580.0000000000027,-540.9999999999968,-483.99999999999466,,-2291.000000000005
