date,AUDUSD,NZDUSD,EURCHF,CADCHF,NZDJPY,AUDCAD,empty,sum
2018.07.30,-58.99999999999794,-38.0000000000047,-17.999999999984695,-110.99999999999443,-67.99999999999784,-114.99999999999844,,-408.99999999997806
2018.07.30,-29.999999999996696,-43.00000000000415,42.0000000000087,-45.99999999999049,-75.00000000000284,-95.00000000000064,,-246.99999999998613
2018.07.30,-42.999999999993044,-48.99999999999905,43.00000000001525,-56.0000000000005,-105.00000000000398,-123.00000000000644,,-332.9999999999878
2018.07.30,-34.99999999999615,-57.00000000000705,55.000000000005045,-39.999999999995595,-96.00000000000364,-112.000000000001,,-284.9999999999984
2018.07.30,-44.99999999999504,-62.000000000006494,49.00000000001015,-28.999999999990145,-94.99999999999886,-119.00000000000244,,-300.99999999998283
2018.07.30,-37.99999999999359,-39.00000000000014,58.000000000002494,-31.999999999998696,-82.99999999999841,-120.00000000000898,,-253.99999999999733
2018.07.30,-36.999999999998145,-58.99999999999794,60.000000000015596,-34.000000000000696,-76.00000000000762,-114.99999999999844,,-260.99999999998727
2018.07.30,-42.999999999993044,-69.00000000000794,87.00000000001484,-56.0000000000005,-161.00000000000136,-119.00000000000244,,-360.99999999999045
2018.07.30,-56.99999999999594,-77.00000000000485,90.00000000001229,-39.999999999995595,-186.9999999999976,-158.0000000000026,,-428.9999999999843
2018.07.30,-63.00000000000195,-109.00000000000354,91.00000000001884,-50.99999999998994,-198.0000000000075,-163.00000000000205,,-492.99999999998613
2018.07.30,19.00000000000235,-81.00000000000884,114.0000000000141,-47.9999999999925,-209.00000000000318,-113.00000000000753,,-317.99999999999557
2018.07.30,55.000000000005045,-57.00000000000705,124.00000000001299,-41.9999999999976,-198.99999999999807,-78.00000000000028,,-196.99999999998496
2018.07.30,91.00000000000774,-36.999999999998145,92.00000000000318,-27.999999999994696,-176.00000000000193,-60.00000000000449,,-117.99999999998833
2018.07.30,78.00000000000028,-26.999999999999247,103.00000000000864,-32.999999999994145,-167.0000000000016,-53.999999999998494,,-99.99999999998457
2018.07.30,80.00000000000229,-19.00000000000235,104.00000000001519,-22.999999999995246,-177.0000000000067,-53.00000000000304,,-87.99999999998988
2018.07.30,51.000000000001044,-42.0000000000087,104.99999999999955,-18.999999999991246,-158.00000000000125,-74.00000000000739,,-137.000000000008
2018.07.30,36.0000000000027,-87.00000000000374,100.0000000000112,-26.999999999999247,-183.00000000000693,-65.99999999999939,,-226.9999999999954
2018.07.30,11.00000000000545,-135.00000000000733,115.00000000002063,-45.99999999999049,-251.99999999999534,-77.00000000000485,,-383.9999999999719
2018.07.30,28.000000000005798,-109.00000000000354,144.0000000000108,-86.99999999999264,-227.00000000000387,-59.000000000009045,,-309.9999999999925
2018.07.30,35.00000000000725,-101.00000000000664,148.99999999999915,-104.99999999999955,-221.00000000000364,-26.999999999999247,,-270.0000000000027
2018.07.30,6.0000000000060005,-151.00000000000114,111.00000000001664,-115.99999999999389,-284.9999999999966,-87.00000000000374,,-521.9999999999727
2018.07.30,-63.00000000000195,-186.00000000000838,112.000000000001,-78.00000000000028,-290.9999999999968,-128.00000000000588,,-634.0000000000124
2018.07.30,-41.9999999999976,-200.00000000000017,53.00000000001415,-7.9999999999968985,-313.0000000000024,-126.99999999999933,,-636.9999999999823
2018.07.30,1.0000000000065512,-114.00000000000298,42.0000000000087,34.000000000000696,-230.99999999999454,-109.99999999999899,,-377.99999999998056
2018.07.30,-25.999999999992696,-148.0000000000037,95.00000000000064,36.0000000000027,-260.9999999999957,-92.00000000000318,,-395.9999999999919
2018.07.30,-32.999999999994145,-158.99999999999804,89.00000000000574,57.00000000000705,-272.00000000000557,-86.0000000000083,,-403.9999999999933
2018.07.30,-30.999999999992145,-192.00000000000327,70.0000000000145,36.0000000000027,-290.00000000000625,-41.000000000002146,,-447.99999999998664
2018.07.30,-8.999999999992347,-179.00000000000693,30.0000000000189,30.000000000007798,-281.9999999999965,7.9999999999968985,,-401.9999999999722
2018.07.30,-32.999999999994145,-169.00000000000804,50.0000000000167,11.00000000000545,-286.00000000000136,-1.0000000000065512,,-427.99999999998795
2018.07.30,-32.999999999994145,-174.00000000000747,82.00000000000429,-28.999999999990145,-287.00000000000614,24.999999999997247,,-415.99999999999636
2018.07.30,4.999999999999449,-155.00000000000514,93.00000000000975,-14.999999999998348,-305.0000000000068,41.9999999999976,,-335.0000000000035
2018.07.30,-5.999999999994898,-214.99999999999852,87.00000000001484,-17.000000000000348,-334.0000000000032,68.99999999999685,,-415.9999999999852
