date,GBPUSD,USDJPY,AUDUSD,NZDUSD,NZDCHF,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2018.10.08,-38.0000000000047,-30.000000000001137,-46.999999999997044,-32.999999999994145,-95.00000000000064,73.99999999999629,-46.999999999997044,-24.00000000000091,-16.0000000000049,-24.000000000001798,,-280.000000000006
2018.10.08,-75.00000000000284,-28.000000000005798,4.999999999999449,-21.999999999999797,-13.999999999991797,79.00000000000685,2.0000000000095497,-12.999999999991019,24.000000000001798,-37.00000000000925,,-78.99999999998286
2018.10.08,-146.00000000000168,-102.99999999999443,-17.999999999995797,-43.999999999999595,-73.00000000000084,70.99999999999883,29.000000000010573,10.000000000005116,-21.999999999999797,-88.00000000001029,,-383.9999999999879
2018.10.08,-120.99999999999334,-73.0000000000075,-0.999999999995449,-9.999999999998899,-34.000000000000696,164.00000000000858,22.00000000000557,29.000000000010573,-16.0000000000049,-60.00000000000449,,-99.99999999998057
2018.10.08,-117.99999999999588,-58.9999999999975,39.00000000000014,52.000000000007596,46.00000000000159,310.9999999999946,66.0000000000025,94.99999999999886,39.00000000000014,22.999999999995246,,494.0000000000073
2018.10.08,-116.00000000000499,-73.99999999999807,-9.00000000000345,7.9999999999968985,6.0000000000060005,207.00000000000162,20.000000000010232,51.00000000000193,-19.999999999997797,-30.000000000007798,,43.000000000004576
2018.10.08,-114.99999999999844,25.99999999999625,21.00000000000435,63.00000000000195,48.000000000003595,377.0000000000051,-16.999999999995907,50.00000000001137,2.999999999997449,25.999999999992696,,482.0000000000184
2018.10.08,-51.000000000001044,49.99999999999716,36.999999999998145,121.00000000000443,104.99999999999955,475.99999999998755,-15.999999999991132,100.00000000000853,3.999999999992898,80.99999999999774,,906.9999999999939
2018.10.08,-62.000000000006494,134.00000000000034,-26.999999999999247,84.0000000000063,41.000000000002146,347.0000000000084,-149.0000000000009,3.0000000000001137,-75.9999999999983,39.00000000000014,,334.0000000000125
2018.10.08,-56.99999999999594,58.9999999999975,-29.999999999996696,41.000000000002146,-5.999999999994898,241.00000000000233,-97.99999999999898,3.0000000000001137,-89.00000000000574,-25.00000000000835,,39.000000000001485
2018.10.08,8.000000000008,49.99999999999716,29.000000000001247,72.0000000000054,26.000000000003798,239.99999999999577,-22.999999999996135,46.00000000000648,-63.00000000000195,-32.0000000000098,,353.00000000001
2018.10.08,-39.999999999995595,61.99999999999761,41.000000000002146,80.99999999999774,34.000000000000696,285.00000000000193,-16.999999999995907,45.000000000001705,-52.000000000007596,-28.000000000005798,,410.99999999999693
2018.10.08,-11.00000000000545,81.99999999999363,-24.999999999997247,14.999999999998348,4.999999999999449,78.00000000000028,-106.99999999999932,-42.999999999992156,-157.00000000000713,-129.00000000000134,,-292.0000000000109
2018.10.08,31.000000000003247,87.0000000000033,-36.999999999998145,-9.999999999998899,-13.999999999991797,-21.00000000000435,-123.99999999999523,-71.99999999998852,-230.000000000008,-215.00000000000963,,-604.9999999999881
2018.10.08,38.0000000000047,75.00000000000284,-64.99999999999284,-29.000000000001247,-26.999999999999247,-52.99999999999194,-147.99999999999613,-83.99999999998897,-260.00000000000466,-231.0000000000034,,-783.9999999999709
2018.10.08,56.99999999999594,72.99999999999329,-44.99999999999504,-30.999999999992145,-35.999999999991594,-96.99999999999153,-123.99999999999523,-87.99999999999386,-236.99999999999832,-240.00000000000688,,-767.9999999999754
2018.10.08,55.000000000005045,40.99999999999682,-44.99999999999504,-48.99999999999905,-71.99999999999429,-168.99999999999693,-99.99999999999432,-85.99999999999852,-239.0000000000003,-266.0000000000107,,-929.9999999999873
2018.10.08,49.99999999999449,13.00000000000523,-65.99999999999939,-61.999999999995396,-71.99999999999429,-195.9999999999962,-109.99999999999943,-82.99999999999841,-294.00000000000534,-305.0000000000108,,-1124.9999999999995
