date,EURUSD,EURCHF,CADCHF,empty,sum
2020.06.29,-84.0000000000174,-51.000000000001044,-17.000000000000348,,-152.0000000000188
2020.06.29,-91.00000000001884,-63.000000000013046,24.000000000001798,,-130.0000000000301
2020.06.29,-83.00000000001084,-72.0000000000054,1.0000000000065512,,-154.00000000000972
2020.06.29,-96.00000000000719,-86.0000000000083,-44.99999999999504,,-227.00000000001052
2020.06.29,-52.000000000007596,-60.000000000015596,-14.999999999998348,,-127.00000000002154
2020.06.29,-72.0000000000054,-89.00000000000574,-60.99999999999994,,-222.00000000001108
2020.06.29,-87.00000000001484,-80.00000000001339,-54.999999999993946,,-222.00000000002217
2020.06.29,-143.00000000000423,-119.00000000000244,-127.99999999999478,,-390.0000000000015
2020.06.29,-195.00000000001182,-177.00000000000495,-153.00000000000313,,-525.0000000000199
2020.06.29,-200.00000000000017,-165.9999999999995,-139.00000000000023,,-504.9999999999999
2020.06.29,-253.00000000001432,-179.00000000001802,-146.00000000000168,,-578.000000000034
2020.06.29,-280.0000000000136,-214.00000000000307,-146.99999999999713,,-641.0000000000138
2020.06.29,-258.0000000000027,-189.00000000001694,-124.00000000000189,,-571.0000000000215
2020.06.29,-248.00000000000378,-171.00000000001003,-95.99999999999609,,-515.0000000000099
2020.06.29,-265.0000000000041,-195.00000000001182,-95.00000000000064,,-555.0000000000166
2020.06.29,-270.00000000001467,-175.99999999999838,-65.99999999999939,,-512.0000000000125
2020.06.29,-345.0000000000175,-232.00000000000998,-122.99999999999534,,-700.0000000000229
2020.06.29,-370.00000000000364,-242.00000000000887,-65.00000000000395,,-677.0000000000165
2020.06.29,-513.0000000000078,-303.0000000000088,-73.99999999999629,,-890.0000000000128
2020.06.29,-433.0000000000167,-263.99999999999756,-87.99999999999919,,-785.0000000000135
2020.06.29,-335.00000000001864,-285.00000000000193,-134.99999999999625,,-755.0000000000168
2020.06.29,-285.00000000000193,-234.00000000000088,-95.99999999999609,,-614.999999999999
2020.06.29,-337.0000000000095,-181.00000000000892,-4.999999999999449,,-523.0000000000178
2020.06.29,-395.000000000012,-243.99999999999977,-56.99999999999594,,-696.0000000000077
2020.06.29,-397.0000000000029,-248.00000000000378,-27.999999999994696,,-673.0000000000014
2020.06.29,-560.0000000000049,-270.99999999999903,7.0000000000014495,,-824.0000000000024
2020.06.29,-651.0000000000016,-262.00000000000665,36.0000000000027,,-877.0000000000055
2020.06.29,-716.0000000000056,-282.0000000000045,60.99999999999994,,-937.00000000001
2020.06.29,-636.0000000000143,-317.9999999999961,-7.0000000000014495,,-961.0000000000119
2020.06.29,-637.0000000000209,-360.0000000000048,-17.000000000000348,,-1014.000000000026
2020.06.29,-670.000000000015,-392.9999999999989,41.9999999999976,,-1021.0000000000163
2020.06.29,-714.0000000000147,-405.0000000000109,38.0000000000047,,-1081.0000000000207
2020.06.29,-605.0000000000111,-434.000000000001,0.0,,-1039.0000000000123
2020.06.29,-432.0000000000102,-452.00000000000796,-14.999999999998348,,-899.0000000000165
2020.06.29,-300.00000000001137,-455.0000000000054,-109.99999999999899,,-865.0000000000158
2020.06.29,-310.0000000000103,-528.0000000000174,-100.99999999999554,,-939.0000000000233
2020.06.29,-298.00000000002046,-531.0000000000148,-134.99999999999625,,-964.0000000000315
2020.06.29,-212.00000000001216,-504.0000000000156,-200.99999999999562,,-917.0000000000234
2020.06.29,-257.0000000000183,-583.0000000000002,-295.0000000000008,,-1135.0000000000193
2020.06.29,-126.0000000000039,-622.0000000000115,-393.9999999999944,,-1142.0000000000098
2020.06.29,-180.0000000000024,-591.0000000000082,-327.99999999999494,,-1099.0000000000055
2020.06.29,-125.00000000001954,-615.00000000001,-324.00000000000205,,-1064.0000000000316
2020.06.29,-157.00000000000713,-612.0000000000125,-297.9999999999983,,-1067.000000000018
2020.06.29,-203.00000000001984,-585.9999999999976,-265.99999999999955,,-1055.000000000017
2020.06.29,-226.00000000001506,-605.0000000000111,-268.0000000000016,,-1099.0000000000277
2020.06.29,-217.0000000000005,-624.0000000000023,-322.9999999999955,,-1163.9999999999982
2020.06.29,-247.00000000001944,-621.0000000000049,-373.00000000000114,,-1241.0000000000255
2020.06.29,-264.0000000000198,-626.0000000000155,-407.0000000000018,,-1297.000000000037
2020.06.30,-251.00000000000122,-615.00000000001,-359.99999999999363,,-1226.000000000005
2020.06.30,-256.00000000001177,-595.9999999999966,-363.0000000000022,,-1215.0000000000107
2020.06.30,-289.0000000000059,-655.0000000000056,-405.9999999999952,,-1350.0000000000068
2020.06.30,-338.0000000000161,-672.0000000000059,-402.00000000000233,,-1412.0000000000243
2020.06.30,-330.0000000000081,-673.0000000000125,-407.0000000000018,,-1410.0000000000223
2020.06.30,-322.00000000000006,-668.0000000000019,-402.00000000000233,,-1392.0000000000043
2020.06.30,-281.0000000000201,-666.000000000011,-398.9999999999938,,-1346.000000000025
2020.06.30,-233.00000000001654,-656.0000000000122,-390.99999999999693,,-1280.0000000000255
2020.06.30,-267.0000000000172,-672.0000000000059,-402.9999999999978,,-1342.000000000021
2020.06.30,-325.0000000000197,-662.000000000007,-375.0000000000031,,-1362.00000000003
2020.06.30,-300.00000000001137,-638.0000000000052,-376.99999999999403,,-1315.0000000000107
2020.06.30,-270.99999999999903,-648.0000000000041,-387.99999999999943,,-1307.0000000000027
2020.06.30,-303.0000000000088,-679.0000000000074,-390.0000000000015,,-1372.0000000000177
2020.06.30,-230.00000000001907,-629.9999999999973,-404.99999999999983,,-1265.0000000000161
2020.06.30,-293.0000000000099,-661.0000000000005,-400.9999999999958,,-1355.0000000000061
2020.06.30,-239.00000000001143,-635.0000000000077,-407.99999999999727,,-1282.0000000000164
2020.06.30,-185.00000000001293,-632.0000000000103,-410.9999999999947,,-1228.000000000018
2020.06.30,-162.00000000001768,-612.9999999999969,-348.00000000000387,,-1123.0000000000184
2020.06.30,-19.00000000001345,-553.0000000000035,-385.000000000002,,-957.0000000000189
2020.06.30,17.000000000000348,-489.0000000000061,-356.9999999999962,,-829.0000000000019
2020.06.30,42.999999999993044,-544.0000000000111,-407.0000000000018,,-908.0000000000199
2020.06.30,-84.0000000000174,-564.000000000009,-390.0000000000015,,-1038.0000000000277
2020.06.30,-115.00000000002063,-519.0000000000028,-331.0000000000035,,-965.000000000027
2020.06.30,-38.0000000000047,-489.0000000000061,-310.9999999999946,,-838.0000000000055
2020.06.30,80.99999999999774,-397.0000000000029,-270.99999999999903,,-587.0000000000042
2020.06.30,96.99999999999153,-378.00000000001165,-273.9999999999965,,-555.0000000000166
2020.06.30,63.99999999999739,-290.00000000001245,-243.99999999999977,,-470.00000000001484
2020.06.30,54.99999999998284,-259.0000000000092,-254.99999999999412,,-459.00000000002046
2020.06.30,68.99999999998573,-267.0000000000172,-288.9999999999948,,-487.0000000000263
2020.06.30,202.9999999999976,-218.00000000000708,-300.99999999999574,,-316.00000000000523
2020.06.30,162.99999999997982,-127.00000000001043,-198.99999999999363,,-163.00000000002424
2020.06.30,55.99999999998939,-243.99999999999977,-248.00000000000378,,-436.00000000001415
2020.06.30,-92.00000000000318,-238.0000000000049,-146.00000000000168,,-476.0000000000098
2020.06.30,67.9999999999792,-174.00000000000747,-227.99999999999488,,-334.0000000000232
2020.06.30,-25.00000000000835,-242.00000000000887,-295.99999999999625,,-563.0000000000134
2020.06.30,-180.0000000000024,-124.00000000001299,-337.99999999999386,,-642.0000000000092
2020.06.30,-324.0000000000132,-225.00000000000853,-390.99999999999693,,-940.0000000000186
