date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,NZDCHF,EURGBP,GBPJPY,GBPCAD,GBPAUD,EURJPY,EURCAD,EURNZD,CADJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2021.02.22,-65.00000000000395,-106.00000000000608,0.0,-108.00000000000409,-10.000000000021103,-34.99999999999615,-90.0000000000012,-62.000000000006494,-197.9999999999933,-70.0000000000034,-118.99999999999133,-13.00000000000745,-213.99999999999864,-205.00000000001074,-43.999999999999595,-248.99999999999523,-20.000000000020002,-189.00000000001694,-131.00000000000023,-161.99999999999193,-80.99999999999774,-130.0000000000079,,-2301.000000000073
2021.02.22,-9.00000000000345,-36.999999999998145,57.99999999998029,-126.00000000000477,1.999999999990898,-51.000000000001044,-85.99999999999719,-36.999999999998145,-240.99999999999966,-52.000000000007596,-97.9999999999981,39.999999999995595,-233.0000000000041,-149.00000000002134,-29.00000000001235,-269.999999999996,89.99999999999008,-150.00000000000568,-140.00000000000057,-152.00000000000102,-101.00000000000664,-121.99999999999989,,-1893.0000000000987
2021.02.22,-129.00000000000134,-120.00000000000898,27.999999999983594,-246.9999999999999,-71.00000000002105,-90.99999999999665,-197.00000000000273,-134.00000000001188,-283.9999999999918,-165.9999999999995,-214.99999999999852,37.99999999999359,-391.9999999999959,-223.00000000001762,52.000000000007596,-388.00000000000523,53.999999999998494,-130.0000000000079,-259.00000000000034,-308.9999999999975,-114.00000000000298,-178.00000000000037,,-3475.0000000000773
2021.02.22,-135.00000000000733,-219.99999999999798,15.999999999993797,-245.00000000000455,-134.00000000001188,-227.99999999999488,-300.0000000000003,-155.00000000001623,-259.9999999999909,-216.0000000000051,-307.99999999999716,7.9999999999968985,-467.00000000001296,-165.00000000001512,-124.00000000001299,-382.000000000005,7.999999999985796,-53.999999999998494,-301.00000000000193,-402.9999999999916,-194.0000000000053,-260.00000000000466,,-4519.000000000097
2021.02.22,-109.00000000000354,-246.00000000001288,72.99999999998974,-170.0000000000017,-120.00000000000898,-219.99999999999798,-253.0000000000032,-154.0000000000097,-228.9999999999992,-207.00000000000162,-264.999999999993,-21.00000000000435,-462.99999999999386,-213.00000000001873,-52.000000000007596,-358.0000000000041,10.999999999983245,2.999999999997449,-295.99999999999227,-346.00000000000364,-202.9999999999976,-208.00000000000819,,-4046.0000000000923
2021.02.22,-87.99999999999919,-341.99999999999784,97.9999999999981,-133.00000000000978,-161.00000000001114,-295.99999999999625,-298.9999999999937,-151.00000000001222,-236.99999999999477,-236.99999999999832,-309.99999999999915,-30.000000000007798,-509.9999999999909,-256.00000000001177,-187.00000000000384,-332.9999999999984,-52.000000000007596,14.999999999987246,-268.99999999999125,-376.99999999999534,-258.0000000000027,-253.0000000000032,,-4666.000000000041
2021.02.22,-80.00000000000229,-426.9999999999996,103.99999999999298,-152.00000000000102,-309.0000000000037,-392.00000000000347,-519.9999999999983,-167.00000000000603,-272.99999999999613,-274.00000000000756,-475.99999999999864,-50.0000000000056,-662.0000000000061,-162.00000000001768,-218.00000000000708,-432.00000000000216,-101.00000000001774,95.999999999985,-396.0000000000008,-629.9999999999955,-263.99999999999756,-407.0000000000018,,-6192.00000000009
2021.02.22,-65.99999999999939,-374.0000000000077,132.99999999998312,-218.00000000000352,-277.00000000001614,-319.99999999999807,-478.9999999999961,-155.00000000001623,-319.0000000000026,-252.0000000000078,-446.9999999999974,-36.0000000000027,-634.0000000000146,-160.00000000000458,-168.99999999999693,-464.9999999999892,-64.0000000000196,441.99999999998687,-403.99999999999636,-611.9999999999948,-212.00000000000108,-385.000000000002,,-5473.000000000097
2021.02.22,-160.00000000000458,-253.00000000001432,39.999999999995595,-359.99999999999943,-205.00000000001074,-282.99999999999994,-419.9999999999982,-197.00000000000273,-349.00000000000375,-297.00000000000284,-427.99999999999505,-4.000000000004,-679.000000000002,-94.00000000001629,-195.9999999999962,-528.0000000000058,-118.00000000001809,286.99999999999284,-479.99999999998977,-591.9999999999987,-209.9999999999991,-373.00000000000114,,-5899.000000000075
2021.02.22,-174.00000000000747,-107.99999999999699,-7.0000000000014495,-290.00000000000625,-98.0000000000203,-148.0000000000037,-317.0000000000006,-201.00000000000674,-283.9999999999918,-267.00000000000614,-392.9999999999989,29.999999999996696,-534.9999999999966,-130.0000000000079,-78.00000000000028,-459.99999999999375,-28.000000000005798,279.99999999999136,-384.00000000000034,-518.0000000000007,-148.0000000000037,-365.99999999999966,,-4624.000000000061
2021.02.22,-177.00000000000495,-133.00000000000534,32.999999999994145,-265.00000000000057,-76.0000000000094,-116.00000000000499,-307.99999999999716,-202.9999999999976,-231.99999999999932,-243.99999999999977,-380.999999999998,24.000000000001798,-515.9999999999911,-137.00000000000932,-7.0000000000014495,-416.9999999999874,3.999999999981796,159.99999999998238,-325.00000000000284,-495.9999999999951,-119.00000000000244,-341.99999999999784,,-4273.000000000045
2021.02.22,-187.00000000000384,-109.00000000000354,27.999999999983594,-281.0000000000059,-44.0000000000218,-95.00000000000064,-248.99999999999923,-207.00000000000162,-242.999999999995,-240.00000000000688,-347.9999999999928,25.999999999992696,-513.0000000000052,-135.00000000001845,43.999999999999595,-447.9999999999933,25.999999999992696,141.99999999999767,-331.99999999999363,-450.9999999999934,-100.00000000000009,-265.0000000000041,,-3981.000000000073
