date,GBPUSD,EURUSD,USDJPY,USDCAD,NZDUSD,EURCHF,CADCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURAUD,EURNZD,AUDCAD,empty,sum
2021.11.22,-196.0000000000184,-8.999999999992347,-19.99999999999602,0.0,-19.999999999997797,-48.99999999998794,-6.999999999990347,-47.9999999999925,-212.99999999999386,-112.99999999999955,-52.000000000007596,-151.9999999999966,-377.9999999999894,-34.000000000000696,,-1290.999999999963
2021.11.22,-104.99999999999955,26.999999999999247,37.9999999999967,14.000000000002899,9.999999999998899,-75.99999999998718,30.000000000007798,-69.9999999999923,-276.00000000001046,-171.0000000000207,-5.000000000010552,-153.9999999999875,-461.0000000000003,-22.999999999995246,,-1221.9999999999982
2021.11.22,-68.00000000000139,31.000000000003247,102.00000000000387,14.000000000002899,70.0000000000034,-88.99999999998354,63.00000000000195,-88.99999999999464,-306.99999999998795,-173.00000000000182,-59.000000000009045,-136.99999999998712,-557.0000000000075,-80.00000000000229,,-1278.99999999996
2021.11.22,34.000000000000696,114.99999999999844,147.00000000000557,84.0000000000174,102.99999999999754,-56.99999999999594,97.00000000000264,-68.99999999999685,-252.00000000000955,-165.00000000002046,-8.999999999992347,-40.99999999997994,-428.9999999999905,-80.00000000000229,,-521.9999999999656
2021.11.22,-93.00000000000975,2.0000000000131024,103.9999999999992,84.0000000000174,41.000000000002146,-73.99999999999629,51.000000000001044,-89.99999999999008,-294.9999999999875,-211.00000000001273,-103.99999999999298,-36.999999999998145,-523.0000000000068,-149.99999999999457,,-1294.999999999956
2021.11.22,-97.00000000001374,-4.999999999988347,115.99999999999966,92.00000000000318,53.00000000000304,-69.9999999999923,50.0000000000056,-86.99999999999264,-307.9999999999927,-222.0000000000084,-126.0000000000039,-140.99999999999113,-608.9999999999928,-136.00000000000279,,-1489.9999999999673
2021.11.22,-63.000000000013046,2.0000000000131024,132.000000000005,44.0000000000218,23.00000000000635,-108.99999999998133,93.00000000000975,-92.99999999999864,-408.9999999999918,-324.0000000000123,-53.999999999998494,-120.99999999999334,-513.0000000000078,-109.99999999999899,,-1501.99999999994
2021.11.22,-84.0000000000174,-14.000000000002899,212.99999999999386,31.000000000003247,25.00000000000835,-106.99999999999044,120.00000000000898,-92.99999999999864,-427.99999999999727,-347.0000000000084,-46.999999999997044,-76.99999999999375,-445.0000000000065,-116.00000000000499,,-1369.000000000003
2021.11.22,0.0,112.000000000001,224.99999999999432,66.00000000001049,60.99999999999994,-93.99999999999409,141.00000000000225,-73.99999999999629,-364.0000000000043,-227.00000000000387,26.999999999999247,73.00000000001194,-414.00000000000324,-153.99999999999858,,-621.9999999999812
2021.11.22,4.999999999988347,121.99999999999989,213.99999999999864,80.00000000001339,62.000000000006494,-54.99999999998284,142.00000000000878,-58.99999999999794,-355.99999999999454,-219.0000000000225,59.99999999999339,103.00000000000864,-368.9999999999971,-138.00000000000477,,-407.9999999999822
2021.11.22,38.99999999998904,167.00000000000603,215.0000000000034,70.0000000000145,97.9999999999981,-29.999999999996696,143.00000000000423,-30.999999999992145,-282.0000000000107,-126.00000000000477,106.99999999999044,150.00000000000568,-455.99999999998977,-146.99999999999713,,-82.99999999997985
2021.11.22,17.000000000000348,141.00000000001333,188.0000000000024,36.0000000000138,97.00000000000264,-11.999999999989797,133.00000000000534,-42.999999999993044,-288.0000000000109,-149.0000000000009,136.00000000000279,214.00000000000307,-452.00000000000796,-156.99999999999602,,-138.99999999995492
2021.11.22,-29.999999999996696,127.00000000001043,194.99999999999318,-13.999999999980695,24.000000000001798,-14.999999999987246,147.00000000000824,-37.99999999999359,-381.0000000000002,-207.00000000002206,170.99999999998784,293.0000000000099,-344.99999999999534,-217.0000000000005,,-289.9999999999649
2021.11.22,-77.00000000001594,97.00000000001374,213.99999999999864,-12.999999999996348,-47.9999999999925,-12.999999999996348,142.00000000000878,-24.999999999997247,-407.0000000000107,-202.0000000000266,129.00000000000134,400.00000000000034,-222.99999999999542,-258.9999999999981,,-285.0000000000064
2021.11.22,-62.000000000006494,102.00000000000209,210.99999999999852,5.000000000010552,-32.999999999994145,-23.999999999979593,139.00000000000023,-24.999999999997247,-376.0000000000048,-198.0000000000075,123.99999999999079,368.00000000001273,-201.00000000000674,-241.99999999999778,,-211.9999999999794
2021.11.22,-80.99999999999774,103.00000000000864,209.00000000000318,8.000000000008,-117.99999999999588,-42.999999999993044,146.00000000000168,-7.9999999999968985,-420.99999999999227,-194.00000000001683,129.00000000000134,370.00000000000364,-207.00000000000162,-275.99999999999847,,-382.99999999996624
2021.11.22,-83.00000000001084,99.00000000000463,212.99999999999386,7.0000000000014495,-112.99999999999643,-51.99999999998539,159.00000000000912,-24.999999999997247,-395.00000000001023,-203.00000000000296,123.99999999999079,394.00000000000546,-21.00000000000435,-285.9999999999974,,-181.99999999999946
2021.11.22,-73.00000000001194,139.00000000000023,242.00000000000443,-15.999999999993797,-71.99999999999429,-83.9999999999952,194.0000000000053,-12.999999999996348,-429.00000000000205,-203.00000000000296,178.99999999999582,400.00000000000034,-25.999999999992696,-224.000000000002,,14.000000000014865
2021.11.22,-104.99999999999955,143.00000000000423,245.00000000000455,-24.999999999986144,-70.99999999999883,-92.99999999998754,195.00000000000074,-3.999999999992898,-552.9999999999973,-251.00000000000477,177.00000000000495,390.0000000000015,-72.99999999998974,-232.99999999999432,,-257.9999999999351
2021.11.22,-12.000000000012001,161.99999999999548,295.0000000000017,-3.999999999981796,-87.99999999999919,-78.99999999998464,165.9999999999995,-25.999999999992696,-442.0000000000073,-228.00000000000864,209.9999999999991,408.00000000000836,-65.99999999998829,-253.0000000000032,,43.000000000026404
2021.11.22,32.999999999994145,97.00000000001374,189.99999999999773,0.0,-114.99999999999844,9.000000000014552,75.00000000000284,-142.99999999999312,-389.99999999998636,-219.0000000000225,113.00000000000753,307.00000000001285,-58.000000000002494,-273.000000000001,,-373.99999999996055
2021.11.22,36.999999999998145,121.00000000001555,177.99999999999727,-60.99999999999994,-96.99999999999153,22.0000000000109,68.00000000000139,-128.99999999999022,-294.9999999999875,-183.00000000002115,157.00000000000713,384.00000000000654,-170.99999999998784,-251.00000000000122,,-219.99999999994242
