,name,direction
0,USDCHF,S
1,EURUSD,B
2,USDJPY,S
3,AUDUSD,B
4,EURCHF,S
5,CHFJPY,B
6,CADCHF,S
7,AUDCHF,S
8,GBPCAD,B
9,GBPAUD,B
10,EURCAD,B
11,EURAUD,B
12,CADJPY,S
13,NZDJPY,B
14,AUDCAD,B
15,NZDCAD,B
