date,USDCHF,EURUSD,USDCAD,AUDUSD,EURJPY,EURCAD,AUDNZD,empty,sum
2018.09.03,67.00000000000594,2.0000000000131024,-89.99999999999008,14.999999999998348,40.000000000020464,-92.00000000000318,-49.00000000001015,,-106.99999999996555
2018.09.03,35.00000000000725,-5.999999999994898,-114.99999999999844,-9.00000000000345,60.000000000002274,-112.000000000001,-1.0000000000065512,,-147.99999999999483
2018.09.03,43.999999999999595,-28.999999999990145,-197.99999999998707,-12.999999999996348,140.00000000001478,-184.00000000000637,22.999999999995246,,-216.9999999999703
2018.09.03,59.000000000009045,-15.999999999993797,-129.99999999998568,22.999999999995246,173.00000000000182,-120.99999999999334,-73.99999999999629,,-85.999999999963
2018.09.03,54.00000000000959,-0.9999999999843467,-114.99999999999844,48.99999999999905,114.00000000000432,-123.99999999999079,-154.99999999999403,,-177.99999999995464
2018.09.03,62.000000000006494,-21.999999999988695,-121.99999999999989,7.0000000000014495,131.00000000000023,-106.00000000000608,-174.00000000000747,,-223.99999999999397
2018.09.03,62.000000000006494,-51.99999999998539,-149.9999999999835,19.00000000000235,98.00000000001319,-99.00000000000463,-175.00000000001404,,-296.9999999999655
2018.09.03,79.00000000000685,-5.999999999994898,-82.99999999998863,53.999999999998494,-60.99999999997863,-79.99999999999119,-218.00000000000708,,-314.9999999999551
2018.09.03,80.00000000000229,-0.9999999999843467,-60.99999999999994,44.99999999999504,-85.99999999998431,-66.00000000001049,-188.9999999999947,,-277.99999999997647
2018.09.03,108.00000000000809,-5.999999999994898,-104.99999999999955,92.99999999999864,-23.999999999972488,-109.00000000000354,-216.00000000001617,,-258.99999999997993
2018.09.03,79.00000000000685,-41.000000000002146,-120.99999999999334,126.0000000000039,-96.99999999997999,-79.00000000000685,-103.00000000000864,,-235.99999999998022
2018.09.03,93.00000000000975,-17.999999999984695,-137.9999999999937,58.000000000002494,-151.9999999999868,-130.0000000000079,-178.99999999999582,,-465.9999999999567
