date,USDCHF,GBPCHF,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURAUD,EURNZD,NZDJPY,NZDCAD,AUDNZD,empty,sum
2015.03.30,-65.00000000000395,0.9999999999843467,58.99999999998684,-76.0000000000094,-187.9999999999993,-29.999999999996696,119.99999999998678,31.999999999987594,-4.000000000004,75.00000000000284,15.000000000000568,155.00000000000514,-1.0000000000065512,,92.99999999993422
2015.03.30,12.999999999996348,106.99999999999044,17.999999999984695,-18.0000000000069,-124.00000000000189,23.00000000000635,132.99999999998312,-5.000000000010552,-57.00000000001815,-66.00000000001049,-37.9999999999967,85.99999999999719,55.99999999998939,,127.99999999990283
2015.03.30,-38.0000000000047,68.00000000000139,12.999999999996348,-34.000000000000696,-121.99999999999989,19.00000000000235,78.00000000000028,25.999999999992696,41.99999999998649,8.999999999992347,84.00000000000318,114.99999999999844,82.99999999998863,,342.9999999999569
2015.03.30,-29.000000000001247,112.99999999998533,51.000000000001044,-34.000000000000696,-141.00000000000225,-19.999999999997797,184.99999999999073,-39.00000000001125,17.999999999984695,-55.000000000005045,24.999999999991473,84.0000000000063,112.000000000001,,269.99999999994225
2015.03.30,-83.9999999999952,71.99999999998319,82.00000000000429,-42.0000000000087,-139.99999999999568,-21.999999999999797,168.99999999999693,9.999999999998899,61.99999999998429,-28.000000000005798,94.99999999999886,94.00000000000519,123.99999999999079,,391.99999999995725
2015.03.30,-9.999999999998899,19.999999999997797,71.99999999998319,-54.00000000000959,-165.9999999999995,-85.99999999999719,115.99999999998278,26.999999999999247,2.999999999997449,-168.99999999999693,-70.99999999999795,21.999999999999797,177.00000000000495,,-119.00000000003485
2015.03.30,117.99999999999588,64.99999999998174,85.00000000000173,-3.0000000000085514,-132.99999999999423,-61.999999999995396,69.9999999999923,46.999999999997044,98.99999999998244,-87.99999999999919,-162.9999999999967,1.0000000000065512,191.00000000000784,,226.9999999999714
2015.03.30,9.999999999998899,-51.000000000001044,110.99999999999443,-29.000000000001247,-202.9999999999976,-121.99999999999989,-19.00000000001345,17.000000000000348,-20.000000000020002,-177.00000000000495,-194.00000000000261,-41.000000000002146,173.00000000000094,,-545.0000000000484
2015.03.30,51.99999999999649,-53.999999999998494,106.99999999999044,-9.00000000000345,-251.00000000000122,-146.99999999999713,-73.00000000001194,-104.00000000001519,-106.00000000000608,-225.00000000000853,-204.9999999999983,-105.99999999999498,140.0000000000068,,-981.0000000000416
2015.03.30,48.000000000003595,-76.0000000000094,59.99999999999339,-16.0000000000049,-246.00000000000176,-185.99999999999727,-87.00000000001484,-64.0000000000196,-156.00000000000057,-363.0000000000022,-225.00000000000853,-143.9999999999997,204.99999999998852,,-1250.0000000000737
