date,GBPUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,EURCHF,CHFJPY,CADCHF,AUDCHF,EURGBP,GBPJPY,GBPCAD,EURAUD,EURNZD,NZDJPY,NZDCAD,AUDNZD,empty,sum
2017.05.01,26.999999999999247,145.00000000001023,-19.999999999997797,-131.99999999999878,63.00000000000195,17.000000000000348,47.99999999998761,-46.00000000000159,-209.9999999999991,107.99999999999699,234.00000000000887,38.0000000000047,-276.00000000000955,-154.99999999999403,-185.99999999999284,-58.000000000002494,190.99999999998562,,-212.00000000000057
2017.05.01,24.000000000001798,184.0000000000117,-41.99999999998649,-141.99999999999767,104.99999999999955,0.9999999999843467,49.99999999999716,-88.99999999999464,-228.00000000000597,107.99999999999699,253.99999999999068,25.00000000000835,-286.00000000000847,-45.000000000006146,-245.9999999999951,-85.99999999999719,275.000000000003,,-137.99999999999812
2017.05.01,-38.0000000000047,87.0000000000033,29.00000000001235,-136.00000000000279,100.00000000000009,112.99999999998533,6.000000000000227,-109.99999999999899,-224.000000000002,-13.00000000000745,34.99999999999659,18.999999999991246,-143.00000000000423,68.99999999998573,-182.99999999999272,-133.00000000000534,269.9999999999925,,-252.00000000005093
2017.05.01,-52.99999999999194,84.00000000000318,-85.00000000000173,-139.99999999999568,143.9999999999997,122.99999999998423,21.000000000000796,-175.99999999999838,-256.0000000000007,-30.000000000007798,26.00000000001046,-136.00000000000279,-151.00000000001222,-8.000000000008,-229.99999999998977,-128.00000000000588,217.0000000000005,,-778.0000000000161
2017.05.01,-28.999999999990145,32.00000000001069,-167.9999999999904,-170.00000000000347,187.9999999999993,147.99999999999258,22.999999999996135,-192.99999999999872,-258.9999999999981,-70.0000000000034,-8.99999999998613,-205.00000000001074,-109.00000000000354,-22.0000000000109,-240.99999999999966,-134.0000000000008,177.00000000000495,,-1040.9999999999923
2017.05.01,-9.999999999998899,98.00000000001319,-123.99999999999079,-156.00000000000057,173.00000000000094,129.99999999998568,53.999999999987836,-180.0000000000024,-250.00000000000577,-35.00000000000725,88.99999999999864,-129.00000000000134,-127.99999999999478,-36.999999999998145,-275.99999999999625,-143.00000000000423,185.99999999999727,,-738.0000000000169
2017.05.01,-31.999999999987594,128.0000000000001,-89.99999999999008,-182.99999999999983,106.00000000000608,168.99999999999693,29.999999999986926,-202.0000000000022,-319.99999999999807,-28.000000000005798,102.00000000000387,-114.99999999999844,-212.00000000001216,92.99999999998754,-218.00000000000352,-73.00000000000084,333.9999999999899,,-511.00000000002717
2017.05.01,-56.99999999999594,200.00000000000284,2.0000000000131024,-192.00000000000327,75.00000000000284,178.99999999999582,40.99999999999682,-192.00000000000327,-370.9999999999991,-14.000000000002899,168.00000000000637,-31.000000000003247,-283.99999999999534,107.99999999999699,-232.99999999998988,-95.00000000000064,400.9999999999847,,-294.99999999999415
2017.05.01,-175.99999999999838,236.0000000000042,80.00000000001339,-112.99999999999643,14.999999999998348,194.0000000000053,9.999999999990905,-190.99999999999673,-336.00000000000296,-52.000000000007596,84.00000000000318,-87.99999999999919,-198.99999999999363,177.00000000000495,-186.9999999999976,-65.00000000000395,383.0,,-227.99999999997624
2017.05.01,-238.99999999998923,472.0000000000084,161.00000000001114,-82.99999999999974,-3.999999999992898,217.99999999998488,206.99999999999363,-176.99999999999383,-331.0000000000035,-80.99999999999774,328.00000000000296,-70.99999999999883,-157.00000000000713,190.99999999998562,-329.9999999999983,-99.00000000000463,363.9999999999866,,368.99999999998727
2017.05.01,-185.99999999999727,447.00000000000273,80.00000000001339,-124.99999999999733,19.999999999997797,211.00000000000563,228.9999999999992,-190.00000000000128,-346.0000000000019,-75.9999999999983,347.0000000000084,-104.99999999999955,-191.00000000000784,190.00000000000128,-340.999999999994,-75.00000000000284,390.0000000000015,,279.0000000000297
2017.05.01,-177.00000000000495,432.00000000000216,117.99999999999588,-121.00000000000443,7.0000000000014495,184.99999999999073,212.99999999999386,-169.99999999999238,-339.0000000000004,-48.000000000003595,336.00000000001273,-45.000000000006146,-219.99999999999798,178.99999999999582,-316.0000000000025,-82.00000000000429,404.9999999999887,,356.99999999996476
2017.05.01,-218.99999999999142,439.00000000000716,102.00000000000209,-177.00000000000495,60.00000000000449,190.00000000000128,209.99999999999375,-182.99999999999983,-400.00000000000034,-74.00000000000739,295.99999999999227,-121.99999999999989,-337.99999999999386,46.999999999997044,-381.0000000000002,-146.99999999999713,395.99999999999636,,-301.00000000000057
2017.05.01,-208.99999999999253,455.0000000000125,148.99999999999915,-175.00000000000293,52.000000000007596,188.9999999999947,221.9999999999942,-161.00000000000003,-404.99999999999983,-63.99999999999739,335.00000000000796,-45.000000000006146,-334.9999999999964,66.99999999999484,-381.0000000000002,-168.00000000000148,412.9999999999967,,-60.99999999998926
