date,USDCHF,GBPUSD,EURUSD,USDCAD,AUDUSD,EURCHF,CHFJPY,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,EURNZD,AUDCAD,NZDCAD,empty,sum
2016.09.19,-5.999999999994898,-76.99999999999375,-35.999999999991594,-59.000000000009045,-27.999999999994696,-160.00000000000458,-7.999999999995566,-76.99999999999375,-65.99999999998829,-70.0000000000145,-33.00000000000125,-59.000000000009045,-108.00000000001918,-69.9999999999923,-121.99999999999989,,-979.0000000000024
2016.09.19,-53.999999999998494,-61.99999999998429,-35.999999999991594,-25.999999999992696,-27.999999999994696,-221.00000000000452,76.00000000000762,-71.99999999999429,-68.99999999998573,-72.0000000000054,45.000000000001705,-46.0000000000127,-12.000000000012001,-79.99999999999119,-135.99999999999167,,-792.9999999999501
2016.09.19,-68.99999999999685,6.000000000017103,-45.000000000006146,-24.000000000001798,-82.99999999999974,-198.00000000000927,114.00000000000432,-131.99999999999878,-15.999999999993797,-36.0000000000138,58.000000000006935,-80.99999999999774,-60.99999999999994,-112.99999999999643,-156.99999999999602,,-836.999999999982
2016.09.19,6.0000000000060005,80.99999999999774,-62.99999999999084,-62.000000000006494,-125.99999999999278,-146.00000000000168,233.99999999999466,-149.99999999999457,74.0000000000185,48.000000000003595,156.0000000000059,-109.00000000000354,-63.000000000013046,-144.99999999999514,-198.99999999999363,,-463.9999999999653
2016.09.19,1.0000000000065512,73.00000000001194,-56.99999999999594,-140.0000000000068,-235.99999999999176,-154.0000000000097,239.99999999999488,-200.00000000000017,-45.99999999999049,-289.0000000000059,167.0000000000016,-340.00000000000693,-179.00000000001802,-240.99999999999122,-221.99999999999997,,-1623.0000000000018
2016.09.19,2.999999999997449,74.0000000000185,-70.99999999999883,-225.99999999999287,-261.99999999999557,-165.9999999999995,302.0000000000067,-212.00000000000108,-75.99999999998718,-329.00000000000153,250.0,-371.00000000001023,-173.00000000000094,-240.99999999999122,-209.9999999999991,,-1707.9999999999552
2016.09.19,-44.99999999999504,117.00000000001154,-69.00000000000794,-202.9999999999976,-261.99999999999557,-175.99999999999838,245.00000000000455,-236.00000000000287,-60.99999999999994,-297.9999999999983,198.99999999999807,-418.0000000000073,-209.00000000001472,-236.99999999999832,-190.00000000000128,,-1843.0000000000034
2016.09.19,-39.999999999995595,162.00000000001768,-42.0000000000087,-256.00000000001177,-288.9999999999948,-178.99999999999582,147.99999999999613,-263.0000000000021,-36.999999999998145,-256.99999999999613,94.0000000000083,-456.9999999999963,-271.0000000000212,-227.99999999999488,-185.99999999999727,,-2100.9999999999905
2016.09.19,1.0000000000065512,229.00000000001253,-89.00000000000574,-300.99999999999574,-395.0000000000009,-163.00000000000205,167.0000000000016,-292.9999999999988,17.000000000000348,-368.9999999999971,100.00000000000853,-595.0000000000122,-352.000000000019,-313.99999999999204,-234.99999999999633,,-2591.999999999991
2016.09.19,24.999999999997247,287.9999999999994,-120.99999999999334,-441.0000000000025,-488.999999999995,-178.00000000001148,149.0000000000009,-353.0000000000033,-97.9999999999981,-533.0000000000057,88.00000000000807,-737.0000000000099,-465.0000000000043,-339.0000000000004,-261.99999999999557,,-3466.000000000014
2016.09.19,43.00000000000415,318.00000000001825,-124.99999999999733,-527.9999999999951,-503.99999999999335,-180.0000000000024,125.0,-383.99999999999545,-224.99999999998633,-574.0000000000078,43.99999999999693,-757.0000000000076,-519.0000000000028,-354.9999999999942,-271.9999999999945,,-3892.9999999999577
2016.09.19,79.00000000000685,348.00000000001495,-180.0000000000024,-614.0000000000034,-586.9999999999931,-158.99999999999804,117.00000000000443,-431.99999999999903,-254.999999999983,-653.999999999999,32.00000000001069,-896.000000000008,-686.0000000000089,-329.999999999997,-269.9999999999925,,-4486.999999999948
2016.09.19,106.00000000000608,373.00000000000114,-192.99999999999872,-628.9999999999907,-579.9999999999916,-175.99999999999838,126.00000000000477,-464.9999999999932,-225.99999999999287,-616.0000000000165,43.99999999999693,-817.000000000001,-715.0000000000211,-313.99999999999204,-317.9999999999961,,-4399.999999999984
