date,GBPUSD,EURUSD,USDCAD,AUDUSD,GBPCHF,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,GBPAUD,EURJPY,EURAUD,EURNZD,CADJPY,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.08.24,-79.99999999999119,-56.99999999999594,-38.0000000000047,-125.99999999999278,-212.99999999999653,-12.999999999996348,-155.00000000000114,-11.00000000000545,-62.000000000006494,0.0,-225.99999999999287,-112.99999999999955,-93.99999999999409,-165.9999999999995,-91.00000000000819,-287.9999999999967,-131.99999999999878,-127.99999999999478,-199.00000000001583,,-2191.999999999991
2020.08.24,-109.00000000000354,-63.99999999999739,-24.000000000001798,-107.99999999999699,-66.99999999999484,-35.999999999991594,-186.00000000000705,7.0000000000014495,-25.00000000000835,33.999999999991815,-82.00000000000429,-70.99999999999795,63.99999999999739,-120.99999999999334,-64.99999999999773,-233.0000000000041,-165.00000000000404,-218.99999999999142,-174.00000000000747,,-1644.0000000000111
2020.08.24,-153.9999999999875,-89.00000000000574,-49.99999999999449,-165.9999999999995,-150.99999999999002,-82.00000000000429,-260.9999999999957,42.999999999993044,-50.0000000000056,47.9999999999734,-43.999999999999595,-194.00000000000261,133.00000000000534,-41.000000000002146,-147.99999999999613,-331.99999999999363,-185.99999999999727,-216.99999999998943,-198.00000000000927,,-2139.000000000001
2020.08.24,-167.00000000000603,-86.0000000000083,-52.99999999999194,-173.9999999999964,-157.00000000000713,-93.99999999999409,-323.99999999999807,114.99999999999844,-47.00000000000814,288.99999999998727,-93.99999999999409,-247.99999999999045,69.9999999999923,-76.99999999999375,-203.00000000000296,-379.99999999999545,-180.99999999999784,-200.99999999999562,-202.00000000001327,,-2214.000000000016
2020.08.24,-188.9999999999947,-134.99999999999625,-49.00000000001015,-183.99999999999528,-168.99999999999693,-107.99999999999699,-302.0000000000067,146.00000000000168,-31.000000000003247,272.99999999999613,-82.99999999998863,-259.00000000000034,60.99999999999994,-38.0000000000047,-173.00000000000182,-384.00000000000034,-200.00000000000017,-203.99999999999307,-204.00000000000418,,-2231.9999999999955
2020.08.24,-185.99999999999727,-129.00000000000134,-22.999999999995246,-170.99999999999892,-171.99999999999437,-99.99999999998899,-280.00000000000114,146.00000000000168,-26.000000000003798,278.99999999999636,-136.00000000000279,-256.9999999999908,15.00000000000945,-72.99999999998974,-149.0000000000009,-370.00000000000455,-201.00000000000674,-204.99999999999963,-201.00000000000674,,-2238.999999999975
2020.08.24,-139.00000000000023,-70.99999999999883,11.00000000000545,-125.99999999999278,-218.99999999999142,-140.99999999999113,-263.9999999999958,125.99999999999278,-32.0000000000098,194.99999999999318,-224.000000000002,-253.99999999999068,-46.999999999997044,-181.00000000000892,-141.00000000000534,-326.9999999999982,-162.0000000000066,-214.99999999999852,-172.0000000000166,,-2383.000000000012
2020.08.24,-137.9999999999937,-62.000000000006494,0.0,-134.99999999999625,-209.9999999999991,-136.00000000000279,-159.9999999999966,161.00000000000003,-27.00000000001035,84.99999999997954,-137.9999999999937,-161.00000000000136,31.000000000003247,-79.99999999999119,-94.0000000000083,-293.99999999999693,-177.00000000000495,-204.99999999999963,-204.00000000000418,,-1944.0000000000223
2020.08.24,-141.99999999999767,-134.99999999999625,-72.0000000000054,-268.99999999999704,-161.99999999999548,-133.99999999998968,-84.99999999999375,139.00000000000023,1.999999999990898,-16.000000000019554,-55.000000000005045,-87.0000000000033,55.99999999998939,-181.00000000000892,-66.0000000000025,-353.9999999999992,-280.00000000000244,-246.99999999999721,-253.00000000001432,,-2341.0000000000473
2020.08.24,-150.99999999999002,-130.0000000000079,-70.99999999999883,-244.99999999999523,-168.99999999999693,-136.00000000000279,-121.99999999999989,183.99999999999528,6.999999999990347,79.99999999998408,103.99999999999298,-123.99999999999523,157.00000000000713,-32.999999999994145,-76.00000000000762,-350.9999999999991,-261.0000000000001,-234.99999999999633,-276.00000000000955,,-1848.0000000000236
2020.08.24,-143.99999999998857,-114.99999999999844,-39.00000000001125,-258.0000000000027,-180.99999999998673,-130.99999999999224,-117.00000000000443,140.99999999999113,-7.0000000000014495,97.99999999998477,164.00000000000858,-119.99999999999034,276.9999999999939,-157.00000000000713,-84.00000000000318,-375.0,-294.00000000000534,-188.9999999999947,-397.0000000000029,,-1928.0000000000114
2020.08.24,-153.9999999999875,-99.00000000000463,-63.99999999999739,-252.99999999999213,-192.99999999999872,-129.00000000000134,-153.0000000000058,102.99999999999754,-19.00000000000235,99.99999999999432,113.99999999999189,-112.99999999999955,249.00000000001032,-251.00000000000122,-126.00000000000477,-375.0,-270.99999999999903,-107.99999999999699,-422.9999999999956,,-2164.999999999993
2020.08.24,-92.00000000000318,-22.0000000000109,-83.9999999999952,-203.99999999999307,-178.99999999999582,-97.9999999999981,-126.99999999999534,102.99999999999754,-33.000000000005244,129.99999999999545,119.00000000000244,-82.99999999999841,259.9999999999936,-192.99999999999872,-144.00000000000546,-353.9999999999992,-194.0000000000053,-55.99999999998939,-405.0000000000109,,-1656.000000000015
2020.08.24,-82.99999999998863,1.999999999990898,-85.00000000000173,-183.99999999999528,-190.00000000000128,-92.00000000000318,-115.99999999999966,96.99999999999153,-54.00000000000959,125.0,69.00000000000794,-72.00000000000273,266.999999999995,-217.0000000000005,-146.0000000000008,-343.9999999999941,-172.00000000000549,-17.999999999995797,-429.99999999999704,,-1643.0000000000105
2020.08.24,-83.9999999999952,7.0000000000014495,-62.99999999999084,-175.99999999999838,-185.99999999999727,-95.00000000000064,-168.00000000000637,92.99999999999864,-43.00000000000415,125.99999999997635,66.99999999999484,-118.99999999999977,243.99999999999977,-248.00000000000378,-173.00000000000182,-364.9999999999949,-165.9999999999995,-34.99999999999615,-422.00000000001125,,-1806.0000000000286
2020.08.24,-99.00000000000463,-17.000000000000348,-70.99999999999883,-186.99999999999272,-191.99999999999218,-120.99999999999334,-186.00000000000705,113.99999999999189,-41.000000000002146,177.99999999999727,19.00000000001345,-143.00000000000068,164.00000000000858,-156.00000000000057,-170.0000000000017,-370.00000000000455,-179.00000000000693,-55.99999999998939,-358.00000000001387,,-1870.9999999999977
2020.08.24,-87.99999999999919,-22.999999999995246,-65.00000000000395,-134.99999999999625,-184.00000000000637,-109.00000000000354,-225.9999999999991,102.99999999999754,-25.00000000000835,198.99999999998386,-11.00000000000545,-209.99999999999375,140.99999999999113,-228.99999999999034,-210.00000000000796,-355.99999999999454,-113.00000000000753,-45.99999999999049,-331.999999999999,,-1919.0000000000282
2020.08.24,-214.00000000000307,-107.00000000001265,-161.00000000001114,-256.99999999999613,-178.99999999999582,-100.99999999999554,-274.0000000000009,90.0000000000012,-41.000000000002146,256.9999999999766,17.000000000000348,-212.0000000000033,177.00000000000495,-238.0000000000049,-201.99999999999818,-424.99999999999716,-204.00000000000418,-80.99999999999774,-351.0000000000124,,-2506.000000000052
2020.08.24,-245.99999999999068,-121.00000000001555,-192.99999999999872,-295.99999999999625,-208.99999999999253,-102.00000000000209,-262.00000000000045,129.00000000000134,-70.0000000000034,239.99999999998067,127.00000000001043,-210.99999999999852,306.00000000000625,-100.99999999999554,-216.00000000000819,-447.00000000000273,-240.00000000000688,-116.99999999998934,-375.0000000000142,,-2404.0000000000164
2020.08.24,-289.0000000000059,-158.0000000000137,-173.00000000000094,-286.99999999999284,-297.9999999999983,-177.99999999998929,-242.999999999995,121.99999999999989,-99.00000000000463,318.9999999999884,22.0000000000109,-232.99999999998988,293.99999999999426,-235.99999999999176,-215.0000000000034,-448.99999999999807,-246.00000000000176,-102.99999999999754,-431.0000000000036,,-2880.9999999999936
2020.08.24,-334.9999999999964,-212.99999999999653,-239.00000000001143,-300.0000000000003,-361.9999999999957,-242.99999999999324,-242.00000000000443,87.99999999999919,-84.0000000000063,201.99999999999818,48.000000000003595,-346.00000000000364,252.0000000000078,-358.9999999999982,-278.99999999999636,-498.9999999999952,-243.00000000000432,-65.99999999999939,-483.0000000000112,,-3703.0000000000045
2020.08.24,-224.99999999998633,-219.99999999999798,-228.00000000000597,-326.9999999999995,-133.00000000000534,-174.99999999999181,-418.00000000000637,-30.000000000007798,36.999999999998145,188.99999999999295,241.00000000000233,-351.99999999998965,226.99999999999943,-570.0000000000039,-254.0000000000049,-525.9999999999962,-270.0000000000036,18.0000000000069,-639.0000000000118,,-3655.0000000000114
