date,USDCHF,GBPUSD,USDCAD,CHFJPY,CADCHF,AUDCHF,NZDCHF,GBPJPY,GBPCAD,EURCAD,EURAUD,AUDJPY,AUDNZD,empty,sum
2017.07.03,-119.99999999999788,-116.00000000000499,0.0,-42.00000000000159,-34.000000000000696,-200.00000000000017,-209.9999999999991,-334.0000000000032,-205.00000000001074,0.0,-12.999999999996348,-175.00000000001137,-144.99999999999514,,-1594.0000000000211
2017.07.03,4.000000000004,-119.99999999998678,42.999999999993044,138.00000000000523,-26.000000000003798,-170.99999999999892,-58.99999999999794,-301.9999999999925,-234.00000000000088,56.99999999999594,59.99999999999339,-153.0000000000058,-137.9999999999937,,-900.9999999999886
2017.07.03,74.00000000000739,-194.99999999998963,19.999999999997797,201.99999999999818,-62.000000000006494,-248.00000000000378,5.999999999994898,-471.00000000000364,-296.0000000000074,90.00000000001229,7.0000000000014495,-279.0000000000106,-174.00000000000747,,-1326.000000000017
2017.07.03,77.00000000000485,-164.99999999999292,36.999999999998145,298.0000000000018,-58.000000000002494,-277.000000000005,87.99999999999919,-481.9999999999993,-293.0000000000099,110.00000000001009,-41.000000000002146,-323.0000000000075,-140.0000000000068,,-1169.000000000012
2017.07.03,76.0000000000094,-136.00000000000279,62.99999999999084,296.99999999999704,-63.00000000000195,-324.00000000000205,170.00000000000347,-489.9999999999807,-276.00000000000955,146.00000000000168,-80.99999999999774,-365.99999999999966,-100.99999999999554,,-1084.9999999999875
2017.07.03,111.00000000000554,-116.00000000000499,89.99999999999008,231.00000000000875,-58.000000000002494,-309.0000000000037,119.00000000000244,-444.9999999999932,-292.00000000000335,154.99999999999403,-52.99999999999194,-326.0000000000076,-76.99999999999375,,-970.0000000000001
2017.07.03,102.00000000000209,-124.99999999999733,96.99999999999153,240.0000000000091,-46.999999999997044,-285.00000000000193,82.00000000000429,-439.9999999999977,-303.0000000000088,157.00000000000713,-56.99999999999594,-294.00000000001114,-164.99999999999292,,-1037.9999999999886
2017.07.03,98.0000000000092,-102.00000000000209,89.99999999999008,185.00000000000227,-46.00000000000159,-314.0000000000032,78.99999999999574,-336.9999999999891,-267.0000000000172,106.00000000000608,-117.99999999999588,-301.00000000000193,-154.99999999999403,,-1082.0000000000016
2017.07.03,120.00000000000898,-45.99999999999049,85.00000000000173,221.00000000000364,-60.00000000000449,-241.99999999999778,119.00000000000244,-311.00000000000705,-202.9999999999976,90.99999999999665,28.000000000005798,-213.00000000000807,-49.00000000001015,,-459.99999999999636
2017.07.03,114.00000000000298,-43.999999999999595,81.9999999999821,239.00000000000432,-77.00000000000485,-256.0000000000007,112.000000000001,-359.9999999999852,-177.00000000000495,97.9999999999981,7.0000000000014495,-255.00000000000966,-26.999999999999247,,-544.0000000000142
