names,week,needed_features,accuracy,next_week_prediction_score,next_week_prediction
USDCHF,10,['EURCHF'],80.0,-1.0,B
GBPUSD,20,"['EURUSD', 'EURGBP', 'AUDUSD', 'GBPCAD', 'USDCAD', 'AUDNZD']",100.0,0.2986666666666667,S
EURUSD,50,"['GBPCAD', 'AUDCAD', 'EURCAD', 'GBPAUD']",100.0,-0.5669422799422801,B
USDJPY,10,"['CADCHF', 'EURCHF', 'AUDJPY']",100.0,-0.54,B
USDCAD,10,"['EURGBP', 'GBPCHF']",100.0,-0.86,B
AUDUSD,10,"['GBPCAD', 'NZDCHF']",80.0,-0.4752619047619047,B
NZDUSD,50,"['CADCHF', 'GBPCAD']",80.0,-0.3281822680243731,B
CHFJPY,15,"['EURGBP', 'GBPCHF', 'USDCHF', 'USDJPY']",80.0,0.6833333333333335,S
CADCHF,10,['EURCHF'],100.0,-0.726626984126984,B
AUDCHF,50,"['GBPCHF', 'EURCHF', 'NZDCAD', 'AUDCHF', 'EURGBP']",100.0,0.029333333333333326,S
NZDCHF,20,"['EURUSD', 'EURCHF']",100.0,-1.0,B
EURGBP,20,"['CHFJPY', 'NZDCHF']",100.0,0.06180952380952391,S
GBPJPY,10,"['EURGBP', 'CADCHF']",100.0,1.0,S
EURJPY,10,"['EURGBP', 'GBPCHF']",80.0,0.84,S
EURCAD,10,['EURGBP'],100.0,-0.6533968253968255,B
EURNZD,50,"['EURUSD', 'AUDCHF', 'NZDCHF']",100.0,-0.1808812051381711,B
CADJPY,30,"['EURGBP', 'AUDUSD', 'USDCAD', 'GBPCAD', 'EURCHF']",100.0,-0.266,B
AUDJPY,10,"['GBPCHF', 'CADJPY', 'EURCAD']",80.0,0.5088571428571429,S
NZDJPY,30,"['CADCHF', 'EURJPY', 'USDCHF']",100.0,0.44220634920634927,S
NZDCAD,30,['EURGBP'],100.0,-0.5952782830419462,B
AUDNZD,20,"['AUDUSD', 'USDCHF']",100.0,0.5363911643911645,S
