date,EURUSD,USDJPY,USDCAD,AUDUSD,EURCHF,CHFJPY,CADCHF,EURGBP,GBPJPY,GBPAUD,EURCAD,CADJPY,AUDJPY,NZDJPY,empty,sum
2016.07.25,-21.999999999988695,-31.00000000000591,-59.99999999999339,-78.99999999999574,-99.00000000000463,-144.99999999999602,-100.99999999999554,-117.99999999999588,-479.99999999998977,-363.9999999999866,-60.99999999999994,-134.00000000000034,-36.99999999999193,-57.00000000000216,,-1787.9999999999468
2016.07.25,-5.999999999994898,-219.99999999999886,17.000000000000348,4.999999999999449,-101.00000000001774,-287.00000000000614,-97.9999999999981,-113.99999999999189,-203.9999999999793,-278.9999999999848,9.999999999998899,-114.99999999999488,-177.99999999999727,-40.99999999999682,,-1610.9999999999623
2016.07.25,-5.999999999994898,-146.0000000000008,82.00000000000429,-34.000000000000696,-112.000000000001,-189.99999999999773,-87.99999999999919,-143.9999999999997,-211.9999999999891,-319.999999999987,45.000000000006146,-73.0000000000075,-152.9999999999916,31.999999999996476,,-1318.9999999999623
2016.07.25,-4.000000000004,-299.0000000000066,52.000000000007596,35.00000000000725,-159.00000000002024,-314.00000000000716,-25.999999999992696,-51.99999999999649,15.00000000001478,-190.00000000000128,32.0000000000098,-12.000000000000455,-274.9999999999915,88.99999999999864,,-1107.9999999999823
2016.07.25,12.999999999996348,-237.99999999999955,14.000000000002899,55.000000000005045,-144.0000000000108,-263.00000000000523,21.00000000000435,-41.9999999999976,108.00000000000409,-226.99999999999943,-4.000000000004,75.00000000000284,-265.00000000000057,167.0000000000016,,-730.0
2016.07.25,28.000000000005798,-264.00000000001,-22.999999999995246,116.00000000000499,-126.0000000000039,-274.0000000000009,46.00000000000159,-123.99999999999079,-40.99999999999682,-513.9999999999923,-85.00000000000173,90.00000000000341,-381.0000000000002,239.99999999999488,,-1311.9999999999814
2016.07.25,2.999999999997449,-370.00000000000455,-38.99999999998904,136.00000000000279,-129.00000000000134,-394.00000000000546,44.0000000000107,-133.99999999998968,-48.99999999997817,-553.9999999999878,-96.99999999999153,81.00000000000307,-491.9999999999902,230.00000000000398,,-1763.99999999992
2016.07.25,62.000000000006494,-555.0000000000068,-26.999999999999247,29.000000000001247,-125.00000000001954,-533.0000000000013,53.00000000000304,-119.99999999999788,1.0000000000047748,-573.9999999999857,-106.00000000000608,167.99999999999216,-479.99999999998977,125.0,,-2081.999999999999
2016.07.25,119.00000000000244,-612.9999999999995,90.99999999999665,-22.999999999995246,-120.00000000000898,-555.0000000000068,47.00000000000814,-81.9999999999932,316.0000000000025,-608.9999999999928,-52.99999999999194,271.0000000000008,-543.9999999999969,-42.00000000000159,,-1796.9999999999766
2016.07.25,117.99999999999588,-574.0000000000123,148.99999999999915,52.000000000007596,-103.00000000000864,-489.0000000000043,16.0000000000049,-100.00000000000009,209.00000000000318,-634.0000000000013,-25.00000000000835,179.9999999999926,-540.9999999999968,25.99999999999625,,-1716.0000000000323
