date,USDJPY,USDCAD,NZDUSD,EURCHF,CADCHF,NZDCHF,GBPJPY,GBPAUD,EURJPY,EURNZD,CADJPY,NZDJPY,AUDNZD,empty,sum
2020.04.27,-61.99999999999761,-21.00000000000435,-193.99999999999417,-43.999999999999595,-105.99999999999498,-211.99999999998997,-105.99999999999454,-156.99999999998494,-213.99999999999864,-195.00000000001182,-59.00000000001171,-219.99999999999886,-38.99999999998904,,-1628.9999999999702
2020.04.27,-6.000000000000227,-11.999999999989797,-188.9999999999947,-41.000000000002146,-119.00000000000244,-206.99999999999054,-58.9999999999975,-78.99999999998464,-135.99999999999568,32.999999999994145,-48.00000000000182,-156.0000000000059,182.99999999999983,,-835.9999999999716
2020.04.27,-1.0000000000047748,66.99999999999484,-200.00000000000017,-120.00000000000898,-178.99999999999582,-252.99999999999213,-42.00000000000159,-262.999999999991,-102.99999999999443,-12.000000000012001,-47.000000000011255,-155.00000000000114,185.00000000001293,,-1123.0000000000055
2020.04.27,67.99999999999784,266.999999999995,-180.0000000000024,-120.00000000000898,-132.99999999999423,-250.9999999999901,55.00000000000682,-112.000000000001,-9.000000000000341,0.9999999999843467,78.99999999999352,-111.99999999999477,197.00000000000273,,-250.00000000001154
2020.04.27,78.99999999999352,251.00000000000122,-257.9999999999916,-121.99999999999989,-141.00000000000225,-313.99999999999204,51.9999999999925,-300.99999999999574,-12.000000000000455,-218.00000000000708,80.99999999998886,-197.00000000000273,219.00000000001364,,-881.000000000002
2020.04.27,6.999999999990791,263.00000000001324,-266.999999999995,-124.99999999999733,-126.99999999999933,-322.00000000000006,-31.00000000000591,-327.99999999999494,-109.99999999999943,-225.00000000000853,31.999999999996476,-230.00000000000398,209.9999999999991,,-1253.0000000000055
2020.04.27,-79.00000000000773,217.0000000000005,-283.99999999999534,-123.00000000000644,-176.99999999999383,-363.99999999999767,-116.99999999999022,-495.99999999998533,-143.99999999999125,-331.999999999999,-53.00000000001148,-292.0000000000016,242.00000000000887,,-2001.9999999999702
2020.04.27,-60.000000000002274,126.0000000000039,-342.9999999999933,-110.99999999999443,-202.0000000000022,-410.9999999999947,-189.99999999999773,-749.999999999984,-138.9999999999958,-473.0000000000123,-77.00000000001239,-358.0000000000041,280.9999999999979,,-2706.9999999999914
2020.04.27,-63.00000000000239,21.00000000000435,-434.000000000001,-130.99999999999224,-219.00000000000253,-465.9999999999998,-260.9999999999957,-1031.9999999999884,-241.99999999999022,-616.0000000000165,-130.00000000000966,-463.99999999999864,322.00000000000006,,-3714.9999999999927
2020.04.27,-58.9999999999975,-143.00000000000423,-517.0000000000008,-173.00000000000094,-309.99999999999915,-559.9999999999939,-503.9999999999907,-1102.9999999999873,-257.99999999999557,-808.0000000000088,-189.00000000000716,-531.9999999999965,404.0000000000044,,-4751.999999999978
