date,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPCAD,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDCAD,AUDNZD,empty,sum
2016.11.07,-64.99999999998174,-432.9999999999945,-168.00000000000148,-484.00000000000665,-130.99999999999224,-370.00000000000364,-328.00000000000296,-569.0000000000084,-275.99999999999847,-436.9999999999985,-261.0000000000001,-784.0000000000069,-174.99999999999716,-848.9999999999886,-737.9999999999942,-978.0000000000122,-246.9999999999999,-46.999999999997044,-275.99999999999847,-16.000000000016,,-7632.0
2016.11.07,67.00000000001705,-374.0000000000077,-131.00000000000333,-243.00000000000432,-76.0000000000094,-191.00000000000784,-400.0000000000057,-448.9999999999994,-253.0000000000032,-332.99999999999443,-192.00000000000327,-727.0000000000109,116.99999999999022,-693.9999999999947,-670.9999999999993,-910.0000000000108,-106.99999999999932,81.00000000000307,-226.99999999999943,4.999999999988347,,-5708.000000000055
2016.11.07,78.00000000000028,-242.99999999999324,-55.000000000005045,-207.00000000000162,-103.99999999999298,-148.99999999999915,-656.0000000000059,-380.999999999998,-234.00000000000088,-351.99999999999676,-202.9999999999976,-666.000000000011,121.99999999999989,-602.999999999998,-617.0000000000009,-931.9999999999995,-346.9999999999942,-131.00000000000023,-154.99999999999403,97.9999999999981,,-5736.99999999999
2016.11.07,59.000000000009045,-322.00000000000006,-70.0000000000034,-218.00000000000708,-78.00000000000028,-256.99999999999613,-980.9999999999945,-392.9999999999989,-224.000000000002,-342.9999999999933,-249.99999999999466,-791.0000000000084,444.9999999999932,-739.9999999999851,-731.9999999999993,-1058.0000000000034,-496.9999999999999,-338.99999999999864,-212.00000000000108,129.00000000000134,,-6871.999999999982
2016.11.07,255.00000000000523,-412.9999999999967,-39.999999999995595,-221.99999999999997,-25.999999999992696,-248.00000000000378,-709.0000000000032,-509.9999999999993,-265.0000000000041,-420.9999999999936,-261.0000000000001,-1163.000000000003,516.9999999999959,-1079.999999999992,-872.0000000000061,-1247.0000000000202,-347.999999999999,-224.99999999999432,-205.99999999999508,243.99999999999977,,-7239.999999999998
2016.11.07,168.0000000000126,-500.9999999999959,-70.99999999999883,-232.00000000000998,-79.00000000000685,-204.00000000000418,-640.0000000000006,-553.999999999999,-290.9999999999968,-419.00000000000273,-266.999999999995,-1096.0000000000082,373.9999999999952,-1112.9999999999861,-903.9999999999937,-1241.0000000000032,-102.99999999999443,-65.99999999998829,-289.9999999999903,214.00000000000307,,-7314.999999999963
2016.11.07,167.00000000000603,-483.99999999999557,31.000000000003247,-182.00000000000438,-4.000000000004,-219.99999999999798,-528.0000000000058,-502.00000000000244,-153.99999999999858,-334.00000000000097,-249.99999999999466,-1118.0000000000189,328.00000000000296,-1071.999999999984,-645.0000000000067,-1041.000000000003,-40.99999999999682,-58.9999999999975,-361.9999999999957,237.99999999998266,,-6232.00000000001
2016.11.07,195.00000000001182,-485.0000000000021,-26.999999999999247,-187.00000000000384,25.999999999992696,-209.9999999999991,-649.0000000000009,-489.0000000000061,-175.99999999999838,-314.99999999999864,-234.99999999999633,-1066.0000000000114,418.99999999999693,-1037.9999999999834,-648.0000000000041,-1009.0000000000155,-170.99999999999227,-161.99999999999193,-334.00000000000097,211.99999999998997,,-6349.000000000012
2016.11.07,51.000000000001044,-418.9999999999916,-9.999999999998899,-198.00000000000927,-28.999999999990145,-171.00000000001003,-628.0000000000001,-439.0000000000005,-170.99999999999892,-292.00000000000335,-229.99999999999687,-913.0000000000083,429.00000000000205,-874.9999999999814,-635.0000000000077,-921.0000000000163,-214.9999999999892,-229.99999999998977,-295.0000000000008,200.99999999998454,,-5990.0000000000055
2016.11.07,-9.999999999998899,-473.99999999999665,-7.9999999999968985,-250.00000000000577,18.999999999991246,-184.00000000000637,-614.0000000000043,-369.0000000000082,-44.99999999999504,-263.0000000000021,-204.00000000000418,-782.000000000016,445.99999999999795,-735.9999999999811,-390.0000000000015,-866.0000000000113,-247.99999999999045,-262.00000000000045,-284.9999999999908,276.9999999999939,,-5248.000000000026
2016.11.07,-20.999999999982144,-472.00000000000574,-17.000000000000348,-271.0000000000101,45.000000000006146,-197.00000000000273,-594.9999999999989,-348.9999999999993,-50.0000000000056,-268.99999999999704,-190.99999999999673,-771.0000000000106,447.9999999999933,-708.9999999999818,-402.0000000000135,-907.0000000000133,-250.99999999999056,-248.99999999999523,-258.9999999999981,290.9999999999968,,-5196.000000000007
2016.11.07,-9.999999999998899,-442.00000000000904,21.00000000000435,-257.0000000000072,25.999999999992696,-188.9999999999947,-608.9999999999947,-336.00000000000296,-12.000000000000899,-263.0000000000021,-217.99999999999596,-750.0000000000063,432.00000000000216,-714.999999999999,-370.00000000000364,-898.000000000021,-271.0000000000008,-271.99999999999136,-204.99999999999963,367.99999999999056,,-4970.000000000038
