date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,GBPCHF,CHFJPY,CADCHF,EURGBP,GBPCAD,EURJPY,EURCAD,CADJPY,AUDNZD,empty,sum
2020.03.30,-236.00000000000287,-129.00000000000134,-63.99999999999295,-150.00000000000568,-85.00000000000173,-106.99999999999044,-156.00000000000057,-26.00000000001046,-7.9999999999968985,-51.000000000001044,-365.99999999999966,-72.00000000000273,-278.00000000000045,-170.0000000000017,-283.99999999999534,,-2182.000000000004
2020.03.30,-245.0000000000063,-98.99999999998244,-161.99999999999193,68.99999999998573,-48.000000000003595,-20.999999999993246,59.000000000009045,-9.000000000000341,104.99999999999955,-102.99999999999754,-487.0000000000152,-43.99999999999693,-303.0000000000088,-194.00000000000261,-222.99999999999542,,-1705.0
2020.03.30,-238.0000000000049,-121.99999999999989,-298.0000000000018,139.9999999999846,-375.0000000000031,-350.9999999999902,-130.0000000000079,164.00000000000148,146.00000000000168,-35.999999999991594,-605.9999999999955,-10.99999999999568,-580.0000000000027,-197.00000000000273,-176.99999999998272,,-2670.999999999991
2020.03.30,-96.00000000000719,-12.999999999996348,-197.00000000000273,493.99999999999443,-311.00000000000574,-319.99999999999807,72.99999999998974,210.99999999999852,237.99999999999378,291.0000000000079,-575.0000000000144,-4.0000000000048885,-608.0000000000085,-356.00000000000875,-31.999999999987594,,-1205.0000000000498
2020.03.30,-92.99999999999864,-60.99999999999994,-103.9999999999992,407.99999999998613,-243.99999999999977,-198.99999999999363,66.00000000001049,277.000000000001,280.00000000000244,287.0000000000039,-739.0000000000008,7.999999999995566,-707.0000000000132,-384.00000000000034,-32.999999999994145,,-1238.0
2020.03.30,-231.0000000000034,-279.99999999999136,-4.9999999999954525,257.99999999998045,-26.000000000003798,-15.999999999993797,-106.00000000000608,161.99999999999193,243.99999999999977,208.00000000000819,-817.000000000001,1.0000000000047748,-687.0000000000153,-403.99999999999636,25.00000000000835,,-1674.000000000013
2020.03.30,-197.99999999999818,-224.000000000002,19.000000000005457,70.99999999999883,141.00000000000225,149.00000000001023,-404.9999999999887,149.0000000000009,70.0000000000034,0.0,-853.0000000000149,-27.999999999991587,-644.0000000000001,-367.00000000000443,16.000000000016,,-2103.999999999963
2020.03.30,2.000000000002,-60.99999999999994,-96.9999999999942,122.99999999998423,-214.99999999999852,-225.99999999999287,-347.0000000000084,-6.000000000000227,81.9999999999932,55.000000000005045,-746.0000000000023,-233.99999999999466,-383.0,-371.0000000000093,59.000000000009045,,-2365.0000000000073
2020.03.30,-21.999999999999797,-11.999999999989797,109.99999999999943,305.9999999999841,-200.99999999999562,-182.99999999999983,-241.00000000000233,-82.99999999999841,129.9999999999968,68.00000000000139,-763.0000000000026,-361.99999999999477,-477.0000000000163,-454.9999999999983,60.99999999999994,,-2124.000000000016
2020.03.30,10.999999999994348,73.00000000001194,227.00000000000387,366.999999999984,-84.0000000000063,-72.99999999998974,-82.00000000000429,-228.00000000000864,165.9999999999995,134.0000000000008,-625.0000000000089,-587.9999999999939,-319.0000000000026,-527.000000000001,4.000000000004,,-1544.0000000000168
