date,USDJPY,AUDNZD,empty,sum
2019.07.08,-21.99999999999136,-46.999999999997044,,-68.9999999999884
2019.07.08,-16.999999999995907,18.0000000000069,,1.000000000010992
2019.07.08,-0.999999999990564,58.000000000002494,,57.00000000001193
2019.07.08,75.00000000000284,46.0000000000127,,121.00000000001555
2019.07.08,66.0000000000025,43.00000000001525,,109.00000000001775
2019.07.08,37.9999999999967,17.000000000000348,,54.99999999999705
2019.07.08,-16.999999999995907,-31.000000000003247,,-47.999999999999154
2019.07.08,-12.000000000000455,-51.99999999998539,,-63.999999999985846
2019.07.08,58.9999999999975,-48.000000000003595,,10.999999999993904
2019.07.08,7.000000000005002,-32.999999999994145,,-25.999999999989143
2019.07.08,0.0,-22.999999999995246,,-22.999999999995246
2019.07.08,-34.99999999999659,-22.999999999995246,,-57.999999999991836
2019.07.08,-54.99999999999261,-73.99999999999629,,-128.99999999998892
2019.07.08,-64.99999999999773,-70.99999999999883,,-135.99999999999656
2019.07.08,-87.99999999999386,-78.99999999998464,,-166.9999999999785
2019.07.08,-111.0000000000042,-51.99999999998539,,-162.9999999999896
2019.07.08,-118.99999999999977,-61.99999999998429,,-180.99999999998406
2019.07.08,-149.0000000000009,-65.99999999998829,,-214.9999999999892
2019.07.08,-134.9999999999909,-109.99999999998789,,-244.9999999999788
2019.07.08,-123.99999999999523,-110.99999999999443,,-234.99999999998965
2019.07.08,-122.99999999999045,-140.99999999999113,,-263.9999999999816
2019.07.08,-96.00000000000364,-154.99999999999403,,-250.99999999999767
2019.07.08,-99.99999999999432,-166.99999999998383,,-266.9999999999782
2019.07.08,-84.00000000000318,-156.00000000000057,,-240.00000000000375
2019.07.08,-52.99999999999727,-160.99999999998892,,-213.9999999999862
2019.07.08,-18.999999999991246,-180.99999999998673,,-199.99999999997797
2019.07.08,30.000000000001137,-165.9999999999995,,-135.99999999999835
2019.07.08,64.99999999999773,-140.99999999999113,,-75.9999999999934
2019.07.08,99.00000000000375,-96.99999999999153,,2.0000000000122213
2019.07.08,115.99999999999966,-105.99999999998388,,10.000000000015774
