date,USDCHF,GBPUSD,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,CADCHF,AUDCHF,NZDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURAUD,EURNZD,CADJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2018.01.15,-95.99999999999609,-107.99999999999699,-14.000000000002899,-68.9999999999884,0.0,0.0,-15.999999999993797,-109.99999999999943,-79.00000000000685,-43.999999999999595,-82.99999999999974,-16.0000000000049,-128.99999999999068,-120.9999999999809,-1.0000000000065512,-116.99999999998934,-49.00000000001015,-29.000000000010573,-135.99999999999568,-66.99999999999307,0.0,-148.99999999999915,,-1432.9999999999645
2018.01.15,-49.99999999999449,-123.99999999999079,5.999999999994898,21.000000000000796,-182.0000000000155,112.000000000001,53.00000000000304,-156.0000000000059,-25.00000000000835,49.99999999999449,7.9999999999968985,-19.999999999997797,-197.00000000000273,-179.9999999999784,-149.00000000002134,-63.99999999999739,-87.99999999999919,-239.00000000000432,-177.99999999999727,-121.99999999999989,-36.999999999998145,-109.00000000000354,,-1670.000000000024
2018.01.15,-92.99999999999864,-154.99999999999403,-1.0000000000065512,-70.99999999999795,-123.00000000000644,107.00000000000153,65.00000000000395,-182.00000000000216,49.99999999999449,51.99999999999649,-1.0000000000065512,-48.000000000003595,-217.00000000001296,-223.99999999998954,-57.00000000001815,-93.99999999999409,-239.99999999999577,-208.00000000001262,-189.99999999999773,-152.9999999999916,19.00000000000235,-110.99999999999443,,-1875.0000000000236
2018.01.15,-24.000000000001798,-126.99999999998823,-24.000000000001798,-96.9999999999942,-55.000000000005045,65.99999999999939,70.99999999999883,-102.00000000000387,64.99999999999284,66.99999999999484,70.99999999999883,-41.9999999999976,-144.00000000000546,-113.9999999999759,-53.00000000001415,-73.99999999999629,-252.0000000000078,-137.00000000000045,-129.99999999999545,-181.99999999998795,138.00000000000477,-17.000000000000348,,-1095.9999999999868
2018.01.15,-19.00000000000235,-144.99999999999514,-34.99999999998504,-253.99999999999068,4.000000000004,68.00000000000139,95.99999999999609,-141.00000000000534,10.999999999994348,64.99999999999284,95.99999999999609,-80.99999999999774,-168.00000000000637,-118.99999999999977,-36.0000000000138,-13.999999999980695,-314.00000000001427,-141.00000000000534,-128.99999999999068,-165.99999999999682,173.00000000000094,-17.999999999984695,,-1266.9999999999832
2018.01.15,-24.999999999997247,-114.99999999999844,-56.99999999999594,-273.9999999999867,36.999999999998145,104.99999999999955,141.99999999999767,105.99999999999454,-12.000000000000899,83.9999999999952,117.00000000000044,-87.00000000000374,161.00000000000136,182.00000000001637,-13.000000000018552,76.0000000000094,-408.9999999999927,72.99999999999329,8.000000000009777,-60.99999999999284,242.00000000000887,19.00000000001345,,299.00000000005105
2018.01.15,-90.0000000000012,-226.99999999999943,-38.0000000000047,-421.99999999999704,-117.99999999999588,130.0000000000079,177.00000000000495,140.99999999999113,14.999999999998348,102.99999999999754,153.99999999999858,-92.99999999999864,192.00000000000728,213.99999999999864,-24.000000000001798,133.00000000000534,-756.0000000000011,115.99999999999966,-86.99999999998909,-203.99999999999352,319.0000000000026,22.0000000000109,,-342.9999999999595
2018.01.15,-66.99999999999484,-173.99999999998528,-28.000000000005798,-356.9999999999993,-66.99999999999484,258.0000000000027,270.99999999999903,176.00000000000193,27.999999999994696,221.99999999999997,246.00000000000176,-78.00000000000028,254.99999999999545,291.00000000002524,-42.0000000000087,316.0000000000052,-625.9999999999932,128.99999999999068,-106.99999999999932,-134.00000000000034,382.00000000000455,-20.999999999982144,,873.0000000000571
2018.01.15,-115.99999999999389,-214.00000000000307,39.00000000001125,-445.99999999999795,-76.0000000000094,300.0000000000003,331.0000000000035,153.99999999999636,14.999999999998348,217.0000000000005,248.99999999999923,-78.00000000000028,292.0000000000016,293.00000000000637,-5.000000000010552,341.00000000001353,-714.0000000000147,142.99999999998647,-102.99999999999443,-152.9999999999916,419.00000000000273,23.00000000001745,,911.0000000000218
2018.01.15,-109.00000000000354,-178.99999999999582,-8.999999999992347,-403.99999999999636,-66.99999999999484,248.99999999999923,282.99999999999994,155.00000000000114,-1.0000000000065512,149.99999999999457,212.00000000000108,-55.000000000005045,318.00000000001205,320.0000000000216,-31.000000000003247,272.00000000000557,-673.9999999999968,141.9999999999959,-70.99999999999795,-137.99999999999102,386.0000000000086,33.00000000001635,,782.0000000000723
2018.01.15,-100.99999999999554,-137.9999999999937,-4.999999999988347,-352.99999999999443,-26.0000000000149,260.00000000000466,285.00000000000193,138.9999999999958,-6.0000000000060005,165.9999999999995,200.00000000000017,-46.00000000000159,312.0000000000118,287.00000000000614,-19.00000000001345,304.9999999999997,-686.0000000000089,141.9999999999959,-92.99999999998931,-144.99999999999602,390.0000000000015,12.999999999996348,,881.0000000000114
2018.01.15,-92.99999999999864,-146.00000000000168,55.000000000005045,-355.99999999999454,-49.99999999999449,342.000000000009,268.0000000000016,111.99999999999477,19.999999999997797,234.99999999999633,188.9999999999947,-39.00000000000014,276.9999999999868,247.0000000000141,-20.000000000020002,405.0000000000109,-686.9999999999932,111.99999999999477,-173.99999999999238,-188.99999999999295,334.00000000000097,-154.99999999999403,,687.0000000000246
