date,USDCHF,EURUSD,USDJPY,GBPCHF,CHFJPY,CADCHF,AUDCHF,GBPAUD,EURJPY,EURAUD,EURNZD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,empty,sum
2019.04.29,0.0,0.0,-58.9999999999975,-116.00000000000499,-65.00000000001194,0.0,-36.999999999998145,-141.99999999999767,-171.00000000000648,-25.999999999992696,-99.00000000000463,-64.99999999999773,-51.00000000000193,-129.00000000000134,-134.99999999999625,,-1095.0000000000114
2019.04.29,15.00000000000945,79.00000000000685,-60.99999999999284,-39.00000000001125,-75.00000000000284,36.999999999998145,-58.99999999999794,-72.99999999998974,-192.00000000000728,-11.999999999989797,-113.99999999999189,-81.99999999999363,-16.999999999995907,-175.99999999999838,-192.99999999999872,,-961.9999999999558
2019.04.29,1.0000000000065512,86.0000000000083,-73.99999999999807,-87.00000000001484,-67.00000000000728,21.00000000000435,-55.000000000005045,-55.000000000005045,-189.00000000000716,60.99999999999994,-151.9999999999966,-78.99999999999352,22.00000000000557,-146.99999999999713,-165.00000000000404,,-879.0000000000041
2019.04.29,1.0000000000065512,96.00000000000719,-75.9999999999934,-87.99999999999919,-69.00000000000261,18.0000000000069,-58.99999999999794,-32.999999999994145,-203.00000000000296,49.00000000001015,-151.9999999999966,-93.99999999999409,40.00000000000625,-179.00000000000693,-136.99999999999824,,-885.9999999999491
2019.04.29,11.00000000000545,93.00000000000975,-85.99999999999852,-95.00000000000064,-73.0000000000075,19.00000000000235,-58.000000000002494,-32.0000000000098,-213.99999999999864,51.000000000001044,-88.99999999998354,-105.99999999999454,79.9999999999983,-173.00000000000094,-167.00000000000603,,-838.9999999999858
2019.04.29,5.999999999994898,81.00000000001995,-83.99999999998897,-76.0000000000094,-73.0000000000075,25.00000000000835,-63.00000000000195,-49.99999999999449,-201.00000000000762,35.00000000000725,-12.999999999996348,-103.9999999999992,105.00000000000398,-180.0000000000024,-222.99999999999542,,-814.9999999999688
2019.04.29,-5.999999999994898,81.00000000001995,-86.99999999998909,-107.00000000001265,-77.00000000001239,-2.999999999997449,-107.99999999999699,-126.0000000000039,-207.9999999999984,-36.999999999998145,52.000000000007596,-147.00000000000557,131.00000000000023,-199.00000000000472,-263.99999999999756,,-1104.9999999999839
2019.04.29,1.0000000000065512,79.00000000000685,-101.99999999998965,-97.00000000001374,-88.00000000000807,-12.000000000000899,-111.00000000000554,-160.00000000000458,-218.00000000000352,-59.99999999999339,187.00000000000384,-165.99999999999682,191.0000000000025,-192.99999999999872,-273.000000000001,,-1021.9999999999962
2019.04.29,-26.999999999999247,67.00000000001705,-106.99999999999932,-119.00000000000244,-67.00000000000728,-24.999999999997247,-148.99999999999915,-185.99999999999727,-222.99999999999898,-112.000000000001,187.00000000000384,-183.9999999999975,195.99999999999795,-223.00000000000654,-317.9999999999961,,-1289.9999999999834
2019.04.29,-28.999999999990145,56.000000000011596,-110.99999999999,-118.00000000001809,-78.00000000000296,-19.999999999997797,-158.0000000000026,-238.0000000000049,-225.00000000000853,-131.99999999999878,293.99999999999426,-203.99999999999352,236.0000000000042,-270.0000000000036,-378.00000000000057,,-1375.0000000000014
