date,GBPUSD,USDCAD,GBPCHF,EURCHF,CHFJPY,NZDCHF,EURGBP,GBPJPY,EURCAD,CADJPY,AUDCAD,empty,sum
2021.08.09,0.0,-65.99999999998829,0.0,-44.99999999998394,0.0,-135.00000000000733,-108.99999999999244,0.0,-126.0000000000039,0.0,-135.00000000000733,,-615.9999999999832
2021.08.09,6.000000000017103,-65.99999999998829,133.99999999998968,-30.999999999981043,55.999999999997385,-194.0000000000053,-70.99999999999883,10.000000000019327,-119.99999999998678,25.000000000005684,-135.00000000000733,,-385.9999999999384
2021.08.09,-24.000000000001798,-249.99999999999466,173.00000000000094,-116.99999999998934,87.99999999999386,-221.00000000000452,-84.99999999999064,28.00000000002001,-322.00000000000006,8.000000000009777,-185.00000000000182,,-906.9999999999583
2021.08.09,-81.9999999999821,-319.0000000000026,212.99999999999653,-145.99999999997948,46.999999999997044,-182.99999999999983,-90.99999999999665,47.000000000025466,-317.9999999999961,-35.99999999998715,-165.00000000000404,,-1032.9999999999288
2021.08.09,-112.99999999998533,-353.99999999998766,241.99999999998667,-128.99999999997914,43.99999999999693,-148.0000000000037,-85.99999999999719,19.000000000005457,-336.9999999999873,-64.99999999999773,-85.00000000000173,,-1011.9999999999508
2021.08.09,-96.99999999999153,-323.99999999999096,242.99999999999324,-80.99999999999774,78.99999999999352,-99.00000000000463,-70.99999999999883,42.00000000000159,-278.00000000000045,-38.99999999998727,-75.00000000000284,,-699.9999999999859
2021.08.09,-143.99999999998857,-397.99999999998727,200.00000000000017,-71.99999999998319,80.99999999998886,-104.00000000000409,-84.99999999999064,12.000000000000455,-316.0000000000052,-69.99999999999318,-73.00000000000084,,-968.9999999999635
2021.08.09,-121.99999999999989,-360.9999999999891,198.99999999999363,-80.99999999999774,82.99999999999841,-129.00000000000134,-96.99999999999153,12.000000000000455,-337.99999999999386,-70.99999999999795,-104.00000000000409,,-1008.999999999983
2021.08.09,-81.9999999999821,-334.9999999999964,173.00000000000094,-90.99999999999665,96.9999999999942,-243.00000000000432,-115.99999999999389,-19.99999999998181,-343.99999999998875,-64.99999999999773,-189.00000000000583,,-1214.9999999999523
2021.08.09,-131.99999999999878,-319.0000000000026,107.99999999999699,-91.99999999998099,113.99999999999011,-236.99999999999832,-147.99999999999258,-81.99999999999363,-346.0000000000019,-51.9999999999925,-232.00000000000998,,-1417.999999999984
2021.08.09,-119.00000000000244,-285.00000000000193,117.99999999999588,-70.99999999999883,131.00000000000023,-275.99999999999847,-136.99999999999824,-59.99999999997385,-309.99999999998806,-44.999999999987494,-232.00000000000998,,-1285.9999999999632
2021.08.09,-51.99999999998539,-222.99999999999542,119.00000000000244,-71.99999999998319,157.99999999998704,-263.0000000000021,-140.99999999999113,-24.00000000000091,-316.0000000000052,-15.000000000000568,-239.0000000000003,,-1067.9999999999748
2021.08.09,-43.999999999999595,-204.99999999998852,143.00000000000423,-88.99999999998354,143.00000000000068,-294.00000000000534,-134.99999999999625,0.0,-293.99999999999426,-6.999999999990791,-218.00000000000708,,-999.9999999999604
