date,NZDUSD,CHFJPY,NZDCHF,EURGBP,GBPJPY,EURJPY,EURCAD,EURNZD,AUDCAD,empty,sum
2021.11.08,-219.99999999999798,-250.99999999999056,-220.99999999999343,-106.00000000000608,-207.9999999999984,-217.00000000001296,0.0,-307.00000000001285,0.0,,-1530.0000000000123
2021.11.08,-141.00000000000225,-321.9999999999885,-148.99999999999915,-36.999999999998145,-254.99999999999545,-247.0000000000141,124.99999999999733,-10.000000000021103,111.00000000000554,,-925.000000000016
2021.11.08,-148.99999999999915,-417.0000000000016,-133.99999999998968,-6.0000000000060005,-334.99999999997954,-359.00000000000887,154.99999999999403,34.99999999998504,137.00000000000932,,-1072.9999999999964
2021.11.08,-126.0000000000039,-431.99999999998795,-92.99999999999864,24.999999999997247,-346.99999999998,-385.0000000000193,126.0000000000039,186.99999999998164,89.00000000000574,,-956.0000000000014
2021.11.08,-87.99999999999919,-471.9999999999942,-54.999999999993946,20.999999999993246,-429.9999999999784,-412.00000000000614,178.99999999999582,309.99999999998806,81.00000000000884,,-865.9999999999858
2021.11.08,-87.00000000000374,-500.99999999999056,-75.9999999999983,19.00000000000235,-462.99999999999386,-441.0000000000025,180.0000000000024,237.99999999998266,103.00000000000864,,-1027.9999999999927
2021.11.08,-139.99999999999568,-506.9999999999908,-139.00000000000023,8.999999999992347,-441.99999999997885,-439.0000000000214,41.99999999998649,78.99999999998464,91.00000000000774,,-1446.0000000000157
2021.11.08,-137.9999999999937,-433.9999999999975,-148.99999999999915,7.9999999999968985,-391.9999999999959,-381.0000000000002,35.999999999991594,67.9999999999792,53.00000000000304,,-1329.0000000000157
2021.11.08,-146.99999999999713,-339.9999999999892,-227.99999999999488,31.999999999998696,-312.9999999999882,-348.0000000000132,55.99999999998939,0.0,56.0000000000005,,-1231.999999999994
2021.11.08,-209.9999999999991,-346.9999999999942,-282.99999999999994,34.000000000000696,-363.9999999999759,-391.9999999999959,46.999999999997044,-122.00000000002208,68.00000000000139,,-1568.999999999988
2021.11.08,-304.9999999999997,-399.9999999999915,-339.99999999999585,29.000000000001247,-427.99999999999727,-432.00000000001637,90.99999999999665,-276.00000000000955,79.00000000000685,,-1982.000000000006
