date,USDCHF,GBPUSD,EURUSD,AUDUSD,NZDUSD,CHFJPY,CADCHF,GBPJPY,GBPCAD,GBPAUD,EURJPY,AUDJPY,NZDJPY,NZDCAD,AUDNZD,empty,sum
2018.02.05,5.999999999994898,1.0000000000065512,-19.00000000001345,17.000000000000348,51.000000000001044,75.00000000000284,1.999999999990898,121.99999999998568,113.99999999999189,-43.999999999999595,82.99999999999841,94.0000000000083,64.99999999999773,173.00000000000094,-29.999999999996696,,709.9999999999698
2018.02.05,27.999999999994696,-75.99999999998718,-32.0000000000098,-92.00000000000318,-44.99999999999504,93.00000000000352,27.999999999994696,27.999999999991587,100.99999999999554,100.0000000000112,67.99999999998363,-22.999999999996135,-39.00000000000148,95.00000000000064,-41.000000000002146,,192.9999999999805
2018.02.05,80.99999999999774,-95.999999999985,62.99999999999084,-117.00000000000044,-61.999999999995396,45.000000000001705,22.999999999995246,-251.00000000000477,-65.00000000000395,147.99999999999258,-52.99999999999727,-197.9999999999933,-185.00000000000227,-5.999999999994898,-26.999999999999247,,-699.9999999999983
2018.02.05,104.00000000000409,82.00000000000429,120.99999999999334,-78.00000000000028,-51.99999999999649,15.000000000000568,34.000000000000696,-127.00000000000955,153.9999999999875,282.0000000000045,-58.9999999999975,-197.00000000000273,-216.00000000000819,0.999999999995449,-76.0000000000094,,-12.000000000033722
2018.02.05,136.99999999999824,121.00000000001555,173.99999999998528,-6.0000000000060005,65.00000000000395,-37.9999999999967,14.999999999998348,-211.00000000001273,92.00000000000318,171.00000000001003,-110.00000000001364,-185.99999999999284,-150.00000000000568,90.0000000000012,8.000000000008,,171.99999999999613
2018.02.05,187.9999999999993,212.00000000001216,235.99999999999176,146.99999999999713,168.00000000000148,-91.99999999999875,-14.000000000002899,-274.0000000000009,38.0000000000047,-62.99999999999084,-179.00000000000205,-108.99999999999466,-118.00000000000921,134.0000000000008,-49.99999999999449,,224.00000000001359
2018.02.05,95.00000000000064,48.000000000003595,140.99999999999113,56.0000000000005,43.999999999999595,-128.0000000000001,-43.999999999999595,-347.0000000000084,-63.000000000013046,-62.99999999999084,-188.99999999999295,-152.00000000000102,-200.00000000000284,34.000000000000696,-110.99999999999443,,-879.000000000007
2018.02.05,138.00000000000477,114.99999999999844,194.99999999998963,192.99999999999872,155.00000000000514,-73.99999999999807,-62.000000000006494,-274.0000000000009,-99.00000000000463,-286.99999999999284,-129.0000000000191,1.0000000000047748,-79.9999999999983,109.00000000000354,-134.00000000001188,,-233.00000000002723
2018.02.05,114.00000000000298,68.00000000000139,180.99999999998673,136.99999999999824,31.000000000003247,-63.99999999999295,-69.00000000000794,-276.00000000001046,-131.99999999999878,-215.99999999999397,-100.99999999999909,-30.9999999999917,-186.9999999999976,-29.999999999996696,-239.99999999999577,,-814.9999999999924
2018.02.05,199.00000000000472,178.00000000001148,267.99999999997937,109.99999999999899,65.00000000000395,-37.9999999999967,-16.0000000000049,-259.00000000001455,-25.999999999992696,-21.999999999988695,-98.00000000001319,-118.99999999999977,-206.00000000000307,-5.999999999994898,-156.00000000000057,,-126.00000000001053
2018.02.05,238.0000000000049,221.00000000000452,285.99999999998624,187.00000000000384,143.00000000000423,34.000000000006025,3.999999999992898,-182.99999999999272,-1.0000000000065512,-137.9999999999937,-51.00000000001614,-18.999999999991246,-106.00000000000875,75.00000000000284,-150.00000000000568,,539.999999999991
2018.02.05,143.00000000000423,117.00000000001154,202.9999999999976,146.00000000000168,58.000000000002494,-12.999999999991019,-31.000000000003247,-199.00000000001228,-39.999999999995595,-174.00000000000747,-57.00000000001637,-9.999999999990905,-147.00000000000557,19.999999999997797,-212.99999999999653,,-197.00000000000358
2018.02.05,190.99999999999673,179.00000000001802,243.99999999999977,187.00000000000384,155.00000000000514,35.0000000000108,-21.00000000000435,-145.99999999998658,-15.999999999993797,-191.99999999999218,-28.999999999996362,25.000000000005684,-49.000000000006594,111.00000000000554,-126.0000000000039,,548.000000000062
2018.02.05,168.00000000000148,153.00000000000313,246.99999999999721,153.99999999999858,150.00000000000568,61.99999999999761,-28.000000000005798,-103.00000000000864,-32.999999999994145,-153.9999999999875,38.99999999998727,31.999999999996476,-19.99999999999602,112.000000000001,-95.00000000000064,,683.9999999999958
2018.02.05,177.00000000000495,165.00000000001512,229.99999999999687,217.0000000000005,159.00000000000912,118.00000000000921,-12.000000000000899,-32.00000000001069,7.999999999985796,-275.9999999999874,72.00000000000273,132.000000000005,18.999999999991246,134.0000000000008,-163.00000000000205,,948.0000000000207
2018.02.05,222.99999999999542,213.00000000001873,259.9999999999936,253.0000000000032,199.00000000000472,91.99999999999875,2.999999999997449,-88.99999999999864,9.999999999998899,-299.99999999998914,7.999999999981355,109.99999999999943,9.000000000000341,156.99999999999602,-151.9999999999966,,996.0000000000039
2018.02.05,178.99999999999582,163.00000000000205,183.99999999998417,217.0000000000005,170.99999999999892,75.00000000000284,-8.000000000008,-100.99999999999909,-4.000000000004,-285.00000000000193,-34.99999999999659,96.00000000000364,1.9999999999953388,149.99999999999457,-146.00000000000168,,657.9999999999665
2018.02.05,160.00000000000458,49.00000000001015,184.99999999999073,185.99999999999727,153.99999999999858,76.99999999999818,-15.00000000000945,-187.99999999998818,-124.99999999999733,-358.9999999999982,-4.000000000019099,82.99999999999841,3.0000000000001137,139.00000000000023,-127.99999999999478,,216.9999999999913
