,names,week,needed_features,accuracy
0,USDCHF,10,['USDJPY'],80.0
1,GBPUSD,10,['USDJPY'],80.0
2,EURUSD,10,['USDJPY'],80.0
3,USDCAD,50,"['AUDCHF', 'EURAUD', 'EURCHF', 'USDJPY']",80.0
4,AUDUSD,15,['EURNZD'],80.0
5,NZDUSD,10,"['EURGBP', 'EURCAD']",100.0
6,GBPCHF,10,['USDCHF'],80.0
7,CADCHF,30,"['AUDJPY', 'NZDCHF', 'EURCAD']",100.0
8,GBPJPY,10,['USDJPY'],80.0
9,GBPCAD,15,"['AUDJPY', 'EURCHF', 'NZDCHF']",80.0
10,EURNZD,10,"['AUDCHF', 'EURAUD', 'EURNZD']",80.0
11,NZDJPY,10,"['EURNZD', 'EURGBP', 'USDCAD', 'CADJPY', 'EURCAD']",80.0
12,AUDCAD,15,['EURNZD'],80.0
13,NZDCAD,20,['EURCHF'],80.0
