date,USDCHF,GBPUSD,USDJPY,USDCAD,NZDUSD,EURCHF,CADCHF,AUDCHF,NZDCHF,GBPAUD,EURCAD,EURAUD,EURNZD,CADJPY,NZDCAD,AUDNZD,empty,sum
2017.02.06,85.00000000000173,-14.000000000002899,-137.00000000000045,14.000000000002899,87.00000000000374,82.99999999998863,-56.0000000000005,-165.9999999999995,-140.99999999999113,0.0,63.99999999999739,51.000000000001044,-99.00000000000463,-73.0000000000075,190.00000000000128,116.00000000000499,,3.9999999999951257
2017.02.06,133.00000000000534,-78.00000000000028,-186.9999999999976,29.999999999996696,21.00000000000435,79.99999999999119,-93.99999999999409,-130.0000000000079,-125.99999999999278,34.000000000000696,27.999999999983594,8.999999999992347,25.999999999992696,-103.00000000000864,108.99999999999244,160.00000000000458,,-88.00000000003743
2017.02.06,117.00000000000044,-7.0000000000014495,-174.99999999999716,-65.00000000000395,102.99999999999754,37.99999999998249,-166.99999999999494,-96.00000000000719,-190.00000000000128,201.00000000000674,-100.0000000000112,-49.99999999999449,-140.99999999999113,-191.0000000000025,151.9999999999966,29.00000000001235,,-542.000000000009
2017.02.06,147.00000000000824,-12.999999999996348,-257.99999999999557,-53.999999999998494,78.99999999999574,76.99999999999375,-178.99999999999582,-126.99999999999933,-184.99999999999073,161.99999999999548,-87.00000000001484,-31.000000000003247,-95.00000000000064,-240.0000000000091,129.9999999999968,75.00000000000284,,-599.0000000000114
2017.02.06,136.99999999999824,53.999999999998494,-159.00000000000603,-14.999999999987246,95.99999999999609,65.99999999998829,-147.99999999999258,-121.99999999999989,-182.99999999999983,198.00000000000927,-41.000000000002146,5.999999999994898,-123.00000000000644,-141.00000000000534,168.00000000000148,62.000000000006494,,-145.00000000000625
2017.02.06,101.00000000000664,79.99999999999119,75.00000000000284,-41.99999999998649,141.99999999999767,41.99999999998649,-139.99999999999568,-41.9999999999976,-217.0000000000005,402.9999999999978,-53.00000000001415,-157.99999999999147,-190.00000000000128,19.99999999999602,226.99999999999943,-82.00000000000429,,165.99999999998653
2017.02.06,109.99999999999899,51.000000000001044,31.00000000000591,-89.00000000000574,187.00000000000384,57.99999999998029,-173.00000000000094,-92.99999999999864,-266.999999999995,272.00000000000557,-97.00000000001374,-79.00000000000685,-272.99999999998994,-46.00000000000648,245.99999999999068,-79.99999999999119,,-242.00000000002223
2017.02.06,141.00000000000225,68.99999999998573,-49.000000000006594,-11.999999999989797,143.00000000000423,47.99999999998139,-152.99999999999204,-36.0000000000027,-243.99999999999977,468.00000000000176,-69.00000000000794,-174.99999999999181,-238.99999999998923,-57.00000000000216,239.99999999999577,-129.00000000000134,,-54.00000000001231
2017.02.06,148.0000000000037,55.000000000005045,-40.99999999999682,-42.999999999993044,149.99999999999457,55.99999999998939,-173.9999999999964,-43.00000000000415,-254.99999999999412,445.0000000000065,-100.0000000000112,-170.00000000000347,-252.99999999999213,-70.00000000000739,226.99999999999943,-129.00000000000134,,-197.00000000000145
2017.02.06,153.99999999999858,11.999999999989797,-84.00000000000318,-59.99999999999339,165.00000000000404,34.99999999998504,-188.9999999999947,-23.00000000000635,-274.9999999999919,439.0000000000116,-157.00000000000713,-177.00000000000495,-323.0000000000066,-115.99999999999966,236.99999999999832,-182.99999999999983,,-545.0000000000205
