date,EURUSD,EURCHF,EURNZD,empty,sum
2018.04.02,-23.00000000001745,-12.999999999996348,-114.99999999999844,,-151.00000000001222
2018.04.02,14.999999999987246,34.99999999998504,-76.0000000000094,,-26.000000000037105
2018.04.02,55.99999999998939,-163.00000000000205,-204.99999999998852,,-312.00000000000114
2018.04.02,19.999999999997797,-147.00000000000824,-275.000000000003,,-402.0000000000135
2018.04.02,51.99999999998539,-146.00000000000168,-293.0000000000099,,-387.00000000002615
2018.04.02,65.99999999998829,-134.99999999999625,-251.00000000000122,,-320.0000000000092
2018.04.02,10.999999999983245,-160.00000000000458,-296.0000000000074,,-445.0000000000287
2018.04.02,-25.00000000000835,-175.99999999999838,-354.9999999999942,,-556.0000000000009
2018.04.02,-74.0000000000185,-184.00000000000637,-520.0000000000093,,-778.0000000000342
2018.04.02,-72.0000000000054,-180.0000000000024,-536.0000000000032,,-788.0000000000109
2018.04.02,-32.0000000000098,-168.0000000000126,-506.9999999999908,,-707.0000000000132
2018.04.02,-41.000000000002146,-165.00000000001512,-492.9999999999879,,-699.0000000000052
2018.04.02,-13.000000000018552,-158.0000000000137,-432.9999999999945,,-604.0000000000267
2018.04.02,8.999999999992347,-158.0000000000137,-407.0000000000018,,-556.0000000000232
2018.04.02,17.000000000000348,-138.0000000000159,-455.99999999998977,,-577.0000000000053
2018.04.02,23.999999999979593,-155.00000000001623,-425.99999999999307,,-557.0000000000297
2018.04.02,37.99999999998249,-162.00000000001768,-398.9999999999938,,-523.000000000029
2018.04.02,20.999999999982144,-158.99999999999804,-384.9999999999909,,-523.0000000000068
2018.04.02,39.999999999995595,-161.00000000001114,-404.0000000000044,,-525.0000000000199
2018.04.02,-33.00000000001635,-205.00000000001074,-411.0000000000058,,-649.0000000000329
2018.04.02,-48.000000000003595,-178.99999999999582,-425.0000000000087,,-652.0000000000082
2018.04.02,-115.00000000002063,-162.00000000001768,-429.99999999999704,,-707.0000000000354
2018.04.02,-113.00000000000753,-153.00000000000313,-476.0000000000098,,-742.0000000000205
2018.04.02,-97.00000000001374,-131.00000000001444,-540.9999999999915,,-769.0000000000197
2018.04.02,-115.00000000002063,-133.00000000000534,-530.9999999999926,,-779.0000000000186
2018.04.02,-120.00000000000898,-141.00000000001333,-587.9999999999885,,-849.0000000000108
2018.04.02,-94.00000000001629,-143.00000000000423,-479.0000000000072,,-716.0000000000277
2018.04.02,-84.0000000000174,-146.00000000000168,-462.9999999999912,,-693.0000000000102
2018.04.02,-112.000000000001,-145.00000000001734,-425.0000000000087,,-682.0000000000271
2018.04.02,-219.00000000001364,-185.00000000001293,-526.0000000000042,,-930.0000000000308
2018.04.02,-206.00000000001728,-209.00000000001472,-619.9999999999983,,-1035.0000000000302
2018.04.02,-165.00000000001512,-219.00000000001364,-659.0000000000095,,-1043.0000000000382
2018.04.02,-116.00000000000499,-168.99999999999693,-529.0000000000017,,-814.0000000000036
2018.04.02,-21.00000000000435,-89.00000000000574,-585.9999999999976,,-696.0000000000077
2018.04.02,-90.00000000001229,-148.99999999999915,-514.9999999999987,,-754.0000000000102
2018.04.02,72.99999999998974,-160.00000000000458,-418.9999999999916,,-506.0000000000064
2018.04.02,161.99999999999548,-90.99999999999665,-339.0000000000004,,-268.0000000000016
2018.04.02,313.99999999999204,-62.000000000006494,-310.9999999999946,,-59.00000000000904
2018.04.02,282.9999999999888,-123.00000000000644,-371.99999999999454,,-212.00000000001216
2018.04.02,251.00000000000122,-139.00000000000023,-426.9999999999996,,-314.99999999999864
2018.04.02,280.9999999999979,-106.00000000000608,-411.0000000000058,,-236.00000000001398
2018.04.02,146.99999999998602,-75.00000000000284,-557.0000000000075,,-485.00000000002433
