date,EURUSD,EURCHF,EURNZD,empty,sum
2018.04.02,-24.000000000001798,-18.0000000000069,-140.0000000000068,,-182.0000000000155
2018.04.02,-33.00000000001635,-62.000000000006494,-130.0000000000079,,-225.00000000003075
2018.04.02,-24.000000000001798,-221.00000000000452,-296.0000000000074,,-541.0000000000136
2018.04.02,10.999999999983245,-190.00000000000128,-293.99999999999426,,-473.0000000000123
2018.04.02,-16.000000000016,-180.0000000000024,-306.9999999999906,,-503.000000000009
2018.04.02,35.999999999991594,-161.00000000001114,-337.99999999999386,,-463.0000000000134
2018.04.02,-2.0000000000131024,-188.00000000001037,-334.9999999999964,,-525.0000000000199
2018.04.02,-26.0000000000149,-188.00000000001037,-378.999999999996,,-593.0000000000213
2018.04.02,-79.00000000000685,-190.00000000000128,-584.9999999999911,,-853.9999999999993
2018.04.02,-89.00000000000574,-212.00000000001216,-587.0000000000042,,-888.000000000022
2018.04.02,-86.0000000000083,-187.00000000000384,-594.99999999999,,-868.0000000000022
2018.04.02,-48.000000000003595,-168.0000000000126,-546.000000000002,,-762.0000000000182
2018.04.02,-43.00000000001525,-171.00000000001003,-499.000000000005,,-713.0000000000302
2018.04.02,-17.000000000000348,-165.9999999999995,-452.00000000000796,,-635.0000000000077
2018.04.02,8.999999999992347,-158.99999999999804,-472.9999999999901,,-622.9999999999958
2018.04.02,14.999999999987246,-158.0000000000137,-465.0000000000043,,-608.0000000000308
2018.04.02,20.999999999982144,-171.00000000001003,-436.9999999999985,,-587.0000000000264
2018.04.02,20.999999999982144,-172.0000000000166,-455.99999999998977,,-607.0000000000242
2018.04.02,7.999999999985796,-182.99999999999983,-472.9999999999901,,-648.0000000000041
2018.04.02,-34.000000000000696,-208.00000000000819,-435.0000000000076,,-677.0000000000165
2018.04.02,-72.0000000000054,-233.00000000001654,-431.99999999998795,,-737.0000000000099
2018.04.02,-125.00000000001954,-182.0000000000155,-465.0000000000043,,-772.0000000000393
2018.04.02,-125.00000000001954,-172.0000000000166,-517.9999999999962,,-815.0000000000324
2018.04.02,-116.00000000000499,-168.99999999999693,-547.999999999993,,-832.9999999999949
2018.04.02,-131.99999999999878,-145.00000000001734,-577.0000000000052,,-854.0000000000214
2018.04.02,-130.0000000000079,-147.00000000000824,-607.0000000000019,,-884.0000000000181
2018.04.02,-121.00000000001555,-158.0000000000137,-585.9999999999976,,-865.0000000000268
2018.04.02,-96.00000000000719,-155.00000000001623,-489.0000000000061,,-740.0000000000296
2018.04.02,-137.00000000000932,-156.00000000000057,-482.00000000000466,,-775.0000000000146
2018.04.02,-229.00000000001253,-190.00000000000128,-543.0000000000045,,-962.0000000000184
2018.04.02,-258.0000000000027,-229.99999999999687,-632.9999999999947,,-1120.999999999994
2018.04.02,-206.00000000001728,-226.00000000001506,-682.0000000000048,,-1114.000000000037
2018.04.02,-181.00000000000892,-221.00000000000452,-679.9999999999917,,-1082.000000000005
2018.04.02,-136.00000000000279,-171.00000000001003,-618.9999999999918,,-926.0000000000047
2018.04.02,-120.00000000000898,-157.00000000000713,-652.9999999999925,,-930.0000000000086
2018.04.02,-150.00000000000568,-204.00000000000418,-558.9999999999984,,-913.0000000000083
2018.04.02,72.99999999998974,-161.00000000001114,-434.000000000001,,-522.0000000000224
2018.04.02,147.99999999999258,-97.00000000001374,-411.99999999999017,,-361.0000000000113
2018.04.02,249.99999999999466,-141.00000000001333,-434.000000000001,,-325.00000000001967
2018.04.02,245.99999999999068,-141.00000000001333,-442.9999999999934,,-338.00000000001603
2018.04.02,251.00000000000122,-148.99999999999915,-469.99999999999267,,-367.99999999999056
2018.04.02,145.99999999997948,-121.99999999999989,-570.0000000000039,,-546.0000000000243
2018.04.02,120.99999999999334,-87.99999999999919,-625.9999999999932,,-592.9999999999991
2018.04.02,146.99999999998602,-50.0000000000167,-618.9999999999918,,-522.0000000000225
