date,EURUSD,USDJPY,USDCAD,AUDUSD,NZDUSD,CHFJPY,AUDCHF,NZDCHF,GBPAUD,EURJPY,EURAUD,EURNZD,AUDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2016.06.20,-56.99999999999594,0.0,0.0,-487.99999999999955,-71.99999999999429,-78.00000000000296,-71.99999999999429,-211.00000000000563,-85.00000000000173,-1321.0000000000123,-47.00000000001925,-160.99999999998892,-936.9999999999976,-98.99999999999353,-103.00000000000864,-5.000000000010552,,-3736.0000000000255
2016.06.20,26.999999999999247,581.0000000000031,438.9999999999894,-419.9999999999982,-66.99999999999484,9.999999999990905,-97.9999999999981,-312.00000000000114,-43.999999999999595,-1256.0000000000002,-12.000000000012001,-214.99999999998744,-890.0000000000006,-17.999999999995797,-30.000000000007798,-12.999999999996348,,-2318.0000000000095
2016.06.20,90.00000000001229,388.9999999999958,297.9999999999983,-400.00000000000034,-26.999999999999247,107.99999999998988,-129.00000000000134,-307.99999999999716,-43.999999999999595,-1256.0000000000002,-312.00000000000114,-113.99999999999189,-902.9999999999916,12.000000000000899,-163.00000000000205,-32.0000000000098,,-2790.9999999999973
2016.06.20,73.00000000001194,447.00000000000273,343.00000000000443,-365.0000000000042,-162.99999999999093,-59.00000000001171,23.00000000000635,-341.0000000000024,320.00000000000915,-1307.0000000000023,-355.0000000000164,-344.99999999999534,-876.9999999999953,60.99999999999994,-38.0000000000047,88.99999999998354,,-2494.000000000005
2016.06.20,-42.999999999993044,307.00000000000216,336.00000000000296,-387.99999999999943,-169.99999999999238,-64.00000000000716,33.000000000005244,-319.0000000000026,466.9999999999952,-1350.999999999999,-584.0000000000067,-285.00000000000193,-876.9999999999953,14.000000000002899,110.99999999999443,143.00000000000423,,-2669.999999999991
2016.06.20,-265.99999999998846,360.99999999999,316.0000000000052,-458.9999999999983,-195.9999999999962,-215.0000000000034,80.99999999999774,-235.00000000000742,784.0000000000069,-1549.0000000000066,-572.0000000000169,-83.9999999999952,-932.0000000000022,-37.99999999999359,117.99999999999588,112.99999999998533,,-2773.000000000027
2016.06.20,-251.99999999998556,432.00000000000216,323.0000000000066,-474.00000000000773,-230.99999999999233,-365.99999999999966,124.00000000000189,-229.00000000000142,1063.0000000000139,-1588.0000000000082,-447.0000000000196,-104.99999999999955,-953.000000000003,-125.99999999999278,228.99999999999034,102.99999999998644,,-2497.0000000000086
2016.06.20,-259.9999999999936,542.9999999999922,363.0000000000022,-548.9999999999995,-250.9999999999901,-441.0000000000025,73.00000000000084,-194.0000000000053,1134.0000000000127,-1673.0000000000018,-366.0000000000219,-72.99999999998974,-1096.0000000000036,-205.99999999999508,221.99999999999997,8.999999999992347,,-2765.0000000000027
2016.06.20,-244.9999999999841,567.9999999999978,431.99999999998795,-506.0000000000064,-212.00000000000108,-418.00000000000637,114.99999999999844,-190.00000000000128,1287.000000000016,-1629.000000000005,-356.00000000000074,-41.000000000002146,-1013.9999999999958,-106.99999999999044,194.99999999998963,34.000000000000696,,-2087.0000000000027
2016.06.20,-230.9999999999812,479.99999999998977,461.0000000000003,-465.9999999999998,-281.99999999999335,-352.00000000000387,156.00000000000057,-236.99999999999832,1336.0000000000039,-1588.0000000000082,-478.0000000000006,-180.99999999998673,-932.0000000000022,-33.9999999999896,210.99999999999451,182.99999999999983,,-1953.9999999999752
2016.06.20,-259.9999999999936,426.9999999999925,496.00000000000756,-522.0000000000002,-348.9999999999993,-234.99999999999943,109.99999999999899,-297.00000000000284,1270.0000000000155,-1462.0000000000032,-344.00000000001097,-258.99999999998704,-906.9999999999965,-69.9999999999923,296.9999999999917,236.99999999999832,,-1867.9999999999807
2016.06.20,-302.0000000000023,479.99999999998977,492.9999999999879,-567.0000000000064,-407.99999999999727,-298.0000000000018,58.99999999999794,-358.0000000000028,1388.0000000000114,-1536.0000000000014,-288.0000000000216,-386.9999999999818,-962.0000000000033,-150.99999999999002,412.9999999999967,302.9999999999866,,-2121.000000000038
2016.06.20,-353.99999999998766,429.9999999999926,509.00000000000387,-541.0000000000026,-366.9999999999951,-322.00000000000273,126.0000000000039,-285.00000000000193,1451.0000000000023,-1556.0000000000116,-366.0000000000219,-241.99999999998667,-926.0000000000019,-111.99999999998988,415.99999999999415,310.9999999999946,,-1828.000000000011
2016.06.20,-466.9999999999952,391.9999999999959,509.99999999998823,-586.0000000000088,-434.9999999999965,-291.000000000011,100.99999999999554,-328.0000000000061,1439.0000000000125,-1621.0000000000093,-401.00000000000693,-248.99999999998812,-965.0000000000034,-154.99999999999403,435.9999999999919,319.999999999987,,-2300.000000000049
2016.06.20,-449.9999999999948,445.99999999999795,523.9999999999911,-579.0000000000073,-437.999999999994,-299.0000000000066,82.99999999999974,-343.00000000000443,1445.0000000000073,-1649.000000000001,-408.00000000000836,-200.99999999998454,-972.999999999999,-145.9999999999906,483.99999999999557,322.00000000000006,,-2181.9999999999986
2016.06.20,-512.9999999999857,471.9999999999942,560.0000000000049,-624.0000000000023,-511.9999999999902,-368.9999999999998,67.00000000000594,-395.0000000000009,1246.0000000000139,-1772.0000000000055,-457.00000000001853,-286.99999999999284,-1049.9999999999973,-175.99999999999838,464.9999999999932,347.9999999999928,,-2996.9999999999864
2016.06.20,-474.999999999981,527.000000000001,547.999999999993,-639.0000000000007,-544.0,-364.0000000000043,16.0000000000049,-468.00000000000176,1105.0000000000005,-1743.000000000009,-394.00000000000546,-512.9999999999857,-1072.0000000000027,-212.99999999999653,525.9999999999932,336.9999999999873,,-3366.000000000007
2016.06.20,-402.9999999999978,510.9999999999957,523.9999999999911,-645.0000000000067,-528.9999999999906,-312.0000000000118,9.999999999998899,-453.0000000000034,931.0000000000151,-1644.0000000000055,-236.00000000001398,-543.999999999989,-1069.0000000000027,-203.99999999999307,520.9999999999936,353.0000000000033,,-3189.0000000000173
2016.06.20,-281.99999999998226,479.99999999998977,431.99999999998795,-590.0000000000016,-483.0000000000001,-364.0000000000043,39.999999999995595,-436.9999999999985,907.9999999999977,-1591.9999999999986,-193.00000000002092,-593.9999999999834,-1075.9999999999934,-169.99999999999238,529.9999999999972,383.0,,-3008.0000000000077
2016.06.20,-177.99999999998929,546.999999999997,411.0000000000058,-538.0000000000051,-439.0000000000005,-370.00000000000455,68.99999999999685,-414.00000000000324,1217.0000000000014,-1560.0000000000023,-127.00000000001043,-699.9999999999895,-1060.0000000000023,-164.99999999999292,491.99999999999244,392.9999999999989,,-2422.0000000000073
