date,GBPUSD,USDCAD,AUDUSD,NZDUSD,GBPCHF,EURCHF,CHFJPY,AUDCHF,NZDCHF,GBPCAD,GBPAUD,EURJPY,EURAUD,AUDJPY,NZDJPY,AUDCAD,NZDCAD,AUDNZD,empty,sum
2020.06.08,143.00000000000423,-28.999999999990145,46.999999999997044,80.00000000000229,178.00000000001148,130.0000000000079,16.999999999995907,0.999999999995449,13.00000000000745,-207.00000000000162,-144.0000000000108,39.00000000000148,-117.99999999999588,51.9999999999925,85.00000000000796,43.999999999999595,142.00000000000878,-39.999999999995595,,433.0000000000381
2020.06.08,180.0000000000024,23.00000000001745,60.99999999999994,113.00000000000753,93.00000000000975,96.00000000000719,14.000000000010004,70.99999999999883,130.0000000000079,-89.99999999999008,-67.00000000001705,28.000000000005798,65.00000000000395,81.99999999999363,102.00000000000387,66.99999999999484,131.00000000000333,-16.999999999978144,,1082.0000000000812
2020.06.08,262.00000000000665,95.00000000000064,230.99999999999233,235.00000000000742,177.00000000000495,164.00000000000858,111.0000000000042,238.0000000000049,260.00000000000466,-154.99999999999403,210.99999999998343,186.00000000000705,259.9999999999936,323.99999999999807,298.0000000000018,229.00000000000142,262.00000000000665,23.00000000001745,,3411.0000000000496
2020.06.08,272.00000000000557,0.0,224.000000000002,156.00000000000057,171.99999999999437,143.00000000000423,25.99999999999625,231.0000000000034,184.00000000000637,-259.9999999999936,158.99999999999804,58.000000000006935,270.99999999999903,254.0000000000049,171.00000000000648,275.000000000003,214.99999999999852,154.0000000000097,,2705.000000000046
2020.06.08,462.0000000000068,70.0000000000145,307.99999999999716,226.00000000000398,343.00000000000443,229.00000000001253,97.99999999999898,297.9999999999983,247.00000000000833,-434.000000000001,112.99999999998533,243.99999999999977,313.00000000000773,388.00000000000523,278.0000000000058,343.9999999999999,269.00000000000813,162.00000000001768,,3958.0000000000737
2020.06.08,496.00000000000756,136.00000000000279,364.9999999999931,297.00000000000284,367.0000000000062,266.999999999995,85.00000000000796,356.9999999999962,308.00000000000824,-404.9999999999887,200.99999999998454,263.00000000000523,384.00000000000654,435.0000000000023,344.0000000000083,378.00000000000057,321.0000000000046,130.0000000000079,,4729.000000000051
2020.06.08,460.000000000016,39.00000000001125,264.999999999993,228.00000000000597,377.0000000000051,253.99999999999866,-33.999999999991815,275.000000000003,260.00000000000466,-488.9999999999839,-28.000000000005798,125.0,209.9999999999991,266.9999999999959,210.99999999999852,314.0000000000032,291.0000000000079,97.00000000001374,,3122.0000000000746
2020.06.08,348.9999999999993,-29.999999999996696,200.00000000000017,134.0000000000008,340.00000000000693,185.00000000001293,-174.99999999999716,254.99999999999412,202.0000000000022,-424.99999999998647,-35.00000000000725,-115.99999999999966,263.99999999999756,140.99999999999113,57.00000000000216,270.99999999999903,209.9999999999991,141.00000000001333,,1968.000000000032
2020.06.08,365.99999999999966,-150.99999999999002,164.99999999999292,187.9999999999993,387.000000000004,168.99999999999693,-236.99999999999477,231.0000000000034,268.0000000000016,-592.9999999999991,-121.00000000001555,-200.9999999999934,245.99999999999068,79.9999999999983,97.99999999999898,307.99999999999716,360.0000000000048,2.0000000000131024,,1565.000000000008
2020.06.08,276.00000000000955,-161.99999999999548,95.00000000000064,167.00000000000603,286.99999999999284,154.99999999999403,-195.99999999999795,160.00000000000458,241.00000000000233,-492.0000000000035,-209.00000000001472,-176.9999999999925,76.99999999999375,18.000000000000682,87.0000000000033,217.0000000000005,331.999999999999,-54.99999999998284,,821.0000000000202
2020.06.08,363.0000000000022,-119.00000000000244,195.00000000000074,226.99999999999943,354.0000000000099,170.00000000000347,-153.99999999999636,249.99999999999466,297.00000000000284,-553.0000000000035,-70.99999999999883,-109.99999999999943,269.00000000000813,152.00000000000102,180.99999999999739,325.99999999999295,390.0000000000015,-10.999999999983245,,2156.0000000000305
2020.06.08,297.0000000000139,-137.9999999999937,96.99999999999153,146.00000000000168,326.0000000000041,137.9999999999937,-121.99999999999989,171.99999999999437,236.00000000000287,-490.999999999997,-215.00000000000963,-114.99999999999488,140.99999999999113,87.0000000000033,129.0000000000049,203.99999999999307,297.9999999999983,-31.999999999987594,,1158.0000000000102
2020.06.08,331.999999999999,-124.99999999999733,86.99999999999264,159.00000000000912,313.99999999999204,144.0000000000108,-162.9999999999967,138.00000000000477,226.00000000000398,-522.0000000000002,-292.00000000000335,-144.99999999999602,49.00000000001015,21.000000000000796,91.99999999999875,185.00000000000182,304.00000000000426,-68.99999999998573,,735.0000000000487
2020.06.08,351.0000000000124,-116.99999999998934,100.00000000000009,173.00000000000094,418.0000000000073,178.99999999999582,-198.99999999999807,197.00000000000273,285.00000000000193,-531.9999999999991,-303.0000000000088,-144.99999999999602,131.99999999999878,66.0000000000025,138.00000000000523,195.00000000000074,317.0000000000006,-74.99999999998064,,1180.0000000000568
2020.06.08,397.0000000000029,-146.99999999998602,68.00000000000139,139.00000000000023,453.99999999999886,168.99999999999693,-262.999999999991,165.9999999999995,248.00000000000378,-636.9999999999986,-443.0000000000156,-224.99999999999432,65.00000000000395,-19.000000000005457,52.00000000000671,175.99999999999838,289.0000000000059,-67.9999999999792,,421.0000000000484
2020.06.08,407.0000000000018,-161.99999999999548,63.00000000000195,119.00000000000244,476.0000000000098,165.9999999999995,-262.00000000000045,163.00000000000205,234.00000000000088,-668.0000000000019,-469.0000000000083,-230.99999999999454,63.99999999999739,-21.000000000000796,39.00000000000148,170.99999999999892,275.000000000003,-47.99999999998139,,316.0000000000363
