date,USDJPY,EURCHF,GBPCAD,EURJPY,AUDJPY,NZDJPY,empty,sum
2016.05.02,-87.0000000000033,-5.000000000010552,-226.00000000001506,-128.0000000000001,-91.99999999999875,-81.00000000000307,,-619.0000000000308
2016.05.02,-134.00000000000034,25.999999999992696,-229.99999999999687,-194.00000000000261,-218.00000000000352,-161.99999999999193,,-912.0000000000026
2016.05.02,-495.00000000000455,95.999999999985,-126.0000000000039,-593.9999999999941,-539.0000000000015,-481.9999999999993,,-2140.000000000018
2016.05.02,-498.00000000000466,140.99999999999113,9.999999999998899,-564.0000000000072,-508.0000000000098,-468.0000000000035,,-1887.000000000035
2016.05.02,-462.0000000000033,134.99999999999625,11.999999999989797,-489.0000000000043,-515.0000000000006,-463.99999999999864,,-1783.000000000021
2016.05.02,-274.0000000000009,143.00000000000423,11.999999999989797,-355.000000000004,-420.0000000000017,-436.9999999999976,,-1331.00000000001
2016.05.02,-304.00000000000205,139.9999999999846,-7.0000000000014495,-402.000000000001,-442.99999999999784,-486.0000000000042,,-1502.0000000000218
2016.05.02,-257.000000000005,187.00000000000384,22.999999999995246,-460.00000000000796,-418.99999999999693,-600.9999999999991,,-1527.00000000001
2016.05.02,-391.9999999999959,194.0000000000053,0.0,-570.999999999998,-481.9999999999993,-618.9999999999998,,-1869.9999999999877
2016.05.02,-335.9999999999985,207.00000000000162,25.999999999992696,-507.99999999999557,-427.99999999999727,-560.0000000000023,,-1598.9999999999993
2016.05.02,-299.0000000000066,219.99999999999798,45.99999999999049,-510.0000000000051,-420.0000000000017,-536.9999999999919,,-1500.0000000000168
2016.05.02,-313.0000000000024,217.99999999998488,15.999999999993797,-465.999999999994,-415.00000000000625,-527.9999999999916,,-1488.0000000000155
2016.05.02,-429.00000000000205,221.00000000000452,-17.000000000000348,-567.9999999999978,-436.9999999999976,-515.9999999999911,,-1745.9999999999843
