date,EURCHF,AUDCAD,empty,sum
2019.10.28,-66.00000000001049,-45.000000000006146,,-111.00000000001663
2019.10.28,-63.99999999999739,-32.0000000000098,,-96.00000000000719
2019.10.28,-60.99999999999994,-32.0000000000098,,-93.00000000000975
2019.10.28,-76.0000000000094,-59.000000000009045,,-135.00000000001845
2019.10.28,-79.99999999999119,-48.000000000003595,,-127.99999999999478
2019.10.28,-87.99999999999919,-80.00000000000229,,-168.00000000000148
2019.10.28,-96.99999999999153,-95.00000000000064,,-191.99999999999216
2019.10.28,-113.99999999999189,-49.00000000001015,,-163.00000000000205
2019.10.28,-165.9999999999995,-47.00000000000814,,-213.00000000000762
2019.10.28,-165.9999999999995,-33.000000000005244,,-199.00000000000472
2019.10.28,-188.9999999999947,-51.000000000001044,,-239.99999999999577
2019.10.28,-181.00000000000892,-20.0000000000089,,-201.00000000001782
2019.10.28,-201.99999999999108,-15.00000000000945,,-217.0000000000005
2019.10.28,-225.00000000000853,-15.00000000000945,,-240.00000000001796
2019.10.28,-222.00000000001108,-34.000000000000696,,-256.00000000001177
2019.10.28,-238.0000000000049,-46.00000000000159,,-284.0000000000065
2019.10.28,-242.00000000000887,-64.0000000000085,,-306.0000000000174
2019.10.28,-231.0000000000034,-45.000000000006146,,-276.00000000000955
2019.10.28,-211.00000000000563,-45.000000000006146,,-256.00000000001177
2019.10.28,-212.99999999999653,-86.0000000000083,,-299.00000000000483
2019.10.28,-266.0000000000107,-123.00000000000644,,-389.0000000000171
2019.10.28,-231.0000000000034,-141.00000000000225,,-372.0000000000057
2019.10.28,-224.000000000002,-161.00000000000003,,-385.00000000000205
2019.10.28,-310.9999999999946,-145.00000000000622,,-456.0000000000008
2019.10.28,-293.0000000000099,-117.00000000000044,,-410.00000000001035
2019.10.28,-266.999999999995,-100.00000000000009,,-366.9999999999951
2019.10.28,-337.0000000000095,-99.00000000000463,,-436.0000000000141
2019.10.28,-367.99999999999056,-104.99999999999955,,-472.9999999999901
2019.10.28,-323.0000000000066,-142.00000000000878,,-465.00000000001535
2019.10.28,-415.99999999999415,-140.0000000000068,,-556.0000000000009
2019.10.28,-354.0000000000099,-116.00000000000499,,-470.0000000000149
2019.10.28,-428.9999999999905,-73.00000000000084,,-501.99999999999136
2019.10.28,-394.00000000000546,-104.00000000000409,,-498.00000000000955
2019.10.28,-313.00000000000773,-99.00000000000463,,-412.0000000000124
2019.10.28,-303.0000000000088,-121.99999999999989,,-425.0000000000087
2019.10.28,-334.9999999999964,-259.0000000000092,,-594.0000000000057
2019.10.28,-350.00000000000585,-269.00000000000813,,-619.000000000014
2019.10.28,-300.99999999999574,-215.00000000000963,,-516.0000000000053
2019.10.28,-316.0000000000052,-271.0000000000101,,-587.0000000000152
2019.10.28,-320.9999999999935,-276.00000000000955,,-597.0000000000031
2019.10.28,-296.0000000000074,-270.0000000000036,,-566.0000000000109
2019.10.28,-270.99999999999903,-226.99999999999943,,-497.99999999999847
2019.10.28,-268.0000000000016,-236.00000000000287,,-504.00000000000443
2019.10.28,-275.000000000003,-223.00000000000654,,-498.00000000000955
2019.10.28,-269.00000000000813,-226.99999999999943,,-496.00000000000756
2019.10.28,-259.0000000000092,-207.00000000000162,,-466.0000000000108
2019.10.28,-256.99999999999613,-204.00000000000418,,-461.00000000000034
2019.10.28,-273.0000000000121,-202.0000000000022,,-475.0000000000143
2019.10.29,-276.00000000000955,-198.00000000000927,,-474.0000000000188
2019.10.29,-259.0000000000092,-190.00000000000128,,-449.00000000001046
2019.10.29,-255.00000000000523,-203.00000000000873,,-458.000000000014
2019.10.29,-263.99999999999756,-223.00000000000654,,-487.0000000000041
2019.10.29,-273.9999999999965,-250.00000000000577,,-524.0000000000023
2019.10.29,-263.99999999999756,-254.00000000000978,,-518.0000000000073
2019.10.29,-242.99999999999324,-265.99999999999955,,-508.9999999999928
2019.10.29,-252.99999999999213,-269.00000000000813,,-522.0000000000002
2019.10.29,-266.999999999995,-343.00000000000443,,-609.9999999999994
2019.10.29,-255.00000000000523,-332.00000000001006,,-587.0000000000152
2019.10.29,-239.00000000001143,-318.00000000000716,,-557.0000000000186
2019.10.29,-241.00000000000233,-342.000000000009,,-583.0000000000114
2019.10.29,-218.00000000000708,-350.00000000000585,,-568.000000000013
2019.10.29,-218.99999999999142,-384.00000000000654,,-602.999999999998
2019.10.29,-204.00000000000418,-411.0000000000058,,-615.00000000001
2019.10.29,-201.00000000000674,-423.0000000000067,,-624.0000000000134
2019.10.29,-212.00000000001216,-475.0000000000032,,-687.0000000000153
2019.10.29,-185.99999999999727,-434.000000000001,,-619.9999999999983
2019.10.29,-212.99999999999653,-422.00000000000017,,-634.9999999999967
2019.10.29,-207.00000000000162,-440.00000000000705,,-647.0000000000086
2019.10.29,-245.0000000000063,-397.0000000000029,,-642.0000000000092
2019.10.29,-248.00000000000378,-364.00000000000875,,-612.0000000000125
2019.10.29,-239.99999999999577,-382.00000000000455,,-622.0000000000003
2019.10.29,-190.00000000000128,-387.99999999999943,,-578.0000000000007
2019.10.29,-153.00000000000313,-379.0000000000071,,-532.0000000000102
2019.10.29,-306.9999999999906,-355.0000000000053,,-661.9999999999959
2019.10.29,-302.0000000000023,-387.000000000004,,-689.0000000000063
2019.10.29,-178.00000000001148,-398.00000000000944,,-576.0000000000209
2019.10.29,-201.99999999999108,-380.00000000000256,,-581.9999999999936
2019.10.29,-253.99999999999866,-428.00000000000614,,-682.0000000000048
2019.10.29,-276.9999999999939,-460.00000000000483,,-736.9999999999987
2019.10.29,-256.00000000001177,-545.0000000000066,,-801.0000000000184
2019.10.29,-313.99999999999204,-547.0000000000086,,-861.0000000000007
