date,AUDJPY,empty,sum
2017.08.14,-19.99999999999602,,-19.99999999999602
2017.08.14,18.000000000000682,,18.000000000000682
2017.08.14,-73.99999999999807,,-73.99999999999807
2017.08.14,-27.999999999991587,,-27.999999999991587
2017.08.14,-131.00000000000023,,-131.00000000000023
2017.08.14,-268.0000000000007,,-268.0000000000007
2017.08.14,-460.9999999999985,,-460.9999999999985
2017.08.14,-444.9999999999932,,-444.9999999999932
2017.08.14,-488.9999999999901,,-488.9999999999901
2017.08.14,-471.9999999999942,,-471.9999999999942
2017.08.14,-344.99999999999886,,-344.99999999999886
2017.08.14,-364.9999999999949,,-364.9999999999949
2017.08.14,-423.0000000000018,,-423.0000000000018
2017.08.14,-521.0000000000008,,-521.0000000000008
2017.08.14,-459.99999999999375,,-459.99999999999375
2017.08.14,-347.999999999999,,-347.999999999999
2017.08.14,-347.999999999999,,-347.999999999999
2017.08.14,-358.99999999999466,,-358.99999999999466
2017.08.14,-316.99999999999307,,-316.99999999999307
2017.08.14,-364.9999999999949,,-364.9999999999949
2017.08.14,-340.0000000000034,,-340.0000000000034
2017.08.14,-388.9999999999958,,-388.9999999999958
2017.08.14,-334.99999999999375,,-334.99999999999375
2017.08.14,-280.9999999999917,,-280.9999999999917
2017.08.14,-251.99999999999534,,-251.99999999999534
2017.08.14,-271.99999999999136,,-271.99999999999136
2017.08.14,-292.99999999999216,,-292.99999999999216
2017.08.14,-313.99999999999295,,-313.99999999999295
2017.08.14,-274.0000000000009,,-274.0000000000009
2017.08.14,-218.00000000000352,,-218.00000000000352
2017.08.14,-185.00000000000227,,-185.00000000000227
2017.08.14,-100.99999999999909,,-100.99999999999909
2017.08.14,-54.000000000002046,,-54.000000000002046
2017.08.14,-88.99999999999864,,-88.99999999999864
2017.08.14,-36.000000000001364,,-36.000000000001364
2017.08.14,-16.999999999995907,,-16.999999999995907
2017.08.14,-69.99999999999318,,-69.99999999999318
2017.08.14,5.000000000009663,,5.000000000009663
2017.08.14,-9.000000000000341,,-9.000000000000341
2017.08.14,37.00000000000614,,37.00000000000614
2017.08.14,22.00000000000557,,22.00000000000557
2017.08.14,-42.00000000000159,,-42.00000000000159
2017.08.14,-58.9999999999975,,-58.9999999999975
2017.08.14,-45.99999999999227,,-45.99999999999227
2017.08.14,-103.9999999999992,,-103.9999999999992
2017.08.14,-36.000000000001364,,-36.000000000001364
2017.08.14,-55.999999999997385,,-55.999999999997385
2017.08.14,-45.99999999999227,,-45.99999999999227
2017.08.15,6.000000000000227,,6.000000000000227
2017.08.15,27.000000000001023,,27.000000000001023
2017.08.15,-87.99999999999386,,-87.99999999999386
2017.08.15,-125.0,,-125.0
2017.08.15,-128.99999999999068,,-128.99999999999068
2017.08.15,-268.0000000000007,,-268.0000000000007
2017.08.15,-491.9999999999902,,-491.9999999999902
2017.08.15,-512.0000000000005,,-512.0000000000005
2017.08.15,-474.00000000000375,,-474.00000000000375
2017.08.15,-599.0000000000038,,-599.0000000000038
2017.08.15,-594.9999999999989,,-594.9999999999989
2017.08.15,-608.0000000000041,,-608.0000000000041
2017.08.15,-629.9999999999955,,-629.9999999999955
2017.08.15,-637.999999999991,,-637.999999999991
2017.08.15,-612.9999999999995,,-612.9999999999995
2017.08.15,-591.9999999999987,,-591.9999999999987
2017.08.15,-578.9999999999935,,-578.9999999999935
2017.08.15,-588.9999999999986,,-588.9999999999986
2017.08.15,-531.9999999999965,,-531.9999999999965
2017.08.15,-481.9999999999993,,-481.9999999999993
2017.08.15,-390.00000000000057,,-390.00000000000057
2017.08.15,-340.0000000000034,,-340.0000000000034
2017.08.15,-472.999999999999,,-472.999999999999
