date,NZDUSD,CADCHF,NZDCHF,GBPAUD,EURJPY,EURCAD,EURNZD,AUDCAD,NZDCAD,empty,sum
2015.12.14,-103.99999999999298,-12.000000000000899,0.0,0.0,-180.00000000000682,-1.0000000000065512,-69.9999999999923,0.0,-49.99999999999449,,-416.99999999999403
2015.12.14,-65.99999999999939,-18.0000000000069,39.999999999995595,-258.0000000000027,-240.0000000000091,-7.0000000000014495,-117.99999999999588,48.99999999999905,-14.000000000002899,,-632.0000000000236
2015.12.14,-61.999999999995396,-39.00000000000014,39.999999999995595,29.99999999997449,-361.99999999999477,-21.00000000000435,-99.99999999998899,139.99999999999568,-4.000000000004,,-378.0000000000218
2015.12.14,-152.99999999999204,-29.999999999996696,-60.00000000000449,393.99999999996106,-560.0000000000023,-12.000000000012001,-228.00000000000597,300.0000000000003,-156.99999999999602,,-506.00000000004815
2015.12.14,-139.00000000000023,-21.999999999999797,-14.000000000002899,474.9999999999588,-406.0000000000059,141.99999999999767,-112.000000000001,276.9999999999939,-148.0000000000037,,52.999999999936875
2015.12.14,-49.99999999999449,3.999999999992898,41.9999999999976,493.99999999999443,-445.99999999999795,148.99999999999915,-25.00000000000835,198.99999999999363,-107.00000000000153,,259.9999999999754
2015.12.14,-49.99999999999449,24.000000000001798,78.99999999999574,537.9999999999718,-453.00000000000296,181.9999999999933,73.99999999999629,185.99999999999727,-109.99999999999899,,469.99999999995987
2015.12.14,-39.999999999995595,-18.0000000000069,39.999999999995595,366.9999999999618,-395.00000000001023,136.99999999998712,25.999999999992696,151.00000000000114,-41.000000000002146,,226.9999999999235
2015.12.14,7.0000000000014495,-34.99999999999615,59.99999999999339,202.9999999999976,-435.0000000000023,112.99999999998533,76.0000000000094,144.99999999999514,12.999999999996348,,146.99999999998028
2015.12.14,18.0000000000069,-63.99999999999739,34.000000000000696,51.99999999998539,-399.0000000000009,42.999999999993044,4.000000000004,73.99999999999629,9.00000000000345,,-229.00000000000855
2015.12.14,-56.0000000000005,-89.00000000000574,-21.00000000000435,-221.00000000002672,-353.00000000000864,-99.00000000000463,-194.0000000000053,-19.00000000000235,-38.0000000000047,,-1090.000000000063
2015.12.14,-60.99999999999994,-163.99999999999747,-60.00000000000449,-487.99999999999955,-396.000000000015,-239.00000000001143,-313.99999999999204,-82.00000000000429,2.000000000002,,-1802.000000000022
2015.12.14,-42.999999999993044,-146.00000000000168,-40.00000000000669,-299.00000000000483,-360.99999999999,-175.00000000001404,-239.99999999999577,-21.999999999999797,0.0,,-1326.0000000000057
2015.12.14,-48.99999999999905,-153.99999999999858,-23.00000000000635,-335.00000000001864,-334.0000000000032,-217.0000000000005,-238.0000000000049,-16.0000000000049,45.000000000006146,,-1321.0000000000302
2015.12.14,-28.999999999990145,-136.99999999999824,19.999999999997797,-415.0000000000098,-332.9999999999984,-157.00000000000713,-89.99999999999008,-26.999999999999247,78.00000000000028,,-1089.999999999995
2015.12.14,-49.99999999999449,-165.00000000000404,-12.000000000000899,-439.0000000000338,-280.00000000000114,-198.00000000000927,-157.00000000000713,-17.999999999995797,58.99999999999794,,-1260.0000000000487
2015.12.14,-65.99999999999939,-173.00000000000094,-35.00000000000725,-337.0000000000317,-207.9999999999984,-192.00000000001438,-160.00000000000458,4.999999999999449,48.99999999999905,,-1117.000000000058
2015.12.14,-109.99999999999899,-173.00000000000094,-50.0000000000056,-770.0000000000263,-215.0000000000034,-234.00000000000088,-258.0000000000027,-150.00000000000568,11.00000000000545,,-1949.000000000039
2015.12.14,-111.99999999998988,-250.00000000000577,-95.00000000000064,-670.9999999999993,-236.99999999999477,-465.0000000000043,-390.0000000000015,-89.00000000000574,-2.999999999997449,,-2311.9999999999995
2015.12.14,-117.00000000000044,-246.00000000000176,-65.99999999999939,-901.0000000000407,-219.99999999999886,-456.00000000001194,-408.00000000000836,-43.999999999999595,78.99999999999574,,-2379.000000000065
2015.12.14,-167.9999999999904,-314.99999999999864,-160.00000000000458,-1058.0000000000034,-167.0000000000016,-477.0000000000163,-502.00000000000244,-50.0000000000056,24.000000000001798,,-2873.000000000021
2015.12.14,-224.9999999999974,-389.000000000006,-280.00000000000244,-1661.0000000000014,-322.00000000000273,-596.0000000000188,-805.9999999999956,-224.000000000002,-90.0000000000012,,-4593.000000000027
2015.12.14,-217.99999999999596,-265.0000000000041,-209.9999999999991,-1471.0,-418.00000000000637,-470.00000000001484,-753.9999999999881,-197.99999999999818,-82.00000000000429,,-4086.000000000011
2015.12.14,-235.99999999999176,-233.00000000000543,-236.00000000000287,-1310.0000000000111,-460.00000000000796,-372.00000000001677,-757.999999999992,-258.0000000000027,-166.99999999999494,,-4030.000000000026
2015.12.14,-272.99999999998994,-197.99999999999818,-204.99999999999963,-1209.0000000000157,-413.0000000000109,-304.9999999999997,-726.0000000000044,-221.00000000000452,-219.99999999999798,,-3770.0000000000214
2015.12.14,-334.9999999999964,-180.99999999999784,-252.0000000000078,-1178.0000000000346,-352.00000000000387,-329.00000000000153,-980.0000000000031,-180.0000000000024,-319.99999999999807,,-4107.0000000000455
2015.12.14,-502.9999999999979,-161.00000000000003,-330.0000000000081,-1546.000000000003,-372.0000000000141,-413.00000000001893,-1174.0000000000084,-377.0000000000051,-604.0000000000045,,-5480.000000000061
2015.12.14,-448.9999999999994,81.9999999999932,-230.000000000008,-1573.0000000000023,-402.00000000001523,140.99999999999113,-913.9999999999926,-307.0000000000017,-617.0000000000009,,-4269.000000000036
2015.12.14,-406.9999999999907,126.99999999999933,-190.00000000000128,-1585.0000000000364,-461.00000000001273,165.9999999999995,-872.0000000000061,-361.9999999999957,-661.0000000000005,,-4245.000000000044
2015.12.14,-400.00000000000034,251.99999999999667,-130.0000000000079,-1562.0000000000189,-598.0000000000132,306.9999999999906,-869.999999999993,-338.00000000000495,-639.9999999999961,,-3979.0000000000473
2015.12.14,-535.999999999992,168.00000000000148,-260.00000000000466,-2100.000000000035,-612.9999999999995,71.99999999998319,-1251.000000000002,-507.9999999999973,-814.0000000000036,,-5842.000000000049
2015.12.14,-630.9999999999927,-146.00000000000168,-360.0000000000048,-2450.0000000000186,-554.000000000002,-405.0000000000109,-1339.0000000000014,-434.9999999999965,-656.000000000001,,-6976.00000000003
2015.12.14,-611.9999999999903,-194.0000000000053,-360.0000000000048,-2335.0000000000205,-429.00000000000205,-438.00000000000506,-1222.9999999999964,-417.0000000000007,-531.0000000000036,,-6539.000000000029
2015.12.14,-600.0000000000006,-82.00000000000429,-390.0000000000015,-2324.0000000000373,-266.9999999999959,24.999999999986144,-1058.9999999999877,-487.99999999999955,-600.999999999996,,-5786.000000000036
2015.12.14,-616.9999999999898,-67.00000000000594,-360.0000000000048,-2699.000000000007,-260.9999999999957,68.99999999998573,-943.9999999999893,-844.0000000000003,-709.9999999999995,,-6433.0000000000055
2015.12.14,-774.9999999999924,98.99999999999353,-460.00000000000483,-2879.0000000000314,37.00000000000614,600.9999999999849,-1011.0000000000064,-873.999999999997,-939.9999999999964,,-6202.000000000045
2015.12.14,-698.9999999999941,207.00000000000162,-360.0000000000048,-2553.0000000000273,-158.99999999999181,885.9999999999868,-714.999999999999,-851.0000000000017,-1012.0000000000018,,-5256.000000000032
2015.12.14,-724.9999999999978,92.99999999999864,-470.00000000000375,-2882.000000000007,-162.00000000000614,727.9999999999953,-895.0000000000014,-834.0000000000014,-937.9999999999944,,-6085.000000000018
2015.12.14,-856.9999999999967,17.000000000000348,-660.000000000005,-3179.0000000000427,-156.0000000000059,671.9999999999837,-1184.0000000000073,-994.000000000006,-1102.9999999999984,,-7444.000000000077
2015.12.14,-835.9999999999923,-34.000000000000696,-650.0000000000061,-2877.0000000000186,-143.00000000000068,636.9999999999986,-1167.0000000000068,-950.0000000000064,-1078.9999999999966,,-7099.00000000003
2015.12.14,-749.9999999999951,-58.99999999999794,-650.0000000000061,-2663.0000000000377,-158.00000000001546,569.9999999999816,-1150.0000000000066,-858.0000000000032,-1002.0000000000028,,-6720.000000000083
2015.12.14,-729.9999999999973,-70.0000000000034,-620.0000000000094,-2544.0000000000127,-153.99999999999636,535.9999999999809,-1072.0000000000064,-770.9999999999994,-942.9999999999939,,-6368.000000000037
