date,USDCHF,EURUSD,USDJPY,USDCAD,AUDUSD,CHFJPY,NZDCHF,EURGBP,GBPCAD,GBPAUD,EURJPY,EURCAD,EURAUD,AUDCAD,NZDCAD,AUDNZD,empty,sum
2017.01.02,-101.00000000001774,-76.0000000000094,-18.000000000000682,-11.00000000000545,-96.00000000000719,-54.000000000002046,-58.99999999999794,-153.99999999999858,0.0,-103.99999999999298,-45.99999999999227,0.0,-101.00000000001774,-58.000000000002494,-119.99999999999788,-194.99999999998963,,-1193.000000000032
2017.01.02,-101.00000000001774,-92.00000000000318,-52.99999999999727,59.99999999999339,-45.000000000006146,9.999999999990905,-72.99999999998974,-199.00000000000472,11.999999999989797,-289.9999999999903,-203.99999999999352,87.99999999999919,-232.00000000000998,0.999999999995449,-119.00000000000244,-100.99999999999554,,-1338.0000000000418
2017.01.02,-97.00000000001374,-170.00000000000347,-114.99999999999488,39.00000000001125,-53.00000000000304,-105.00000000000398,-49.99999999999449,-163.00000000000205,197.99999999998707,-627.9999999999841,-314.9999999999977,163.00000000000205,-540.0000000000072,-273.9999999999965,-124.00000000000189,-297.9999999999983,,-2532.0000000000005
2017.01.02,-60.000000000015596,-175.00000000001404,-67.99999999999784,12.000000000012001,-54.00000000000959,-21.000000000000796,-98.99999999999353,-26.000000000003798,190.00000000000128,-540.9999999999915,-97.99999999999898,166.99999999998383,-513.0000000000078,-248.00000000000378,-37.99999999999359,-238.0000000000049,,-1810.0000000000387
2017.01.02,9.999999999998899,-124.00000000001299,-40.00000000000625,-8.999999999992347,-111.00000000000554,-151.00000000001046,-98.99999999999353,-185.00000000000182,221.00000000000452,-638.9999999999895,-116.99999999999022,153.00000000000313,-475.0000000000032,-231.99999999999886,-29.999999999996696,-226.99999999999943,,-2054.999999999994
2017.01.02,-36.999999999998145,-114.0000000000141,-79.00000000000773,-12.999999999996348,87.99999999999919,-264.00000000001,-162.99999999999093,-34.000000000000696,244.9999999999841,-505.99999999998425,-158.99999999999181,157.99999999999147,-323.0000000000066,-175.00000000000293,-3.999999999992898,-119.99999999998678,,-1500.0000000000086
2017.01.02,-36.999999999998145,-136.00000000000279,-64.00000000000716,43.999999999999595,-35.00000000000725,-338.99999999999864,-79.99999999999119,-26.000000000003798,272.00000000000557,-566.9999999999842,-332.9999999999984,132.99999999998312,-414.00000000000324,-163.00000000000205,-26.000000000003798,-143.00000000000423,,-1914.0000000000166
2017.01.02,81.9999999999821,-104.99999999999955,-146.0000000000008,-63.99999999999739,-37.00000000000925,-344.99999999999886,-116.99999999998934,-55.000000000005045,278.00000000000045,-478.0000000000006,-289.99999999999204,18.999999999991246,-276.00000000000955,-133.00000000000534,-4.999999999999449,-126.0000000000039,,-1798.0000000000375
2017.01.02,150.99999999999002,-97.00000000001374,-97.99999999999898,-161.99999999999548,-40.00000000000669,-352.00000000000387,-150.99999999999002,-93.99999999999409,68.00000000000139,-597.9999999999874,-256.0000000000002,-107.00000000001265,-359.0000000000204,-226.99999999999943,12.999999999996348,-58.000000000002494,,-2367.0000000000377
2017.01.02,126.0000000000039,-67.00000000001705,-58.000000000006935,-97.9999999999981,-44.0000000000107,-142.00000000001012,-118.99999999999133,-85.99999999999719,102.99999999998644,-451.0000000000014,-97.99999999999898,-60.99999999999994,-222.00000000001108,-116.00000000000499,92.99999999999864,-29.999999999996696,,-1270.0000000000555
