,week,profit
0,week_0701,1918.999999999932
1,week_0702,-2000.0
2,week_0703,-2000.0
3,week_0704,-2000.0
4,week_0801,874.0000000000216
5,week_0802,6264.000000000036
6,week_0803,-2000.0
7,week_0804,10024.000000000024
8,week_0901,-2000.0
9,week_0902,-2000.0
10,week_0903,-2000.0
11,week_0904,7778.999999999998
12,week_1002,-2000.0
13,week_1003,-1846.0000000000653
14,week_1004,-2000.0
15,week_1005,5309.000000000004
16,week_1006,13628.999999999996
17,week_1007,6565.999999999965
18,week_1008,8072.0000000000355
19,week_1009,-1856.9999999999295
20,week_1010,-2000.0
21,week_1011,10553.000000000007
22,week_1012,-2000.0
23,week_1013,1228.9999999999804
24,week_1014,3499.9999999999345
25,week_1015,-2000.0
26,week_1016,-2000.0
27,week_1017,1731.9999999999966
28,week_1018,-2000.0
29,week_1019,-2000.0
30,week_1020,-2000.0
31,week_1021,-2000.0
32,week_1022,4980.000000000016
33,week_1023,-2000.0
34,week_1024,-2000.0
35,week_1025,-2000.0
36,week_1026,-2000.0
37,week_1027,-2000.0
38,week_1028,2961.000000000022
39,week_1029,5443.000000000013
40,week_1030,367.9999999999776
41,week_1031,6047.999999999988
42,week_1032,2432.0000000000127
43,week_1033,-2000.0
44,week_1034,-2000.0
45,week_1035,-2000.0
46,week_1036,-2000.0
47,week_1037,6186.99999999999
48,week_1038,3712.999999999974
49,week_1039,4237.999999999991
50,week_1040,-2000.0
51,week_1044,-2000.0
52,week_1045,11154.000000000002
53,week_1046,3726.000000000023
54,week_1047,1841.000000000024
55,week_1048,-2000.0
56,week_1049,5094.000000000003
57,week_1050,-2000.0
58,week_1051,14510.999999999984
59,week_1052,-2000.0
